Encompass Health Rehabilitation Hospital of Panama City ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY NATIONAL (CHCN) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$27230.33,$32963.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28663.50,NA,NA,NA,NA,NA,NA,NA,$28663.50,NA,NA,$32963.03,$28663.50,NA,$28663.50,$28663.50,NA,$27230.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$22083.34,$26732.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23245.62,NA,NA,NA,NA,NA,NA,NA,$23245.62,NA,NA,$26732.46,$23245.62,NA,$23245.62,$23245.62,NA,$22083.34,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$20926.96,$25332.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22028.37,NA,NA,NA,NA,NA,NA,NA,$22028.37,NA,NA,$25332.63,$22028.37,NA,$22028.37,$22028.37,NA,$20926.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$21978.48,$26605.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23135.24,NA,NA,NA,NA,NA,NA,NA,$23135.24,NA,NA,$26605.52,$23135.24,NA,$23135.24,$23135.24,NA,$21978.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$31114.63,$37665.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32752.24,NA,NA,NA,NA,NA,NA,NA,$32752.24,NA,NA,$37665.07,$32752.24,NA,$32752.24,$32752.24,NA,$31114.63,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$25233.59,$30545.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26561.67,NA,NA,NA,NA,NA,NA,NA,$26561.67,NA,NA,$30545.92,$26561.67,NA,$26561.67,$26561.67,NA,$25233.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$23912.01,$28946.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25170.53,NA,NA,NA,NA,NA,NA,NA,$25170.53,NA,NA,$28946.11,$25170.53,NA,$25170.53,$25170.53,NA,$23912.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$10865.70,$13153.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11437.58,NA,NA,NA,NA,NA,NA,NA,$11437.58,NA,NA,$13153.21,$11437.58,NA,$11437.58,$11437.58,NA,$10865.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$16186.50,$19594.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17038.42,NA,NA,NA,NA,NA,NA,NA,$17038.42,NA,NA,$19594.18,$17038.42,NA,$17038.42,$17038.42,NA,$16186.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$13026.20,$15768.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13711.79,NA,NA,NA,NA,NA,NA,NA,$13711.79,NA,NA,$15768.55,$13711.79,NA,$13711.79,$13711.79,NA,$13026.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$11665.83,$14121.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12279.82,NA,NA,NA,NA,NA,NA,NA,$12279.82,NA,NA,$14121.79,$12279.82,NA,$12279.82,$12279.82,NA,$11665.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$12774.81,$15464.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13447.17,NA,NA,NA,NA,NA,NA,NA,$13447.17,NA,NA,$15464.24,$13447.17,NA,$13447.17,$13447.17,NA,$12774.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$19030.77,$23037.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20032.39,NA,NA,NA,NA,NA,NA,NA,$20032.39,NA,NA,$23037.25,$20032.39,NA,$20032.39,$20032.39,NA,$19030.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$15314.54,$18538.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16120.57,NA,NA,NA,NA,NA,NA,NA,$16120.57,NA,NA,$18538.66,$16120.57,NA,$16120.57,$16120.57,NA,$15314.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$13715.72,$16603.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14437.60,NA,NA,NA,NA,NA,NA,NA,$14437.60,NA,NA,$16603.24,$14437.60,NA,$14437.60,$14437.60,NA,$13715.72,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$14270.21,$17274.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15021.27,NA,NA,NA,NA,NA,NA,NA,$15021.27,NA,NA,$17274.46,$15021.27,NA,$15021.27,$15021.27,NA,$14270.21,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$21258.79,$25734.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22377.67,NA,NA,NA,NA,NA,NA,NA,$22377.67,NA,NA,$25734.32,$22377.67,NA,$22377.67,$22377.67,NA,$21258.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$17107.30,$20708.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18007.68,NA,NA,NA,NA,NA,NA,NA,$18007.68,NA,NA,$20708.83,$18007.68,NA,$18007.68,$18007.68,NA,$17107.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$15321.73,$18547.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16128.13,NA,NA,NA,NA,NA,NA,NA,$16128.13,NA,NA,$18547.35,$16128.13,NA,$16128.13,$16128.13,NA,$15321.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$16446.51,$19908.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17312.11,NA,NA,NA,NA,NA,NA,NA,$17312.11,NA,NA,$19908.93,$17312.11,NA,$17312.11,$17312.11,NA,$16446.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$24500.97,$29659.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25790.50,NA,NA,NA,NA,NA,NA,NA,$25790.50,NA,NA,$29659.07,$25790.50,NA,$25790.50,$25790.50,NA,$24500.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$19717.42,$23868.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20755.18,NA,NA,NA,NA,NA,NA,NA,$20755.18,NA,NA,$23868.46,$20755.18,NA,$20755.18,$20755.18,NA,$19717.42,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$17658.91,$21376.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18588.33,NA,NA,NA,NA,NA,NA,NA,$18588.33,NA,NA,$21376.58,$18588.33,NA,$18588.33,$18588.33,NA,$17658.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$19164.37,$23198.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20173.02,NA,NA,NA,NA,NA,NA,NA,$20173.02,NA,NA,$23198.97,$20173.02,NA,$20173.02,$20173.02,NA,$19164.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$28549.03,$34559.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30051.61,NA,NA,NA,NA,NA,NA,NA,$30051.61,NA,NA,$34559.36,$30051.61,NA,$30051.61,$30051.61,NA,$28549.03,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$22975.41,$27812.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24184.64,NA,NA,NA,NA,NA,NA,NA,$24184.64,NA,NA,$27812.34,$24184.64,NA,$24184.64,$24184.64,NA,$22975.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$20576.45,$24908.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21659.42,NA,NA,NA,NA,NA,NA,NA,$21659.42,NA,NA,$24908.33,$21659.42,NA,$21659.42,$21659.42,NA,$20576.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$11884.18,$14386.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12509.66,NA,NA,NA,NA,NA,NA,NA,$12509.66,NA,NA,$14386.11,$12509.66,NA,$12509.66,$12509.66,NA,$11884.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$17397.47,$21060.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18313.13,NA,NA,NA,NA,NA,NA,NA,$18313.13,NA,NA,$21060.10,$18313.13,NA,$18313.13,$18313.13,NA,$17397.47,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$13863.68,$16782.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14593.34,NA,NA,NA,NA,NA,NA,NA,$14593.34,NA,NA,$16782.35,$14593.34,NA,$14593.34,$14593.34,NA,$13863.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$13119.57,$15881.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13810.07,NA,NA,NA,NA,NA,NA,NA,$13810.07,NA,NA,$15881.58,$13810.07,NA,$13810.07,$13810.07,NA,$13119.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$14797.40,$17912.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15576.21,NA,NA,NA,NA,NA,NA,NA,$15576.21,NA,NA,$17912.65,$15576.21,NA,$15576.21,$15576.21,NA,$14797.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$21659.57,$26219.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22799.55,NA,NA,NA,NA,NA,NA,NA,$22799.55,NA,NA,$26219.48,$22799.55,NA,$22799.55,$22799.55,NA,$21659.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$17259.57,$20893.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18167.97,NA,NA,NA,NA,NA,NA,NA,$18167.97,NA,NA,$20893.16,$18167.97,NA,$18167.97,$18167.97,NA,$17259.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$16334.46,$19773.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17194.17,NA,NA,NA,NA,NA,NA,NA,$17194.17,NA,NA,$19773.29,$17194.17,NA,$17194.17,$17194.17,NA,$16334.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$17413.27,$21079.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18329.76,NA,NA,NA,NA,NA,NA,NA,$18329.76,NA,NA,$21079.23,$18329.76,NA,$18329.76,$18329.76,NA,$17413.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$25489.29,$30855.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26830.83,NA,NA,NA,NA,NA,NA,NA,$26830.83,NA,NA,$30855.45,$26830.83,NA,$26830.83,$26830.83,NA,$25489.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$20310.70,$24586.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21379.68,NA,NA,NA,NA,NA,NA,NA,$21379.68,NA,NA,$24586.63,$21379.68,NA,$21379.68,$21379.68,NA,$20310.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$19223.27,$23270.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20235.02,NA,NA,NA,NA,NA,NA,NA,$20235.02,NA,NA,$23270.27,$20235.02,NA,$20235.02,$20235.02,NA,$19223.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$19993.23,$24202.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21045.51,NA,NA,NA,NA,NA,NA,NA,$21045.51,NA,NA,$24202.33,$21045.51,NA,$21045.51,$21045.51,NA,$19993.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$29265.85,$35427.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30806.16,NA,NA,NA,NA,NA,NA,NA,$30806.16,NA,NA,$35427.08,$30806.16,NA,$30806.16,$30806.16,NA,$29265.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$23321.60,$28231.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24549.06,NA,NA,NA,NA,NA,NA,NA,$24549.06,NA,NA,$28231.42,$24549.06,NA,$24549.06,$24549.06,NA,$23321.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$22071.85,$26718.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23233.52,NA,NA,NA,NA,NA,NA,NA,$23233.52,NA,NA,$26718.55,$23233.52,NA,$23233.52,$23233.52,NA,$22071.85,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$12934.26,$15657.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13615.01,NA,NA,NA,NA,NA,NA,NA,$13615.01,NA,NA,$15657.26,$13615.01,NA,$13615.01,$13615.01,NA,$12934.26,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$18617.06,$22536.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19596.91,NA,NA,NA,NA,NA,NA,NA,$19596.91,NA,NA,$22536.44,$19596.91,NA,$19596.91,$19596.91,NA,$18617.06,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$15604.72,$18889.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16426.02,NA,NA,NA,NA,NA,NA,NA,$16426.02,NA,NA,$18889.92,$16426.02,NA,$16426.02,$16426.02,NA,$15604.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$14003.02,$16951.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14740.02,NA,NA,NA,NA,NA,NA,NA,$14740.02,NA,NA,$16951.02,$14740.02,NA,$14740.02,$14740.02,NA,$14003.02,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$15978.21,$19342.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16819.17,NA,NA,NA,NA,NA,NA,NA,$16819.17,NA,NA,$19342.04,$16819.17,NA,$16819.17,$16819.17,NA,$15978.21,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$22998.39,$27840.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24208.83,NA,NA,NA,NA,NA,NA,NA,$24208.83,NA,NA,$27840.16,$24208.83,NA,$24208.83,$24208.83,NA,$22998.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$19276.42,$23334.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20290.96,NA,NA,NA,NA,NA,NA,NA,$20290.96,NA,NA,$23334.61,$20290.96,NA,$20290.96,$20290.96,NA,$19276.42,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$17298.35,$20940.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18208.79,NA,NA,NA,NA,NA,NA,NA,$18208.79,NA,NA,$20940.11,$18208.79,NA,$18208.79,$18208.79,NA,$17298.35,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$18670.21,$22600.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19652.85,NA,NA,NA,NA,NA,NA,NA,$19652.85,NA,NA,$22600.78,$19652.85,NA,$19652.85,$19652.85,NA,$18670.21,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$26874.07,$32531.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28288.50,NA,NA,NA,NA,NA,NA,NA,$28288.50,NA,NA,$32531.77,$28288.50,NA,$28288.50,$28288.50,NA,$26874.07,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$22525.78,$27268.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23711.35,NA,NA,NA,NA,NA,NA,NA,$23711.35,NA,NA,$27268.05,$23711.35,NA,$23711.35,$23711.35,NA,$22525.78,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$20214.45,$24470.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21278.37,NA,NA,NA,NA,NA,NA,NA,$21278.37,NA,NA,$24470.13,$21278.37,NA,$21278.37,$21278.37,NA,$20214.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$22004.33,$26636.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23162.46,NA,NA,NA,NA,NA,NA,NA,$23162.46,NA,NA,$26636.82,$23162.46,NA,$23162.46,$23162.46,NA,$22004.33,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$31673.42,$38341.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33340.45,NA,NA,NA,NA,NA,NA,NA,$33340.45,NA,NA,$38341.51,$33340.45,NA,$33340.45,$33340.45,NA,$31673.42,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$26547.99,$32137.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27945.25,NA,NA,NA,NA,NA,NA,NA,$27945.25,NA,NA,$32137.04,$27945.25,NA,$27945.25,$27945.25,NA,$26547.99,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$23824.38,$28840.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25078.29,NA,NA,NA,NA,NA,NA,NA,$25078.29,NA,NA,$28840.04,$25078.29,NA,$25078.29,$25078.29,NA,$23824.38,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$14092.08,$17058.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14833.77,NA,NA,NA,NA,NA,NA,NA,$14833.77,NA,NA,$17058.84,$14833.77,NA,$14833.77,$14833.77,NA,$14092.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$18673.08,$22604.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19655.88,NA,NA,NA,NA,NA,NA,NA,$19655.88,NA,NA,$22604.26,$19655.88,NA,$19655.88,$19655.88,NA,$18673.08,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$16639.00,$20141.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17514.74,NA,NA,NA,NA,NA,NA,NA,$17514.74,NA,NA,$20141.95,$17514.74,NA,$17514.74,$17514.74,NA,$16639.00,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$14533.09,$17592.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15297.99,NA,NA,NA,NA,NA,NA,NA,$15297.99,NA,NA,$17592.68,$15297.99,NA,$15297.99,$15297.99,NA,$14533.09,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$18828.23,$22792.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19819.19,NA,NA,NA,NA,NA,NA,NA,$19819.19,NA,NA,$22792.06,$19819.19,NA,$19819.19,$19819.19,NA,$18828.23,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$24947.72,$30199.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26260.76,NA,NA,NA,NA,NA,NA,NA,$26260.76,NA,NA,$30199.88,$26260.76,NA,$26260.76,$26260.76,NA,$24947.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$22231.30,$26911.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23401.37,NA,NA,NA,NA,NA,NA,NA,$23401.37,NA,NA,$26911.57,$23401.37,NA,$23401.37,$23401.37,NA,$22231.30,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$19417.19,$23505.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20439.15,NA,NA,NA,NA,NA,NA,NA,$20439.15,NA,NA,$23505.02,$20439.15,NA,$20439.15,$20439.15,NA,$19417.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$21156.80,$25610.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22270.31,NA,NA,NA,NA,NA,NA,NA,$22270.31,NA,NA,$25610.86,$22270.31,NA,$22270.31,$22270.31,NA,$21156.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$28033.33,$33935.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29508.77,NA,NA,NA,NA,NA,NA,NA,$29508.77,NA,NA,$33935.08,$29508.77,NA,$29508.77,$29508.77,NA,$28033.33,NA,NA,NA
