Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$47285.62,$57806.61,NA,$100040.96,NA,NA,NA,$100040.96,NA,$95038.91,$95038.91,$96039.33,NA,NA,$100040.96,$100040.96,NA,NA,NA,$100040.96,NA,NA,NA,NA,NA,NA,NA,NA,$100040.96,NA,$100040.96,$100040.96,NA,$100040.96,NA,NA,$115047.10,NA,NA,$100040.96,NA,$100040.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$50161.22,$61322.02,NA,$106124.78,NA,NA,NA,$106124.78,NA,$100818.54,$100818.54,$101879.79,NA,NA,$106124.78,$106124.78,NA,NA,NA,$106124.78,NA,NA,NA,NA,NA,NA,NA,NA,$106124.78,NA,$106124.78,$106124.78,NA,$106124.78,NA,NA,$122043.49,NA,NA,$106124.78,NA,$106124.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$70634.34,$86350.39,NA,$149439.24,NA,NA,NA,$149439.24,NA,$141967.27,$141967.27,$143461.66,NA,NA,$149439.24,$149439.24,NA,NA,NA,$149439.24,NA,NA,NA,NA,NA,NA,NA,NA,$149439.24,NA,$149439.24,$149439.24,NA,$149439.24,NA,NA,$171855.12,NA,NA,$149439.24,NA,$149439.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$59936.86,$73272.73,NA,$126806.85,NA,NA,NA,$126806.85,NA,$120466.51,$120466.51,$121734.57,NA,NA,$126806.85,$126806.85,NA,NA,NA,$126806.85,NA,NA,NA,NA,NA,NA,NA,NA,$126806.85,NA,$126806.85,$126806.85,NA,$126806.85,NA,NA,$145827.87,NA,NA,$126806.85,NA,$126806.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$53993.05,$66006.43,NA,$114231.69,NA,NA,NA,$114231.69,NA,$108520.10,$108520.10,$109662.42,NA,NA,$114231.69,$114231.69,NA,NA,NA,$114231.69,NA,NA,NA,NA,NA,NA,NA,NA,$114231.69,NA,$114231.69,$114231.69,NA,$114231.69,NA,NA,$131366.44,NA,NA,$114231.69,NA,$114231.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$15263.69,$18659.84,NA,$32292.99,NA,NA,NA,$32292.99,NA,$30678.34,$30678.34,$31001.27,NA,NA,$32292.99,$32292.99,NA,NA,NA,$32292.99,NA,NA,NA,NA,NA,NA,NA,NA,$32292.99,NA,$32292.99,$32292.99,NA,$32292.99,NA,NA,$37136.94,NA,NA,$32292.99,NA,$32292.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$22524.91,$27536.67,NA,$47655.36,NA,NA,NA,$47655.36,NA,$45272.59,$45272.59,$45749.14,NA,NA,$47655.36,$47655.36,NA,NA,NA,$47655.36,NA,NA,NA,NA,NA,NA,NA,NA,$47655.36,NA,$47655.36,$47655.36,NA,$47655.36,NA,NA,$54803.66,NA,NA,$47655.36,NA,$47655.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$17504.66,$21399.42,NA,$37034.15,NA,NA,NA,$37034.15,NA,$35182.44,$35182.44,$35552.79,NA,NA,$37034.15,$37034.15,NA,NA,NA,$37034.15,NA,NA,NA,NA,NA,NA,NA,NA,$37034.15,NA,$37034.15,$37034.15,NA,$37034.15,NA,NA,$42589.27,NA,NA,$37034.15,NA,$37034.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$16526.06,$20203.09,NA,$34963.75,NA,NA,NA,$34963.75,NA,$33215.57,$33215.57,$33565.21,NA,NA,$34963.75,$34963.75,NA,NA,NA,$34963.75,NA,NA,NA,NA,NA,NA,NA,NA,$34963.75,NA,$34963.75,$34963.75,NA,$34963.75,NA,NA,$40208.32,NA,NA,$34963.75,NA,$34963.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$18966.53,$23186.56,NA,$40127.00,NA,NA,NA,$40127.00,NA,$38120.65,$38120.65,$38521.92,NA,NA,$40127.00,$40127.00,NA,NA,NA,$40127.00,NA,NA,NA,NA,NA,NA,NA,NA,$40127.00,NA,$40127.00,$40127.00,NA,$40127.00,NA,NA,$46146.05,NA,NA,$40127.00,NA,$40127.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$27987.16,$34214.27,NA,$59211.71,NA,NA,NA,$59211.71,NA,$56251.12,$56251.12,$56843.23,NA,NA,$59211.71,$59211.71,NA,NA,NA,$59211.71,NA,NA,NA,NA,NA,NA,NA,NA,$59211.71,NA,$59211.71,$59211.71,NA,$59211.71,NA,NA,$68093.46,NA,NA,$59211.71,NA,$59211.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$21749.25,$26588.44,NA,$46014.33,NA,NA,NA,$46014.33,NA,$43713.61,$43713.61,$44173.75,NA,NA,$46014.33,$46014.33,NA,NA,NA,$46014.33,NA,NA,NA,NA,NA,NA,NA,NA,$46014.33,NA,$46014.33,$46014.33,NA,$46014.33,NA,NA,$52916.48,NA,NA,$46014.33,NA,$46014.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$20533.32,$25101.96,NA,$43441.81,NA,NA,NA,$43441.81,NA,$41269.72,$41269.72,$41704.14,NA,NA,$43441.81,$43441.81,NA,NA,NA,$43441.81,NA,NA,NA,NA,NA,NA,NA,NA,$43441.81,NA,$43441.81,$43441.81,NA,$43441.81,NA,NA,$49958.08,NA,NA,$43441.81,NA,$43441.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$22026.15,$26926.94,NA,$46600.15,NA,NA,NA,$46600.15,NA,$44270.14,$44270.14,$44736.14,NA,NA,$46600.15,$46600.15,NA,NA,NA,$46600.15,NA,NA,NA,NA,NA,NA,NA,NA,$46600.15,NA,$46600.15,$46600.15,NA,$46600.15,NA,NA,$53590.17,NA,NA,$46600.15,NA,$46600.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$32503.49,$39735.48,NA,$68766.79,NA,NA,NA,$68766.79,NA,$65328.45,$65328.45,$66016.11,NA,NA,$68766.79,$68766.79,NA,NA,NA,$68766.79,NA,NA,NA,NA,NA,NA,NA,NA,$68766.79,NA,$68766.79,$68766.79,NA,$68766.79,NA,NA,$79081.81,NA,NA,$68766.79,NA,$68766.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$25259.47,$30879.67,NA,$53440.81,NA,NA,NA,$53440.81,NA,$50768.77,$50768.77,$51303.17,NA,NA,$53440.81,$53440.81,NA,NA,NA,$53440.81,NA,NA,NA,NA,NA,NA,NA,NA,$53440.81,NA,$53440.81,$53440.81,NA,$53440.81,NA,NA,$61456.93,NA,NA,$53440.81,NA,$53440.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$23847.47,$29153.51,NA,$50453.48,NA,NA,NA,$50453.48,NA,$47930.80,$47930.80,$48435.34,NA,NA,$50453.48,$50453.48,NA,NA,NA,$50453.48,NA,NA,NA,NA,NA,NA,NA,NA,$50453.48,NA,$50453.48,$50453.48,NA,$50453.48,NA,NA,$58021.50,NA,NA,$50453.48,NA,$50453.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$26231.19,$32067.60,NA,$55496.65,NA,NA,NA,$55496.65,NA,$52721.81,$52721.81,$53276.78,NA,NA,$55496.65,$55496.65,NA,NA,NA,$55496.65,NA,NA,NA,NA,NA,NA,NA,NA,$55496.65,NA,$55496.65,$55496.65,NA,$55496.65,NA,NA,$63821.15,NA,NA,$55496.65,NA,$55496.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$38707.00,$47319.26,NA,$81891.39,NA,NA,NA,$81891.39,NA,$77796.82,$77796.82,$78615.73,NA,NA,$81891.39,$81891.39,NA,NA,NA,$81891.39,NA,NA,NA,NA,NA,NA,NA,NA,$81891.39,NA,$81891.39,$81891.39,NA,$81891.39,NA,NA,$94175.10,NA,NA,$81891.39,NA,$81891.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$30081.94,$36775.13,NA,$63643.58,NA,NA,NA,$63643.58,NA,$60461.40,$60461.40,$61097.83,NA,NA,$63643.58,$63643.58,NA,NA,NA,$63643.58,NA,NA,NA,NA,NA,NA,NA,NA,$63643.58,NA,$63643.58,$63643.58,NA,$63643.58,NA,NA,$73190.11,NA,NA,$63643.58,NA,$63643.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$28399.92,$34718.87,NA,$60084.98,NA,NA,NA,$60084.98,NA,$57080.73,$57080.73,$57681.58,NA,NA,$60084.98,$60084.98,NA,NA,NA,$60084.98,NA,NA,NA,NA,NA,NA,NA,NA,$60084.98,NA,$60084.98,$60084.98,NA,$60084.98,NA,NA,$69097.72,NA,NA,$60084.98,NA,$60084.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$34223.34,$41837.99,NA,$72405.43,NA,NA,NA,$72405.43,NA,$68785.16,$68785.16,$69509.22,NA,NA,$72405.43,$72405.43,NA,NA,NA,$72405.43,NA,NA,NA,NA,NA,NA,NA,NA,$72405.43,NA,$72405.43,$72405.43,NA,$72405.43,NA,NA,$83266.25,NA,NA,$72405.43,NA,$72405.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$50498.31,$61734.12,NA,$106837.95,NA,NA,NA,$106837.95,NA,$101496.06,$101496.06,$102564.44,NA,NA,$106837.95,$106837.95,NA,NA,NA,$106837.95,NA,NA,NA,NA,NA,NA,NA,NA,$106837.95,NA,$106837.95,$106837.95,NA,$106837.95,NA,NA,$122863.65,NA,NA,$106837.95,NA,$106837.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$39245.31,$47977.34,NA,$83030.29,NA,NA,NA,$83030.29,NA,$78878.77,$78878.77,$79709.07,NA,NA,$83030.29,$83030.29,NA,NA,NA,$83030.29,NA,NA,NA,NA,NA,NA,NA,NA,$83030.29,NA,$83030.29,$83030.29,NA,$83030.29,NA,NA,$95484.82,NA,NA,$83030.29,NA,$83030.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$37050.78,$45294.53,NA,$78387.37,NA,NA,NA,$78387.37,NA,$74468.00,$74468.00,$75251.88,NA,NA,$78387.37,$78387.37,NA,NA,NA,$78387.37,NA,NA,NA,NA,NA,NA,NA,NA,$78387.37,NA,$78387.37,$78387.37,NA,$78387.37,NA,NA,$90145.48,NA,NA,$78387.37,NA,$78387.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$15083.11,$18439.08,NA,$31910.93,NA,NA,NA,$31910.93,NA,$30315.39,$30315.39,$30634.50,NA,NA,$31910.93,$31910.93,NA,NA,NA,$31910.93,NA,NA,NA,NA,NA,NA,NA,NA,$31910.93,NA,$31910.93,$31910.93,NA,$31910.93,NA,NA,$36697.58,NA,NA,$31910.93,NA,$31910.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$23515.54,$28747.72,NA,$49751.22,NA,NA,NA,$49751.22,NA,$47263.66,$47263.66,$47761.17,NA,NA,$49751.22,$49751.22,NA,NA,NA,$49751.22,NA,NA,NA,NA,NA,NA,NA,NA,$49751.22,NA,$49751.22,$49751.22,NA,$49751.22,NA,NA,$57213.90,NA,NA,$49751.22,NA,$49751.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$17702.44,$21641.21,NA,$37452.59,NA,NA,NA,$37452.59,NA,$35579.96,$35579.96,$35954.49,NA,NA,$37452.59,$37452.59,NA,NA,NA,$37452.59,NA,NA,NA,NA,NA,NA,NA,NA,$37452.59,NA,$37452.59,$37452.59,NA,$37452.59,NA,NA,$43070.48,NA,NA,$37452.59,NA,$37452.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$16594.86,$20287.19,NA,$35109.31,NA,NA,NA,$35109.31,NA,$33353.84,$33353.84,$33704.93,NA,NA,$35109.31,$35109.31,NA,NA,NA,$35109.31,NA,NA,NA,NA,NA,NA,NA,NA,$35109.31,NA,$35109.31,$35109.31,NA,$35109.31,NA,NA,$40375.70,NA,NA,$35109.31,NA,$35109.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$18772.19,$22948.98,NA,$39715.83,NA,NA,NA,$39715.83,NA,$37730.04,$37730.04,$38127.20,NA,NA,$39715.83,$39715.83,NA,NA,NA,$39715.83,NA,NA,NA,NA,NA,NA,NA,NA,$39715.83,NA,$39715.83,$39715.83,NA,$39715.83,NA,NA,$45673.21,NA,NA,$39715.83,NA,$39715.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$29265.01,$35776.44,NA,$61915.21,NA,NA,NA,$61915.21,NA,$58819.46,$58819.46,$59438.61,NA,NA,$61915.21,$61915.21,NA,NA,NA,$61915.21,NA,NA,NA,NA,NA,NA,NA,NA,$61915.21,NA,$61915.21,$61915.21,NA,$61915.21,NA,NA,$71202.50,NA,NA,$61915.21,NA,$61915.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$22029.59,$26931.15,NA,$46607.43,NA,NA,NA,$46607.43,NA,$44277.06,$44277.06,$44743.13,NA,NA,$46607.43,$46607.43,NA,NA,NA,$46607.43,NA,NA,NA,NA,NA,NA,NA,NA,$46607.43,NA,$46607.43,$46607.43,NA,$46607.43,NA,NA,$53598.55,NA,NA,$46607.43,NA,$46607.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$20651.99,$25247.03,NA,$43692.87,NA,NA,NA,$43692.87,NA,$41508.23,$41508.23,$41945.16,NA,NA,$43692.87,$43692.87,NA,NA,NA,$43692.87,NA,NA,NA,NA,NA,NA,NA,NA,$43692.87,NA,$43692.87,$43692.87,NA,$43692.87,NA,NA,$50246.81,NA,NA,$43692.87,NA,$43692.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$22297.89,$27259.14,NA,$47175.06,NA,NA,NA,$47175.06,NA,$44816.31,$44816.31,$45288.05,NA,NA,$47175.06,$47175.06,NA,NA,NA,$47175.06,NA,NA,NA,NA,NA,NA,NA,NA,$47175.06,NA,$47175.06,$47175.06,NA,$47175.06,NA,NA,$54251.32,NA,NA,$47175.06,NA,$47175.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$34765.10,$42500.29,NA,$73551.61,NA,NA,NA,$73551.61,NA,$69874.03,$69874.03,$70609.55,NA,NA,$73551.61,$73551.61,NA,NA,NA,$73551.61,NA,NA,NA,NA,NA,NA,NA,NA,$73551.61,NA,$73551.61,$73551.61,NA,$73551.61,NA,NA,$84584.36,NA,NA,$73551.61,NA,$73551.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$26169.27,$31991.90,NA,$55365.66,NA,NA,NA,$55365.66,NA,$52597.37,$52597.37,$53151.03,NA,NA,$55365.66,$55365.66,NA,NA,NA,$55365.66,NA,NA,NA,NA,NA,NA,NA,NA,$55365.66,NA,$55365.66,$55365.66,NA,$55365.66,NA,NA,$63670.50,NA,NA,$55365.66,NA,$55365.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$24531.98,$29990.31,NA,$51901.66,NA,NA,NA,$51901.66,NA,$49306.58,$49306.58,$49825.60,NA,NA,$51901.66,$51901.66,NA,NA,NA,$51901.66,NA,NA,NA,NA,NA,NA,NA,NA,$51901.66,NA,$51901.66,$51901.66,NA,$51901.66,NA,NA,$59686.91,NA,NA,$51901.66,NA,$51901.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$25875.18,$31632.37,NA,$54743.44,NA,NA,NA,$54743.44,NA,$52006.27,$52006.27,$52553.71,NA,NA,$54743.44,$54743.44,NA,NA,NA,$54743.44,NA,NA,NA,NA,NA,NA,NA,NA,$54743.44,NA,$54743.44,$54743.44,NA,$54743.44,NA,NA,$62954.96,NA,NA,$54743.44,NA,$54743.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$40340.86,$49316.65,NA,$85348.10,NA,NA,NA,$85348.10,NA,$81080.70,$81080.70,$81934.18,NA,NA,$85348.10,$85348.10,NA,NA,NA,$85348.10,NA,NA,NA,NA,NA,NA,NA,NA,$85348.10,NA,$85348.10,$85348.10,NA,$85348.10,NA,NA,$98150.32,NA,NA,$85348.10,NA,$85348.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$30367.43,$37124.15,NA,$64247.59,NA,NA,NA,$64247.59,NA,$61035.21,$61035.21,$61677.68,NA,NA,$64247.59,$64247.59,NA,NA,NA,$64247.59,NA,NA,NA,NA,NA,NA,NA,NA,$64247.59,NA,$64247.59,$64247.59,NA,$64247.59,NA,NA,$73884.73,NA,NA,$64247.59,NA,$64247.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$28467.00,$34800.87,NA,$60226.88,NA,NA,NA,$60226.88,NA,$57215.54,$57215.54,$57817.81,NA,NA,$60226.88,$60226.88,NA,NA,NA,$60226.88,NA,NA,NA,NA,NA,NA,NA,NA,$60226.88,NA,$60226.88,$60226.88,NA,$60226.88,NA,NA,$69260.92,NA,NA,$60226.88,NA,$60226.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$15153.62,$18525.28,NA,$32060.12,NA,NA,NA,$32060.12,NA,$30457.11,$30457.11,$30777.71,NA,NA,$32060.12,$32060.12,NA,NA,NA,$32060.12,NA,NA,NA,NA,NA,NA,NA,NA,$32060.12,NA,$32060.12,$32060.12,NA,$32060.12,NA,NA,$36869.14,NA,NA,$32060.12,NA,$32060.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$21451.72,$26224.70,NA,$45384.85,NA,NA,NA,$45384.85,NA,$43115.60,$43115.60,$43569.45,NA,NA,$45384.85,$45384.85,NA,NA,NA,$45384.85,NA,NA,NA,NA,NA,NA,NA,NA,$45384.85,NA,$45384.85,$45384.85,NA,$45384.85,NA,NA,$52192.57,NA,NA,$45384.85,NA,$45384.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$17396.31,$21266.96,NA,$36804.91,NA,NA,NA,$36804.91,NA,$34964.67,$34964.67,$35332.72,NA,NA,$36804.91,$36804.91,NA,NA,NA,$36804.91,NA,NA,NA,NA,NA,NA,NA,NA,$36804.91,NA,$36804.91,$36804.91,NA,$36804.91,NA,NA,$42325.65,NA,NA,$36804.91,NA,$36804.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$16484.79,$20152.63,NA,$34876.44,NA,NA,NA,$34876.44,NA,$33132.61,$33132.61,$33481.37,NA,NA,$34876.44,$34876.44,NA,NA,NA,$34876.44,NA,NA,NA,NA,NA,NA,NA,NA,$34876.44,NA,$34876.44,$34876.44,NA,$34876.44,NA,NA,$40107.90,NA,NA,$34876.44,NA,$34876.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$18945.89,$23161.33,NA,$40083.34,NA,NA,NA,$40083.34,NA,$38079.16,$38079.16,$38480.01,NA,NA,$40083.34,$40083.34,NA,NA,NA,$40083.34,NA,NA,NA,NA,NA,NA,NA,NA,$40083.34,NA,$40083.34,$40083.34,NA,$40083.34,NA,NA,$46095.83,NA,NA,$40083.34,NA,$40083.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$26821.10,$32788.76,NA,$56744.70,NA,NA,NA,$56744.70,NA,$53907.47,$53907.47,$54474.92,NA,NA,$56744.70,$56744.70,NA,NA,NA,$56744.70,NA,NA,NA,NA,NA,NA,NA,NA,$56744.70,NA,$56744.70,$56744.70,NA,$56744.70,NA,NA,$65256.41,NA,NA,$56744.70,NA,$56744.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$21750.97,$26590.54,NA,$46017.97,NA,NA,NA,$46017.97,NA,$43717.07,$43717.07,$44177.25,NA,NA,$46017.97,$46017.97,NA,NA,NA,$46017.97,NA,NA,NA,NA,NA,NA,NA,NA,$46017.97,NA,$46017.97,$46017.97,NA,$46017.97,NA,NA,$52920.67,NA,NA,$46017.97,NA,$46017.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$20612.43,$25198.67,NA,$43609.19,NA,NA,NA,$43609.19,NA,$41428.72,$41428.72,$41864.81,NA,NA,$43609.19,$43609.19,NA,NA,NA,$43609.19,NA,NA,NA,NA,NA,NA,NA,NA,$43609.19,NA,$43609.19,$43609.19,NA,$43609.19,NA,NA,$50150.56,NA,NA,$43609.19,NA,$43609.19,NA,NA,NA,NA
