Encompass Health Rehabilitation Hospital of Colorado Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,ITEM_SERVICE_PACKAGE,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,ANTHEM BCBS OF COLORADO (BCOA) negotiated charge,BC OF CO ANTHEM EXCHANGE (BOAZ) negotiated charge,BC OF CO ANTHEM MEDICARE (BOAM) negotiated charge,BCBS OF COLORADO (BCCO) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NET MEDICARE (CHOM) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COLORADO CHOICE EXCHANGE (COLZ) negotiated charge,COLORADO CHOICE HEALTH (COL) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MULTIPLAN (MUL) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,ROCKY MTN PACE DUAL (RMPM) negotiated charge,SLOANS LAKE MANAGED CARE (SLK) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,FLEX FOOT SYSTEM,L5980,$4135.10,$3101.33,$2745.71,$3473.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3308.08,$3473.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2894.57,NA,NA,$3101.33,NA,NA,NA,NA,NA,NA,NA,NA,$2745.71,$3308.08
Inpatient Rehabilitation Services,FLEX-WALK SYS LOW EXT PROSTH,L5981,$2702.18,$2026.64,$1794.25,$2269.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2161.74,$2269.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1891.53,NA,NA,$2026.64,NA,NA,NA,NA,NA,NA,NA,NA,$1794.25,$2161.74
Inpatient Rehabilitation Services,EXOSKELETAL AXIAL ROTATION U,L5982,$644.75,$483.56,$428.11,$541.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$515.80,$541.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$451.33,NA,NA,$483.56,NA,NA,NA,NA,NA,NA,NA,NA,$428.11,$515.80
Inpatient Rehabilitation Services,ENDOSKELETAL AXIAL ROTATION,L5984,$504.54,$378.41,$335.01,$423.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$403.63,$423.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$353.18,NA,NA,$378.41,NA,NA,NA,NA,NA,NA,NA,NA,$335.01,$403.63
Inpatient Rehabilitation Services,LWR EXT DYNAMIC PROSTH PYLON,L5985,$239.42,$179.57,$158.97,$201.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$191.54,$201.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$167.59,NA,NA,$179.57,NA,NA,NA,NA,NA,NA,NA,NA,$158.97,$191.54
Inpatient Rehabilitation Services,MULTI-AXIAL ROTATION UNIT,L5986,$706.73,$530.05,$469.27,$593.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$565.38,$593.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$494.71,NA,NA,$530.05,NA,NA,NA,NA,NA,NA,NA,NA,$469.27,$565.38
Inpatient Rehabilitation Services,SHANK FT W VERT LOAD PYLON,L5987,$6118.54,$4588.91,$4062.71,$5139.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4894.83,$5139.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4282.98,NA,NA,$4588.91,NA,NA,NA,NA,NA,NA,NA,NA,$4062.71,$4894.83
Inpatient Rehabilitation Services,VERTICAL SHOCK REDUCING PYLO,L5988,$1699.08,$1274.31,$1128.19,$1427.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1359.26,$1427.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1189.36,NA,NA,$1274.31,NA,NA,NA,NA,NA,NA,NA,NA,$1128.19,$1359.26
Inpatient Rehabilitation Services,USER ADJUSTABLE HEEL HEIGHT,L5990,$1543.05,$1157.29,$1024.59,$1296.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1234.44,$1296.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1080.14,NA,NA,$1157.29,NA,NA,NA,NA,NA,NA,NA,NA,$1024.59,$1234.44
Inpatient Rehabilitation Services,PAR HAND ROBIN-AIDS THUM REM,L6000,$1111.39,$833.54,$737.96,$933.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$889.11,$933.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$777.97,NA,NA,$833.54,NA,NA,NA,NA,NA,NA,NA,NA,$737.96,$889.11
Inpatient Rehabilitation Services,HAND ROBIN-AIDS LITTLE/RING,L6010,$1316.76,$987.57,$874.33,$1106.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1053.41,$1106.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$921.73,NA,NA,$987.57,NA,NA,NA,NA,NA,NA,NA,NA,$874.33,$1053.41
Inpatient Rehabilitation Services,PART HAND ROBIN-AIDS NO FING,L6020,$1172.23,$879.17,$778.36,$984.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$937.78,$984.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$820.56,NA,NA,$879.17,NA,NA,NA,NA,NA,NA,NA,NA,$778.36,$937.78
Inpatient Rehabilitation Services,PART HAND DISART MYOELECTRIC,L6025,$6806.31,$5104.73,$4519.39,$5717.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$5445.05,$5717.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$4764.42,NA,NA,$5104.73,NA,NA,NA,NA,NA,NA,NA,NA,$4519.39,$5445.05
Inpatient Rehabilitation Services,WRST MLD SCK FLX HNG TRI PAD,L6050,$1709.94,$1282.46,$1135.40,$1436.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1367.95,$1436.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1196.96,NA,NA,$1282.46,NA,NA,NA,NA,NA,NA,NA,NA,$1135.40,$1367.95
Inpatient Rehabilitation Services,WRST MOLD SOCK W/EXP INTERFA,L6055,$2367.36,$1775.52,$1571.93,$1988.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1893.89,$1988.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1657.15,NA,NA,$1775.52,NA,NA,NA,NA,NA,NA,NA,NA,$1571.93,$1893.89
Inpatient Rehabilitation Services,ELB MOLD SOCK FLEX HINGE PAD,L6100,$1692.50,$1269.38,$1123.82,$1421.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1354.00,$1421.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1184.75,NA,NA,$1269.38,NA,NA,NA,NA,NA,NA,NA,NA,$1123.82,$1354.00
Inpatient Rehabilitation Services,ELBOW MOLD SOCK SUSPENSION T,L6110,$1746.73,$1310.05,$1159.83,$1467.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1397.38,$1467.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1222.71,NA,NA,$1310.05,NA,NA,NA,NA,NA,NA,NA,NA,$1159.83,$1397.38
Inpatient Rehabilitation Services,ELBOW MOLD DOUB SPLT SOC STE,L6120,$2193.08,$1644.81,$1456.21,$1842.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1754.46,$1842.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1535.16,NA,NA,$1644.81,NA,NA,NA,NA,NA,NA,NA,NA,$1456.21,$1754.46
Inpatient Rehabilitation Services,ELBOW STUMP ACTIVATED LOCK H,L6130,$2366.09,$1774.57,$1571.08,$1987.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1892.87,$1987.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1656.26,NA,NA,$1774.57,NA,NA,NA,NA,NA,NA,NA,NA,$1571.08,$1892.87
Inpatient Rehabilitation Services,ELBOW MOLD OUTSID LOCK HINGE,L6200,$2550.55,$1912.91,$1693.57,$2142.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2040.44,$2142.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1785.39,NA,NA,$1912.91,NA,NA,NA,NA,NA,NA,NA,NA,$1693.57,$2040.44
Inpatient Rehabilitation Services,ELBOW MOLDED W/EXPAND INTER,L6205,$3123.83,$2342.87,$2074.22,$2624.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2499.06,$2624.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2186.68,NA,NA,$2342.87,NA,NA,NA,NA,NA,NA,NA,NA,$2074.22,$2499.06
Inpatient Rehabilitation Services,ELBOW INTER LOC ELBOW FORARM,L6250,$2270.89,$1703.17,$1507.87,$1907.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1816.71,$1907.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1589.62,NA,NA,$1703.17,NA,NA,NA,NA,NA,NA,NA,NA,$1507.87,$1816.71
Inpatient Rehabilitation Services,SHLDER DISART INT LOCK ELBOW,L6300,$3329.83,$2497.37,$2211.01,$2797.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2663.86,$2797.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2330.88,NA,NA,$2497.37,NA,NA,NA,NA,NA,NA,NA,NA,$2211.01,$2663.86
Inpatient Rehabilitation Services,SHOULDER PASSIVE RESTOR COMP,L6310,$2538.30,$1903.73,$1685.43,$2132.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2030.64,$2132.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1776.81,NA,NA,$1903.73,NA,NA,NA,NA,NA,NA,NA,NA,$1685.43,$2030.64
Inpatient Rehabilitation Services,SHOULDER PASSIVE RESTOR CAP,L6320,$1523.92,$1142.94,$1011.88,$1280.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1219.14,$1280.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1066.74,NA,NA,$1142.94,NA,NA,NA,NA,NA,NA,NA,NA,$1011.88,$1219.14
Inpatient Rehabilitation Services,THORACIC INTERN LOCK ELBOW,L6350,$3826.00,$2869.50,$2540.46,$3213.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3060.80,$3213.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2678.20,NA,NA,$2869.50,NA,NA,NA,NA,NA,NA,NA,NA,$2540.46,$3060.80
Inpatient Rehabilitation Services,THORACIC PASSIVE RESTOR COMP,L6360,$2664.25,$1998.19,$1769.06,$2237.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2131.40,$2237.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1864.98,NA,NA,$1998.19,NA,NA,NA,NA,NA,NA,NA,NA,$1769.06,$2131.40
Inpatient Rehabilitation Services,THORACIC PASSIVE RESTOR CAP,L6370,$1698.90,$1274.18,$1128.07,$1427.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1359.12,$1427.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1189.23,NA,NA,$1274.18,NA,NA,NA,NA,NA,NA,NA,NA,$1128.07,$1359.12
Inpatient Rehabilitation Services,POSTOP DSG CAST CHG WRST/ELB,L6380,$974.01,$730.51,$646.74,$818.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$779.21,$818.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$681.81,NA,NA,$730.51,NA,NA,NA,NA,NA,NA,NA,NA,$646.74,$779.21
Inpatient Rehabilitation Services,POSTOP DSG CAST CHG ELB DIS/,L6382,$1323.85,$992.89,$879.04,$1112.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1059.08,$1112.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$926.70,NA,NA,$992.89,NA,NA,NA,NA,NA,NA,NA,NA,$879.04,$1059.08
Inpatient Rehabilitation Services,POSTOP DSG CAST CHG SHLDER/T,L6384,$1835.78,$1376.84,$1218.96,$1542.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1468.62,$1542.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1285.05,NA,NA,$1376.84,NA,NA,NA,NA,NA,NA,NA,NA,$1218.96,$1468.62
Inpatient Rehabilitation Services,POSTOP EA CAST CHG & REALIGN,L6386,$335.91,$251.93,$223.04,$282.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$268.73,$282.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$235.14,NA,NA,$251.93,NA,NA,NA,NA,NA,NA,NA,NA,$223.04,$268.73
Inpatient Rehabilitation Services,POSTOP APPLICAT RIGID DSG ON,L6388,$422.89,$317.17,$280.80,$355.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$338.31,$355.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$296.02,NA,NA,$317.17,NA,NA,NA,NA,NA,NA,NA,NA,$280.80,$338.31
Inpatient Rehabilitation Services,BELOW ELBOW PROSTH TISS SHAP,L6400,$2587.87,$1940.90,$1718.35,$2173.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2070.30,$2173.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1811.51,NA,NA,$1940.90,NA,NA,NA,NA,NA,NA,NA,NA,$1718.35,$2070.30
Inpatient Rehabilitation Services,ELB DISART PROSTH TISS SHAP,L6450,$3438.47,$2578.85,$2283.14,$2888.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2750.78,$2888.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2406.93,NA,NA,$2578.85,NA,NA,NA,NA,NA,NA,NA,NA,$2283.14,$2750.78
Inpatient Rehabilitation Services,ABOVE ELBOW PROSTH TISS SHAP,L6500,$3381.34,$2536.01,$2245.21,$2840.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2705.07,$2840.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2366.94,NA,NA,$2536.01,NA,NA,NA,NA,NA,NA,NA,NA,$2245.21,$2705.07
Inpatient Rehabilitation Services,SHLDR DISAR PROSTH TISS SHAP,L6550,$4229.39,$3172.04,$2808.31,$3552.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3383.51,$3552.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$2960.57,NA,NA,$3172.04,NA,NA,NA,NA,NA,NA,NA,NA,$2808.31,$3383.51
Inpatient Rehabilitation Services,SCAP THORAC PROSTH TISS SHAP,L6570,$4400.62,$3300.47,$2922.01,$3696.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3520.50,$3696.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$3080.43,NA,NA,$3300.47,NA,NA,NA,NA,NA,NA,NA,NA,$2922.01,$3520.50
Inpatient Rehabilitation Services,WRIST/ELBOW BOWDEN CABLE MOL,L6580,$1573.45,$1180.09,$1044.77,$1321.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1258.76,$1321.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1101.42,NA,NA,$1180.09,NA,NA,NA,NA,NA,NA,NA,NA,$1044.77,$1258.76
Inpatient Rehabilitation Services,WRIST/ELBOW BOWDEN CBL DIR F,L6582,$1534.95,$1151.21,$1019.21,$1289.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1227.96,$1289.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1074.47,NA,NA,$1151.21,NA,NA,NA,NA,NA,NA,NA,NA,$1019.21,$1227.96
Inpatient Rehabilitation Services,ELBOW FAIR LEAD CABLE MOLDED,L6584,$1712.06,$1284.05,$1136.81,$1438.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1369.65,$1438.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1198.44,NA,NA,$1284.05,NA,NA,NA,NA,NA,NA,NA,NA,$1136.81,$1369.65
Inpatient Rehabilitation Services,ELBOW FAIR LEAD CABLE DIR FO,L6586,$1781.31,$1335.98,$1182.79,$1496.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1425.05,$1496.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1246.92,NA,NA,$1335.98,NA,NA,NA,NA,NA,NA,NA,NA,$1182.79,$1425.05
Inpatient Rehabilitation Services,SHDR FAIR LEAD CABLE MOLDED,L6588,$2364.25,$1773.19,$1569.86,$1985.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1891.40,$1985.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1654.98,NA,NA,$1773.19,NA,NA,NA,NA,NA,NA,NA,NA,$1569.86,$1891.40
Inpatient Rehabilitation Services,SHDR FAIR LEAD CABLE DIRECT,L6590,$2371.21,$1778.41,$1574.48,$1991.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1896.97,$1991.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1659.85,NA,NA,$1778.41,NA,NA,NA,NA,NA,NA,NA,NA,$1574.48,$1896.97
Inpatient Rehabilitation Services,POLYCENTRIC HINGE PAIR,L6600,$156.90,$117.68,$104.18,$131.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$125.52,$131.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$109.83,NA,NA,$117.68,NA,NA,NA,NA,NA,NA,NA,NA,$104.18,$125.52
Inpatient Rehabilitation Services,SINGLE PIVOT HINGE PAIR,L6605,$154.92,$116.19,$102.87,$130.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$123.94,$130.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$108.44,NA,NA,$116.19,NA,NA,NA,NA,NA,NA,NA,NA,$102.87,$123.94
Inpatient Rehabilitation Services,FLEXIBLE METAL HINGE PAIR,L6610,$141.77,$106.33,$94.14,$119.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$113.42,$119.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$99.24,NA,NA,$106.33,NA,NA,NA,NA,NA,NA,NA,NA,$94.14,$113.42
Inpatient Rehabilitation Services,DISCONNECT LOCKING WRIST UNI,L6615,$163.30,$122.48,$108.43,$137.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$130.64,$137.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$114.31,NA,NA,$122.48,NA,NA,NA,NA,NA,NA,NA,NA,$108.43,$130.64
Inpatient Rehabilitation Services,DISCONNECT INSERT LOCKING WR,L6616,$54.25,$40.69,$36.02,$45.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43.40,$45.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37.98,NA,NA,$40.69,NA,NA,NA,NA,NA,NA,NA,NA,$36.02,$43.40
Inpatient Rehabilitation Services,FLEXION/EXTENSION WRIST UNIT,L6620,$284.57,$213.43,$188.95,$239.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$227.66,$239.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$199.20,NA,NA,$213.43,NA,NA,NA,NA,NA,NA,NA,NA,$188.95,$227.66
Inpatient Rehabilitation Services,FLEX/EXT WRIST W/WO FRICTION,L6621,$1945.45,$1459.09,$1291.78,$1634.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1556.36,$1634.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$1361.82,NA,NA,$1459.09,NA,NA,NA,NA,NA,NA,NA,NA,$1291.78,$1556.36
Inpatient Rehabilitation Services,SPRING-ASS ROT WRST W/LATCH,L6623,$536.55,$402.41,$356.27,$450.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$429.24,$450.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$375.59,NA,NA,$402.41,NA,NA,NA,NA,NA,NA,NA,NA,$356.27,$429.24
Inpatient Rehabilitation Services,ROTATION WRST W/CABLE LOCK,L6625,$444.87,$333.65,$295.39,$373.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$355.90,$373.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$311.41,NA,NA,$333.65,NA,NA,NA,NA,NA,NA,NA,NA,$295.39,$355.90
Inpatient Rehabilitation Services,QUICK DISCONN HOOK ADAPTER O,L6628,$534.27,$400.70,$354.76,$448.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$427.42,$448.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$373.99,NA,NA,$400.70,NA,NA,NA,NA,NA,NA,NA,NA,$354.76,$427.42
Inpatient Rehabilitation Services,LAMINATION COLLAR W/COUPLIN,L6629,$153.33,$115.00,$101.81,$128.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$122.66,$128.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$107.33,NA,NA,$115.00,NA,NA,NA,NA,NA,NA,NA,NA,$101.81,$122.66
Inpatient Rehabilitation Services,STAINLESS STEEL ANY WRIST,L6630,$180.27,$135.20,$119.70,$151.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$144.22,$151.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$126.19,NA,NA,$135.20,NA,NA,NA,NA,NA,NA,NA,NA,$119.70,$144.22
Inpatient Rehabilitation Services,LATEX SUSPENSION SLEEVE EACH,L6632,$72.46,$54.35,$48.11,$60.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57.97,$60.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50.72,NA,NA,$54.35,NA,NA,NA,NA,NA,NA,NA,NA,$48.11,$57.97
Inpatient Rehabilitation Services,LIFT ASSIST FOR ELBOW,L6635,$173.27,$129.95,$115.05,$145.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$138.62,$145.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$121.29,NA,NA,$129.95,NA,NA,NA,NA,NA,NA,NA,NA,$115.05,$138.62
Inpatient Rehabilitation Services,NUDGE CONTROL ELBOW LOCK,L6637,$307.14,$230.36,$203.94,$258.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$245.71,$258.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$215.00,NA,NA,$230.36,NA,NA,NA,NA,NA,NA,NA,NA,$203.94,$245.71
