Encompass Health Rehabilitation Hospital of Dothan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL BLUE ADVANTAGE (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$22320.81,$27019.93,NA,NA,NA,NA,NA,$22320.81,NA,NA,NA,$23495.59,NA,NA,$23495.59,NA,$27019.93,$23495.59,$23495.59,$23495.59,NA,$22320.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$17785.95,$21530.37,NA,NA,NA,NA,NA,$17785.95,NA,NA,NA,$18722.06,NA,NA,$18722.06,NA,$21530.37,$18722.06,$18722.06,$18722.06,NA,$17785.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$16833.70,$20377.63,NA,NA,NA,NA,NA,$16833.70,NA,NA,NA,$17719.68,NA,NA,$17719.68,NA,$20377.63,$17719.68,$17719.68,$17719.68,NA,$16833.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$17507.95,$21193.84,NA,NA,NA,NA,NA,$17507.95,NA,NA,NA,$18429.42,NA,NA,$18429.42,NA,$21193.84,$18429.42,$18429.42,$18429.42,NA,$17507.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$25627.93,$31023.28,NA,NA,NA,NA,NA,$25627.93,NA,NA,NA,$26976.77,NA,NA,$26976.77,NA,$31023.28,$26976.77,$26976.77,$26976.77,NA,$25627.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$20422.59,$24722.08,NA,NA,NA,NA,NA,$20422.59,NA,NA,NA,$21497.46,NA,NA,$21497.46,NA,$24722.08,$21497.46,$21497.46,$21497.46,NA,$20422.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$19328.18,$23397.28,NA,NA,NA,NA,NA,$19328.18,NA,NA,NA,$20345.46,NA,NA,$20345.46,NA,$23397.28,$20345.46,$20345.46,$20345.46,NA,$19328.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$11326.45,$13710.97,NA,NA,NA,NA,NA,$11326.45,NA,NA,NA,$11922.58,NA,NA,$11922.58,NA,$13710.97,$11922.58,$11922.58,$11922.58,NA,$11326.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$16302.85,$19735.03,NA,NA,NA,NA,NA,$16302.85,NA,NA,NA,$17160.89,NA,NA,$17160.89,NA,$19735.03,$17160.89,$17160.89,$17160.89,NA,$16302.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$13664.96,$16541.79,NA,NA,NA,NA,NA,$13664.96,NA,NA,NA,$14384.17,NA,NA,$14384.17,NA,$16541.79,$14384.17,$14384.17,$14384.17,NA,$13664.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$12262.36,$14843.91,NA,NA,NA,NA,NA,$12262.36,NA,NA,NA,$12907.75,NA,NA,$12907.75,NA,$14843.91,$12907.75,$12907.75,$12907.75,NA,$12262.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$13992.02,$16937.71,NA,NA,NA,NA,NA,$13992.02,NA,NA,NA,$14728.44,NA,NA,$14728.44,NA,$16937.71,$14728.44,$14728.44,$14728.44,NA,$13992.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$20139.55,$24379.46,NA,NA,NA,NA,NA,$20139.55,NA,NA,NA,$21199.53,NA,NA,$21199.53,NA,$24379.46,$21199.53,$21199.53,$21199.53,NA,$20139.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$16880.24,$20433.98,NA,NA,NA,NA,NA,$16880.24,NA,NA,NA,$17768.67,NA,NA,$17768.67,NA,$20433.98,$17768.67,$17768.67,$17768.67,NA,$16880.24,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$15148.06,$18337.13,NA,NA,NA,NA,NA,$15148.06,NA,NA,NA,$15945.33,NA,NA,$15945.33,NA,$18337.13,$15945.33,$15945.33,$15945.33,NA,$15148.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$16349.39,$19791.37,NA,NA,NA,NA,NA,$16349.39,NA,NA,NA,$17209.89,NA,NA,$17209.89,NA,$19791.37,$17209.89,$17209.89,$17209.89,NA,$16349.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$23533.46,$28487.88,NA,NA,NA,NA,NA,$23533.46,NA,NA,NA,$24772.07,NA,NA,$24772.07,NA,$28487.88,$24772.07,$24772.07,$24772.07,NA,$23533.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$19725.69,$23878.47,NA,NA,NA,NA,NA,$19725.69,NA,NA,NA,$20763.89,NA,NA,$20763.89,NA,$23878.47,$20763.89,$20763.89,$20763.89,NA,$19725.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$17701.67,$21428.34,NA,NA,NA,NA,NA,$17701.67,NA,NA,NA,$18633.34,NA,NA,$18633.34,NA,$21428.34,$18633.34,$18633.34,$18633.34,NA,$17701.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$19269.06,$23325.71,NA,NA,NA,NA,NA,$19269.06,NA,NA,NA,$20283.22,NA,NA,$20283.22,NA,$23325.71,$20283.22,$20283.22,$20283.22,NA,$19269.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$27736.23,$33575.43,NA,NA,NA,NA,NA,$27736.23,NA,NA,NA,$29196.03,NA,NA,$29196.03,NA,$33575.43,$29196.03,$29196.03,$29196.03,NA,$27736.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$23247.91,$28142.21,NA,NA,NA,NA,NA,$23247.91,NA,NA,NA,$24471.49,NA,NA,$24471.49,NA,$28142.21,$24471.49,$24471.49,$24471.49,NA,$23247.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$20862.87,$25255.05,NA,NA,NA,NA,NA,$20862.87,NA,NA,NA,$21960.91,NA,NA,$21960.91,NA,$25255.05,$21960.91,$21960.91,$21960.91,NA,$20862.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$12340.35,$14938.32,NA,NA,NA,NA,NA,$12340.35,NA,NA,NA,$12989.84,NA,NA,$12989.84,NA,$14938.32,$12989.84,$12989.84,$12989.84,NA,$12340.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$16351.91,$19794.42,NA,NA,NA,NA,NA,$16351.91,NA,NA,NA,$17212.53,NA,NA,$17212.53,NA,$19794.42,$17212.53,$17212.53,$17212.53,NA,$16351.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$14570.67,$17638.18,NA,NA,NA,NA,NA,$14570.67,NA,NA,NA,$15337.55,NA,NA,$15337.55,NA,$17638.18,$15337.55,$15337.55,$15337.55,NA,$14570.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$12726.54,$15405.81,NA,NA,NA,NA,NA,$12726.54,NA,NA,NA,$13396.35,NA,NA,$13396.35,NA,$15405.81,$13396.35,$13396.35,$13396.35,NA,$12726.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$16487.77,$19958.87,NA,NA,NA,NA,NA,$16487.77,NA,NA,NA,$17355.54,NA,NA,$17355.54,NA,$19958.87,$17355.54,$17355.54,$17355.54,NA,$16487.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$21846.57,$26445.85,NA,NA,NA,NA,NA,$21846.57,NA,NA,NA,$22996.39,NA,NA,$22996.39,NA,$26445.85,$22996.39,$22996.39,$22996.39,NA,$21846.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$19467.82,$23566.30,NA,NA,NA,NA,NA,$19467.82,NA,NA,NA,$20492.44,NA,NA,$20492.44,NA,$23566.30,$20492.44,$20492.44,$20492.44,NA,$19467.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$17003.52,$20583.21,NA,NA,NA,NA,NA,$17003.52,NA,NA,NA,$17898.44,NA,NA,$17898.44,NA,$20583.21,$17898.44,$17898.44,$17898.44,NA,$17003.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$18526.88,$22427.27,NA,NA,NA,NA,NA,$18526.88,NA,NA,NA,$19501.98,NA,NA,$19501.98,NA,$22427.27,$19501.98,$19501.98,$19501.98,NA,$18526.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$24548.62,$29716.75,NA,NA,NA,NA,NA,$24548.62,NA,NA,NA,$25840.65,NA,NA,$25840.65,NA,$29716.75,$25840.65,$25840.65,$25840.65,NA,$24548.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$21875.50,$26480.87,NA,NA,NA,NA,NA,$21875.50,NA,NA,NA,$23026.85,NA,NA,$23026.85,NA,$26480.87,$23026.85,$23026.85,$23026.85,NA,$21875.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$19105.53,$23127.75,NA,NA,NA,NA,NA,$19105.53,NA,NA,NA,$20111.08,NA,NA,$20111.08,NA,$23127.75,$20111.08,$20111.08,$20111.08,NA,$19105.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$10966.68,$13275.46,NA,NA,NA,NA,NA,$10966.68,NA,NA,NA,$11543.88,NA,NA,$11543.88,NA,$13275.46,$11543.88,$11543.88,$11543.88,NA,$10966.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$17926.84,$21700.92,NA,NA,NA,NA,NA,$17926.84,NA,NA,NA,$18870.36,NA,NA,$18870.36,NA,$21700.92,$18870.36,$18870.36,$18870.36,NA,$17926.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$11944.10,$14458.65,NA,NA,NA,NA,NA,$11944.10,NA,NA,NA,$12572.74,NA,NA,$12572.74,NA,$14458.65,$12572.74,$12572.74,$12572.74,NA,$11944.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$11944.10,$14458.65,NA,NA,NA,NA,NA,$11944.10,NA,NA,NA,$12572.74,NA,NA,$12572.74,NA,$14458.65,$12572.74,$12572.74,$12572.74,NA,$11944.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$13779.43,$16680.36,NA,NA,NA,NA,NA,$13779.43,NA,NA,NA,$14504.66,NA,NA,$14504.66,NA,$16680.36,$14504.66,$14504.66,$14504.66,NA,$13779.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$22525.86,$27268.14,NA,NA,NA,NA,NA,$22525.86,NA,NA,NA,$23711.43,NA,NA,$23711.43,NA,$27268.14,$23711.43,$23711.43,$23711.43,NA,$22525.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$15007.17,$18166.58,NA,NA,NA,NA,NA,$15007.17,NA,NA,NA,$15797.03,NA,NA,$15797.03,NA,$18166.58,$15797.03,$15797.03,$15797.03,NA,$15007.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$15007.17,$18166.58,NA,NA,NA,NA,NA,$15007.17,NA,NA,NA,$15797.03,NA,NA,$15797.03,NA,$18166.58,$15797.03,$15797.03,$15797.03,NA,$15007.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$16018.56,$19390.88,NA,NA,NA,NA,NA,$16018.56,NA,NA,NA,$16861.64,NA,NA,$16861.64,NA,$19390.88,$16861.64,$16861.64,$16861.64,NA,$16018.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$26183.93,$31696.34,NA,NA,NA,NA,NA,$26183.93,NA,NA,NA,$27562.04,NA,NA,$27562.04,NA,$31696.34,$27562.04,$27562.04,$27562.04,NA,$26183.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$17443.80,$21116.17,NA,NA,NA,NA,NA,$17443.80,NA,NA,NA,$18361.89,NA,NA,$18361.89,NA,$21116.17,$18361.89,$18361.89,$18361.89,NA,$17443.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$17443.80,$21116.17,NA,NA,NA,NA,NA,$17443.80,NA,NA,NA,$18361.89,NA,NA,$18361.89,NA,$21116.17,$18361.89,$18361.89,$18361.89,NA,$17443.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$16834.96,$20379.16,NA,NA,NA,NA,NA,$16834.96,NA,NA,NA,$17721.01,NA,NA,$17721.01,NA,$20379.16,$17721.01,$17721.01,$17721.01,NA,$16834.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$27519.86,$33313.52,NA,NA,NA,NA,NA,$27519.86,NA,NA,NA,$28968.28,NA,NA,$28968.28,NA,$33313.52,$28968.28,$28968.28,$28968.28,NA,$27519.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$18334.42,$22194.29,NA,NA,NA,NA,NA,$18334.42,NA,NA,NA,$19299.38,NA,NA,$19299.38,NA,$22194.29,$19299.38,$19299.38,$19299.38,NA,$18334.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$18334.42,$22194.29,NA,NA,NA,NA,NA,$18334.42,NA,NA,NA,$19299.38,NA,NA,$19299.38,NA,$22194.29,$19299.38,$19299.38,$19299.38,NA,$18334.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$9871.02,$11949.13,NA,NA,NA,NA,NA,$9871.02,NA,NA,NA,$10390.55,NA,NA,$10390.55,NA,$11949.13,$10390.55,$10390.55,$10390.55,NA,$9871.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$14185.74,$17172.21,NA,NA,NA,NA,NA,$14185.74,NA,NA,NA,$14932.36,NA,NA,$14932.36,NA,$17172.21,$14932.36,$14932.36,$14932.36,NA,$14185.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$11712.64,$14178.46,NA,NA,NA,NA,NA,$11712.64,NA,NA,NA,$12329.10,NA,NA,$12329.10,NA,$14178.46,$12329.10,$12329.10,$12329.10,NA,$11712.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$11118.89,$13459.71,NA,NA,NA,NA,NA,$11118.89,NA,NA,NA,$11704.10,NA,NA,$11704.10,NA,$13459.71,$11704.10,$11704.10,$11704.10,NA,$11118.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$13506.46,$16349.92,NA,NA,NA,NA,NA,$13506.46,NA,NA,NA,$14217.32,NA,NA,$14217.32,NA,$16349.92,$14217.32,$14217.32,$14217.32,NA,$13506.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$19408.69,$23494.73,NA,NA,NA,NA,NA,$19408.69,NA,NA,NA,$20430.20,NA,NA,$20430.20,NA,$23494.73,$20430.20,$20430.20,$20430.20,NA,$19408.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$16026.10,$19400.02,NA,NA,NA,NA,NA,$16026.10,NA,NA,NA,$16869.58,NA,NA,$16869.58,NA,$19400.02,$16869.58,$16869.58,$16869.58,NA,$16026.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$15213.48,$18416.31,NA,NA,NA,NA,NA,$15213.48,NA,NA,NA,$16014.19,NA,NA,$16014.19,NA,$18416.31,$16014.19,$16014.19,$16014.19,NA,$15213.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$15569.47,$18847.26,NA,NA,NA,NA,NA,$15569.47,NA,NA,NA,$16388.92,NA,NA,$16388.92,NA,$18847.26,$16388.92,$16388.92,$16388.92,NA,$15569.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$22373.65,$27083.89,NA,NA,NA,NA,NA,$22373.65,NA,NA,NA,$23551.21,NA,NA,$23551.21,NA,$27083.89,$23551.21,$23551.21,$23551.21,NA,$22373.65,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$18474.05,$22363.32,NA,NA,NA,NA,NA,$18474.05,NA,NA,NA,$19446.36,NA,NA,$19446.36,NA,$22363.32,$19446.36,$19446.36,$19446.36,NA,$18474.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$17536.88,$21228.86,NA,NA,NA,NA,NA,$17536.88,NA,NA,NA,$18459.88,NA,NA,$18459.88,NA,$21228.86,$18459.88,$18459.88,$18459.88,NA,$17536.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$18047.61,$21847.10,NA,NA,NA,NA,NA,$18047.61,NA,NA,NA,$18997.48,NA,NA,$18997.48,NA,$21847.10,$18997.48,$18997.48,$18997.48,NA,$18047.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$25934.86,$31394.83,NA,NA,NA,NA,NA,$25934.86,NA,NA,NA,$27299.86,NA,NA,$27299.86,NA,$31394.83,$27299.86,$27299.86,$27299.86,NA,$25934.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$21415.10,$25923.54,NA,NA,NA,NA,NA,$21415.10,NA,NA,NA,$22542.21,NA,NA,$22542.21,NA,$25923.54,$22542.21,$22542.21,$22542.21,NA,$21415.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$20329.50,$24609.40,NA,NA,NA,NA,NA,$20329.50,NA,NA,NA,$21399.48,NA,NA,$21399.48,NA,$24609.40,$21399.48,$21399.48,$21399.48,NA,$20329.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$18274.03,$22121.20,NA,NA,NA,NA,NA,$18274.03,NA,NA,NA,$19235.83,NA,NA,$19235.83,NA,$22121.20,$19235.83,$19235.83,$19235.83,NA,$18274.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$26260.67,$31789.23,NA,NA,NA,NA,NA,$26260.67,NA,NA,NA,$27642.81,NA,NA,$27642.81,NA,$31789.23,$27642.81,$27642.81,$27642.81,NA,$26260.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$21683.04,$26247.89,NA,NA,NA,NA,NA,$21683.04,NA,NA,NA,$22824.25,NA,NA,$22824.25,NA,$26247.89,$22824.25,$22824.25,$22824.25,NA,$21683.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$20583.60,$24916.99,NA,NA,NA,NA,NA,$20583.60,NA,NA,NA,$21666.95,NA,NA,$21666.95,NA,$24916.99,$21666.95,$21666.95,$21666.95,NA,$20583.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$9541.44,$11550.17,NA,NA,NA,NA,NA,$9541.44,NA,NA,NA,$10043.62,NA,NA,$10043.62,NA,$11550.17,$10043.62,$10043.62,$10043.62,NA,$9541.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$14410.91,$17444.79,NA,NA,NA,NA,NA,$14410.91,NA,NA,NA,$15169.38,NA,NA,$15169.38,NA,$17444.79,$15169.38,$15169.38,$15169.38,NA,$14410.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$11814.53,$14301.80,NA,NA,NA,NA,NA,$11814.53,NA,NA,NA,$12436.35,NA,NA,$12436.35,NA,$14301.80,$12436.35,$12436.35,$12436.35,NA,$11814.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$10663.52,$12908.47,NA,NA,NA,NA,NA,$10663.52,NA,NA,NA,$11224.76,NA,NA,$11224.76,NA,$12908.47,$11224.76,$11224.76,$11224.76,NA,$10663.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$11986.87,$14510.42,NA,NA,NA,NA,NA,$11986.87,NA,NA,NA,$12617.76,NA,NA,$12617.76,NA,$14510.42,$12617.76,$12617.76,$12617.76,NA,$11986.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$18102.95,$21914.10,NA,NA,NA,NA,NA,$18102.95,NA,NA,NA,$19055.74,NA,NA,$19055.74,NA,$21914.10,$19055.74,$19055.74,$19055.74,NA,$18102.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$14842.39,$17967.10,NA,NA,NA,NA,NA,$14842.39,NA,NA,NA,$15623.56,NA,NA,$15623.56,NA,$17967.10,$15623.56,$15623.56,$15623.56,NA,$14842.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$13397.02,$16217.44,NA,NA,NA,NA,NA,$13397.02,NA,NA,NA,$14102.12,NA,NA,$14102.12,NA,$16217.44,$14102.12,$14102.12,$14102.12,NA,$13397.02,NA,NA,NA,NA
