Encompass Health Rehabilitation Hospital of Gadsden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BC/BS ALABAMA (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HLTHCARE MEDICARE (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$10229.91,$12383.58,NA,NA,NA,NA,NA,$10445.28,NA,NA,NA,$10768.33,NA,$10768.33,NA,$10768.33,NA,$12383.58,$10768.33,$10768.33,$10768.33,NA,$10229.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$14975.76,$18128.55,NA,NA,NA,NA,NA,$15291.04,NA,NA,NA,$15763.96,NA,$15763.96,NA,$15763.96,NA,$18128.55,$15763.96,$15763.96,$15763.96,NA,$14975.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$11933.87,$14446.26,NA,NA,NA,NA,NA,$12185.10,NA,NA,NA,$12561.96,NA,$12561.96,NA,$12561.96,NA,$14446.26,$12561.96,$12561.96,$12561.96,NA,$11933.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$11293.34,$13670.88,NA,NA,NA,NA,NA,$11531.09,NA,NA,NA,$11887.72,NA,$11887.72,NA,$11887.72,NA,$13670.88,$11887.72,$11887.72,$11887.72,NA,$11293.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$12737.62,$15419.22,NA,NA,NA,NA,NA,$13005.78,NA,NA,NA,$13408.02,NA,$13408.02,NA,$13408.02,NA,$15419.22,$13408.02,$13408.02,$13408.02,NA,$12737.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$18644.58,$22569.75,NA,NA,NA,NA,NA,$19037.10,NA,NA,NA,$19625.87,NA,$19625.87,NA,$19625.87,NA,$22569.75,$19625.87,$19625.87,$19625.87,NA,$18644.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$14857.05,$17984.85,NA,NA,NA,NA,NA,$15169.83,NA,NA,NA,$15639.00,NA,$15639.00,NA,$15639.00,NA,$17984.85,$15639.00,$15639.00,$15639.00,NA,$14857.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$14060.72,$17020.87,NA,NA,NA,NA,NA,$14356.73,NA,NA,NA,$14800.76,NA,$14800.76,NA,$14800.76,NA,$17020.87,$14800.76,$14800.76,$14800.76,NA,$14060.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$14989.36,$18145.02,NA,NA,NA,NA,NA,$15304.93,NA,NA,NA,$15778.27,NA,$15778.27,NA,$15778.27,NA,$18145.02,$15778.27,$15778.27,$15778.27,NA,$14989.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$21941.20,$26560.40,NA,NA,NA,NA,NA,$22403.12,NA,NA,NA,$23096.00,NA,$23096.00,NA,$23096.00,NA,$26560.40,$23096.00,$23096.00,$23096.00,NA,$21941.20,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$17483.47,$21164.19,NA,NA,NA,NA,NA,$17851.54,NA,NA,NA,$18403.65,NA,$18403.65,NA,$18403.65,NA,$21164.19,$18403.65,$18403.65,$18403.65,NA,$17483.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$16547.40,$20031.07,NA,NA,NA,NA,NA,$16895.77,NA,NA,NA,$17418.32,NA,$17418.32,NA,$17418.32,NA,$20031.07,$17418.32,$17418.32,$17418.32,NA,$16547.40,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$17210.19,$20833.39,NA,NA,NA,NA,NA,$17572.51,NA,NA,NA,$18115.99,NA,$18115.99,NA,$18115.99,NA,$20833.39,$18115.99,$18115.99,$18115.99,NA,$17210.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$25192.07,$30495.66,NA,NA,NA,NA,NA,$25722.43,NA,NA,NA,$26517.97,NA,$26517.97,NA,$26517.97,NA,$30495.66,$26517.97,$26517.97,$26517.97,NA,$25192.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$20075.26,$24301.63,NA,NA,NA,NA,NA,$20497.89,NA,NA,NA,$21131.85,NA,$21131.85,NA,$21131.85,NA,$24301.63,$21131.85,$21131.85,$21131.85,NA,$20075.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$18999.47,$22999.35,NA,NA,NA,NA,NA,$19399.45,NA,NA,NA,$19999.44,NA,$19999.44,NA,$19999.44,NA,$22999.35,$19999.44,$19999.44,$19999.44,NA,$18999.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$11133.82,$13477.79,NA,NA,NA,NA,NA,$11368.22,NA,NA,NA,$11719.81,NA,$11719.81,NA,$11719.81,NA,$13477.79,$11719.81,$11719.81,$11719.81,NA,$11133.82,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$16025.58,$19399.39,NA,NA,NA,NA,NA,$16362.96,NA,NA,NA,$16869.03,NA,$16869.03,NA,$16869.03,NA,$19399.39,$16869.03,$16869.03,$16869.03,NA,$16025.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$13432.55,$16260.46,NA,NA,NA,NA,NA,$13715.34,NA,NA,NA,$14139.53,NA,$14139.53,NA,$14139.53,NA,$16260.46,$14139.53,$14139.53,$14139.53,NA,$13432.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$12053.81,$14591.45,NA,NA,NA,NA,NA,$12307.57,NA,NA,NA,$12688.22,NA,$12688.22,NA,$12688.22,NA,$14591.45,$12688.22,$12688.22,$12688.22,NA,$12053.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$13754.05,$16649.65,NA,NA,NA,NA,NA,$14043.61,NA,NA,NA,$14477.95,NA,$14477.95,NA,$14477.95,NA,$16649.65,$14477.95,$14477.95,$14477.95,NA,$13754.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$19797.04,$23964.83,NA,NA,NA,NA,NA,$20213.81,NA,NA,NA,$20838.98,NA,$20838.98,NA,$20838.98,NA,$23964.83,$20838.98,$20838.98,$20838.98,NA,$19797.04,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$16593.16,$20086.45,NA,NA,NA,NA,NA,$16942.48,NA,NA,NA,$17466.48,NA,$17466.48,NA,$17466.48,NA,$20086.45,$17466.48,$17466.48,$17466.48,NA,$16593.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$14890.44,$18025.27,NA,NA,NA,NA,NA,$15203.92,NA,NA,NA,$15674.14,NA,$15674.14,NA,$15674.14,NA,$18025.27,$15674.14,$15674.14,$15674.14,NA,$14890.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$16071.33,$19454.77,NA,NA,NA,NA,NA,$16409.68,NA,NA,NA,$16917.19,NA,$16917.19,NA,$16917.19,NA,$19454.77,$16917.19,$16917.19,$16917.19,NA,$16071.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$23133.22,$28003.38,NA,NA,NA,NA,NA,$23620.24,NA,NA,NA,$24350.76,NA,$24350.76,NA,$24350.76,NA,$28003.38,$24350.76,$24350.76,$24350.76,NA,$23133.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$19390.21,$23472.36,NA,NA,NA,NA,NA,$19798.43,NA,NA,NA,$20410.75,NA,$20410.75,NA,$20410.75,NA,$23472.36,$20410.75,$20410.75,$20410.75,NA,$19390.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$17400.62,$21063.90,NA,NA,NA,NA,NA,$17766.95,NA,NA,NA,$18316.44,NA,$18316.44,NA,$18316.44,NA,$21063.90,$18316.44,$18316.44,$18316.44,NA,$17400.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$18941.35,$22929.00,NA,NA,NA,NA,NA,$19340.11,NA,NA,NA,$19938.26,NA,$19938.26,NA,$19938.26,NA,$22929.00,$19938.26,$19938.26,$19938.26,NA,$18941.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$27264.51,$33004.41,NA,NA,NA,NA,NA,$27838.50,NA,NA,NA,$28699.49,NA,$28699.49,NA,$28699.49,NA,$33004.41,$28699.49,$28699.49,$28699.49,NA,$27264.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$22852.53,$27663.59,NA,NA,NA,NA,NA,$23333.64,NA,NA,NA,$24055.29,NA,$24055.29,NA,$24055.29,NA,$27663.59,$24055.29,$24055.29,$24055.29,NA,$22852.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$20508.05,$24825.53,NA,NA,NA,NA,NA,$20939.79,NA,NA,NA,$21587.42,NA,$21587.42,NA,$21587.42,NA,$24825.53,$21587.42,$21587.42,$21587.42,NA,$20508.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$12130.48,$14684.26,NA,NA,NA,NA,NA,$12385.85,NA,NA,NA,$12768.92,NA,$12768.92,NA,$12768.92,NA,$14684.26,$12768.92,$12768.92,$12768.92,NA,$12130.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$16073.81,$19457.77,NA,NA,NA,NA,NA,$16412.20,NA,NA,NA,$16919.80,NA,$16919.80,NA,$16919.80,NA,$19457.77,$16919.80,$16919.80,$16919.80,NA,$16073.81,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$14322.86,$17338.20,NA,NA,NA,NA,NA,$14624.40,NA,NA,NA,$15076.70,NA,$15076.70,NA,$15076.70,NA,$17338.20,$15076.70,$15076.70,$15076.70,NA,$14322.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$12510.09,$15143.80,NA,NA,NA,NA,NA,$12773.46,NA,NA,NA,$13168.52,NA,$13168.52,NA,$13168.52,NA,$15143.80,$13168.52,$13168.52,$13168.52,NA,$12510.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$16207.35,$19619.43,NA,NA,NA,NA,NA,$16548.56,NA,NA,NA,$17060.37,NA,$17060.37,NA,$17060.37,NA,$19619.43,$17060.37,$17060.37,$17060.37,NA,$16207.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$21475.02,$25996.08,NA,NA,NA,NA,NA,$21927.13,NA,NA,NA,$22605.29,NA,$22605.29,NA,$22605.29,NA,$25996.08,$22605.29,$22605.29,$22605.29,NA,$21475.02,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$19136.72,$23165.51,NA,NA,NA,NA,NA,$19539.60,NA,NA,NA,$20143.92,NA,$20143.92,NA,$20143.92,NA,$23165.51,$20143.92,$20143.92,$20143.92,NA,$19136.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$16714.34,$20233.14,NA,NA,NA,NA,NA,$17066.22,NA,NA,NA,$17594.04,NA,$17594.04,NA,$17594.04,NA,$20233.14,$17594.04,$17594.04,$17594.04,NA,$16714.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$18211.79,$22045.85,NA,NA,NA,NA,NA,$18595.19,NA,NA,NA,$19170.30,NA,$19170.30,NA,$19170.30,NA,$22045.85,$19170.30,$19170.30,$19170.30,NA,$18211.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$24131.11,$29211.35,NA,NA,NA,NA,NA,$24639.14,NA,NA,NA,$25401.17,NA,$25401.17,NA,$25401.17,NA,$29211.35,$25401.17,$25401.17,$25401.17,NA,$24131.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$21503.46,$26030.51,NA,NA,NA,NA,NA,$21956.17,NA,NA,NA,$22635.22,NA,$22635.22,NA,$22635.22,NA,$26030.51,$22635.22,$22635.22,$22635.22,NA,$21503.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$18780.60,$22734.41,NA,NA,NA,NA,NA,$19175.98,NA,NA,NA,$19769.05,NA,$19769.05,NA,$19769.05,NA,$22734.41,$19769.05,$19769.05,$19769.05,NA,$18780.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$10780.17,$13049.68,NA,NA,NA,NA,NA,$11007.12,NA,NA,NA,$11347.55,NA,$11347.55,NA,$11347.55,NA,$13049.68,$11347.55,$11347.55,$11347.55,NA,$10780.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$17621.96,$21331.84,NA,NA,NA,NA,NA,$17992.95,NA,NA,NA,$18549.43,NA,$18549.43,NA,$18549.43,NA,$21331.84,$18549.43,$18549.43,$18549.43,NA,$17621.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$11740.96,$14212.75,NA,NA,NA,NA,NA,$11988.14,NA,NA,NA,$12358.91,NA,$12358.91,NA,$12358.91,NA,$14212.75,$12358.91,$12358.91,$12358.91,NA,$11740.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$11740.96,$14212.75,NA,NA,NA,NA,NA,$11988.14,NA,NA,NA,$12358.91,NA,$12358.91,NA,$12358.91,NA,$14212.75,$12358.91,$12358.91,$12358.91,NA,$11740.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$13545.08,$16396.68,NA,NA,NA,NA,NA,$13830.24,NA,NA,NA,$14257.98,NA,$14257.98,NA,$14257.98,NA,$16396.68,$14257.98,$14257.98,$14257.98,NA,$13545.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$22142.75,$26804.39,NA,NA,NA,NA,NA,$22608.92,NA,NA,NA,$23308.16,NA,$23308.16,NA,$23308.16,NA,$26804.39,$23308.16,$23308.16,$23308.16,NA,$22142.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$14751.94,$17857.62,NA,NA,NA,NA,NA,$15062.51,NA,NA,NA,$15528.36,NA,$15528.36,NA,$15528.36,NA,$17857.62,$15528.36,$15528.36,$15528.36,NA,$14751.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$14751.94,$17857.62,NA,NA,NA,NA,NA,$15062.51,NA,NA,NA,$15528.36,NA,$15528.36,NA,$15528.36,NA,$17857.62,$15528.36,$15528.36,$15528.36,NA,$14751.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$15746.12,$19061.10,NA,NA,NA,NA,NA,$16077.62,NA,NA,NA,$16574.87,NA,$16574.87,NA,$16574.87,NA,$19061.10,$16574.87,$16574.87,$16574.87,NA,$15746.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$25738.62,$31157.28,NA,NA,NA,NA,NA,$26280.48,NA,NA,NA,$27093.28,NA,$27093.28,NA,$27093.28,NA,$31157.28,$27093.28,$27093.28,$27093.28,NA,$25738.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$17147.13,$20757.05,NA,NA,NA,NA,NA,$17508.12,NA,NA,NA,$18049.61,NA,$18049.61,NA,$18049.61,NA,$20757.05,$18049.61,$18049.61,$18049.61,NA,$17147.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$17147.13,$20757.05,NA,NA,NA,NA,NA,$17508.12,NA,NA,NA,$18049.61,NA,$18049.61,NA,$18049.61,NA,$20757.05,$18049.61,$18049.61,$18049.61,NA,$17147.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$16548.64,$20032.56,NA,NA,NA,NA,NA,$16897.03,NA,NA,NA,$17419.62,NA,$17419.62,NA,$17419.62,NA,$20032.56,$17419.62,$17419.62,$17419.62,NA,$16548.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$27051.83,$32746.95,NA,NA,NA,NA,NA,$27621.34,NA,NA,NA,$28475.61,NA,$28475.61,NA,$28475.61,NA,$32746.95,$28475.61,$28475.61,$28475.61,NA,$27051.83,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$18022.60,$21816.83,NA,NA,NA,NA,NA,$18402.02,NA,NA,NA,$18971.16,NA,$18971.16,NA,$18971.16,NA,$21816.83,$18971.16,$18971.16,$18971.16,NA,$18022.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$18022.60,$21816.83,NA,NA,NA,NA,NA,$18402.02,NA,NA,NA,$18971.16,NA,$18971.16,NA,$18971.16,NA,$21816.83,$18971.16,$18971.16,$18971.16,NA,$18022.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$9703.14,$11745.91,NA,NA,NA,NA,NA,$9907.42,NA,NA,NA,$10213.84,NA,$10213.84,NA,$10213.84,NA,$11745.91,$10213.84,$10213.84,$10213.84,NA,$9703.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$13944.48,$16880.16,NA,NA,NA,NA,NA,$14238.05,NA,NA,NA,$14678.40,NA,$14678.40,NA,$14678.40,NA,$16880.16,$14678.40,$14678.40,$14678.40,NA,$13944.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$11513.44,$13937.32,NA,NA,NA,NA,NA,$11755.83,NA,NA,NA,$12119.41,NA,$12119.41,NA,$12119.41,NA,$13937.32,$12119.41,$12119.41,$12119.41,NA,$11513.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$10929.79,$13230.80,NA,NA,NA,NA,NA,$11159.89,NA,NA,NA,$11505.05,NA,$11505.05,NA,$11505.05,NA,$13230.80,$11505.05,$11505.05,$11505.05,NA,$10929.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$13276.75,$16071.86,NA,NA,NA,NA,NA,$13556.26,NA,NA,NA,$13975.53,NA,$13975.53,NA,$13975.53,NA,$16071.86,$13975.53,$13975.53,$13975.53,NA,$13276.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$19078.60,$23095.15,NA,NA,NA,NA,NA,$19480.26,NA,NA,NA,$20082.74,NA,$20082.74,NA,$20082.74,NA,$23095.15,$20082.74,$20082.74,$20082.74,NA,$19078.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$15753.54,$19070.08,NA,NA,NA,NA,NA,$16085.20,NA,NA,NA,$16582.68,NA,$16582.68,NA,$16582.68,NA,$19070.08,$16582.68,$16582.68,$16582.68,NA,$15753.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$14954.74,$18103.10,NA,NA,NA,NA,NA,$15269.57,NA,NA,NA,$15741.83,NA,$15741.83,NA,$15741.83,NA,$18103.10,$15741.83,$15741.83,$15741.83,NA,$14954.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$15304.68,$18526.72,NA,NA,NA,NA,NA,$15626.88,NA,NA,NA,$16110.19,NA,$16110.19,NA,$16110.19,NA,$18526.72,$16110.19,$16110.19,$16110.19,NA,$15304.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$21993.13,$26623.27,NA,NA,NA,NA,NA,$22456.15,NA,NA,NA,$23150.67,NA,$23150.67,NA,$23150.67,NA,$26623.27,$23150.67,$23150.67,$23150.67,NA,$21993.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$18159.85,$21982.98,NA,NA,NA,NA,NA,$18542.17,NA,NA,NA,$19115.64,NA,$19115.64,NA,$19115.64,NA,$21982.98,$19115.64,$19115.64,$19115.64,NA,$18159.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$17238.63,$20867.82,NA,NA,NA,NA,NA,$17601.55,NA,NA,NA,$18145.93,NA,$18145.93,NA,$18145.93,NA,$20867.82,$18145.93,$18145.93,$18145.93,NA,$17238.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$17740.67,$21475.54,NA,NA,NA,NA,NA,$18114.15,NA,NA,NA,$18674.39,NA,$18674.39,NA,$18674.39,NA,$21475.54,$18674.39,$18674.39,$18674.39,NA,$17740.67,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$25493.78,$30860.90,NA,NA,NA,NA,NA,$26030.49,NA,NA,NA,$26835.56,NA,$26835.56,NA,$26835.56,NA,$30860.90,$26835.56,$26835.56,$26835.56,NA,$25493.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$21050.89,$25482.65,NA,NA,NA,NA,NA,$21494.07,NA,NA,NA,$22158.83,NA,$22158.83,NA,$22158.83,NA,$25482.65,$22158.83,$22158.83,$22158.83,NA,$21050.89,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$19983.75,$24190.86,NA,NA,NA,NA,NA,$20404.46,NA,NA,NA,$21035.53,NA,$21035.53,NA,$21035.53,NA,$24190.86,$21035.53,$21035.53,$21035.53,NA,$19983.75,NA,NA,NA,NA
