Encompass Health Rehabilitation Hospital of Altamonte Springs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA MILITARY HEALTH (TRI) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$18946.47,$21790.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37894.79,NA,NA,NA,NA,$37894.79,$37894.79,$37894.79,NA,NA,$43579.01,$37894.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$27733.55,$31896.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55469.82,NA,NA,NA,NA,$55469.82,$55469.82,$55469.82,NA,NA,$63790.30,$55469.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$22099.00,$25416.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44200.17,NA,NA,NA,NA,$44200.17,$44200.17,$44200.17,NA,NA,$50830.19,$44200.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$20915.83,$24055.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41833.70,NA,NA,NA,NA,$41833.70,$41833.70,$41833.70,NA,NA,$48108.75,$41833.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$21753.58,$25019.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43509.29,NA,NA,NA,NA,$43509.29,$43509.29,$43509.29,NA,NA,$50035.69,$43509.29,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$31842.63,$36622.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$63688.38,NA,NA,NA,NA,$63688.38,$63688.38,$63688.38,NA,NA,$73241.64,$63688.38,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$25375.01,$29184.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50752.51,NA,NA,NA,NA,$50752.51,$50752.51,$50752.51,NA,NA,$58365.38,$50752.51,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$24015.22,$27620.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48032.79,NA,NA,NA,NA,$48032.79,$48032.79,$48032.79,NA,NA,$55237.70,$48032.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$14073.09,$16185.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28147.56,NA,NA,NA,NA,$28147.56,$28147.56,$28147.56,NA,NA,$32369.69,$28147.56,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$20256.25,$23296.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40514.48,NA,NA,NA,NA,$40514.48,$40514.48,$40514.48,NA,NA,$46591.64,$40514.48,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$16978.67,$19527.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33959.01,NA,NA,NA,NA,$33959.01,$33959.01,$33959.01,NA,NA,$39052.86,$33959.01,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15235.95,$17523.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30473.39,NA,NA,NA,NA,$30473.39,$30473.39,$30473.39,NA,NA,$35044.40,$30473.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$17385.05,$19994.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34771.80,NA,NA,NA,NA,$34771.80,$34771.80,$34771.80,NA,NA,$39987.57,$34771.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$25023.34,$28779.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50049.13,NA,NA,NA,NA,$50049.13,$50049.13,$50049.13,NA,NA,$57556.50,$50049.13,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$20973.66,$24122.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41949.37,NA,NA,NA,NA,$41949.37,$41949.37,$41949.37,NA,NA,$48241.76,$41949.37,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$18821.43,$21646.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37644.70,NA,NA,NA,NA,$37644.70,$37644.70,$37644.70,NA,NA,$43291.40,$37644.70,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$20314.08,$23363.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40630.15,NA,NA,NA,NA,$40630.15,$40630.15,$40630.15,NA,NA,$46724.67,$40630.15,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$29240.27,$33629.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58483.40,NA,NA,NA,NA,$58483.40,$58483.40,$58483.40,NA,NA,$67255.91,$58483.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$24509.12,$28188.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49020.64,NA,NA,NA,NA,$49020.64,$49020.64,$49020.64,NA,NA,$56373.74,$49020.64,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$21994.28,$25295.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43990.72,NA,NA,NA,NA,$43990.72,$43990.72,$43990.72,NA,NA,$50589.33,$43990.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$23941.76,$27535.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47885.86,NA,NA,NA,NA,$47885.86,$47885.86,$47885.86,NA,NA,$55068.74,$47885.86,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$34462.19,$39635.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68927.75,NA,NA,NA,NA,$68927.75,$68927.75,$68927.75,NA,NA,$79266.92,$68927.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$28885.47,$33221.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57773.77,NA,NA,NA,NA,$57773.77,$57773.77,$57773.77,NA,NA,$66439.83,$57773.77,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$25922.06,$29813.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51846.65,NA,NA,NA,NA,$51846.65,$51846.65,$51846.65,NA,NA,$59623.64,$51846.65,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15332.85,$17634.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30667.20,NA,NA,NA,NA,$30667.20,$30667.20,$30667.20,NA,NA,$35267.29,$30667.20,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$20317.20,$23367.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40636.39,NA,NA,NA,NA,$40636.39,$40636.39,$40636.39,NA,NA,$46731.85,$40636.39,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$18104.02,$20821.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36209.81,NA,NA,NA,NA,$36209.81,$36209.81,$36209.81,NA,NA,$41641.28,$36209.81,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$15812.69,$18186.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31626.93,NA,NA,NA,NA,$31626.93,$31626.93,$31626.93,NA,NA,$36370.96,$31626.93,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$20486.01,$23561.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40974.02,NA,NA,NA,NA,$40974.02,$40974.02,$40974.02,NA,NA,$47120.12,$40974.02,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$27144.31,$31219.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54291.28,NA,NA,NA,NA,$54291.28,$54291.28,$54291.28,NA,NA,$62434.96,$54291.28,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$24188.71,$27819.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48379.79,NA,NA,NA,NA,$48379.79,$48379.79,$48379.79,NA,NA,$55636.76,$48379.79,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$21126.83,$24298.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42255.73,NA,NA,NA,NA,$42255.73,$42255.73,$42255.73,NA,NA,$48594.08,$42255.73,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$23019.60,$26475.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46041.45,NA,NA,NA,NA,$46041.45,$46041.45,$46041.45,NA,NA,$52947.67,$46041.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$30501.59,$35080.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$61006.17,NA,NA,NA,NA,$61006.17,$61006.17,$61006.17,NA,NA,$70157.10,$61006.17,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$27180.26,$31260.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54363.18,NA,NA,NA,NA,$54363.18,$54363.18,$54363.18,NA,NA,$62517.66,$54363.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$23738.57,$27302.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47479.46,NA,NA,NA,NA,$47479.46,$47479.46,$47479.46,NA,NA,$54601.39,$47479.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$13626.08,$15671.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27253.49,NA,NA,NA,NA,$27253.49,$27253.49,$27253.49,NA,NA,$31341.51,$27253.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$22274.06,$25617.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44550.30,NA,NA,NA,NA,$44550.30,$44550.30,$44550.30,NA,NA,$51232.83,$44550.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$14840.51,$17068.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29682.48,NA,NA,NA,NA,$29682.48,$29682.48,$29682.48,NA,NA,$34134.85,$29682.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$14840.51,$17068.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29682.48,NA,NA,NA,NA,$29682.48,$29682.48,$29682.48,NA,NA,$34134.85,$29682.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$17120.90,$19690.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34243.48,NA,NA,NA,NA,$34243.48,$34243.48,$34243.48,NA,NA,$39380.01,$34243.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$27988.32,$32189.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55979.38,NA,NA,NA,NA,$55979.38,$55979.38,$55979.38,NA,NA,$64376.29,$55979.38,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$18646.38,$21445.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37294.58,NA,NA,NA,NA,$37294.58,$37294.58,$37294.58,NA,NA,$42888.76,$37294.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$18646.38,$21445.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37294.58,NA,NA,NA,NA,$37294.58,$37294.58,$37294.58,NA,NA,$42888.76,$37294.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$19903.01,$22890.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39807.97,NA,NA,NA,NA,$39807.97,$39807.97,$39807.97,NA,NA,$45779.17,$39807.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$32533.47,$37417.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65070.13,NA,NA,NA,NA,$65070.13,$65070.13,$65070.13,NA,NA,$74830.64,$65070.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$21673.87,$24927.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43349.86,NA,NA,NA,NA,$43349.86,$43349.86,$43349.86,NA,NA,$49852.34,$43349.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$21673.87,$24927.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43349.86,NA,NA,NA,NA,$43349.86,$43349.86,$43349.86,NA,NA,$49852.34,$43349.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$20917.39,$24057.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41836.83,NA,NA,NA,NA,$41836.83,$41836.83,$41836.83,NA,NA,$48112.35,$41836.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$34193.36,$39326.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$68390.06,NA,NA,NA,NA,$68390.06,$68390.06,$68390.06,NA,NA,$78648.57,$68390.06,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$22780.46,$26200.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45563.15,NA,NA,NA,NA,$45563.15,$45563.15,$45563.15,NA,NA,$52397.63,$45563.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$22780.46,$26200.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45563.15,NA,NA,NA,NA,$45563.15,$45563.15,$45563.15,NA,NA,$52397.63,$45563.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12264.72,$14105.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24530.64,NA,NA,NA,NA,$24530.64,$24530.64,$24530.64,NA,NA,$28210.24,$24530.64,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$17625.75,$20271.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35253.22,NA,NA,NA,NA,$35253.22,$35253.22,$35253.22,NA,NA,$40541.20,$35253.22,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$14552.93,$16737.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29107.28,NA,NA,NA,NA,$29107.28,$29107.28,$29107.28,NA,NA,$33473.36,$29107.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$13815.20,$15889.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27631.75,NA,NA,NA,NA,$27631.75,$27631.75,$27631.75,NA,NA,$31776.51,$27631.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$16781.74,$19300.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33565.12,NA,NA,NA,NA,$33565.12,$33565.12,$33565.12,NA,NA,$38599.89,$33565.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$24115.25,$27735.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48232.86,NA,NA,NA,NA,$48232.86,$48232.86,$48232.86,NA,NA,$55467.79,$48232.86,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$19912.39,$22901.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39826.73,NA,NA,NA,NA,$39826.73,$39826.73,$39826.73,NA,NA,$45800.74,$39826.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$18902.70,$21740.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37807.25,NA,NA,NA,NA,$37807.25,$37807.25,$37807.25,NA,NA,$43478.35,$37807.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$19345.03,$22248.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38691.95,NA,NA,NA,NA,$38691.95,$38691.95,$38691.95,NA,NA,$44495.74,$38691.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$27799.20,$31972.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$55601.12,NA,NA,NA,NA,$55601.12,$55601.12,$55601.12,NA,NA,$63941.29,$55601.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$22953.95,$26399.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45910.15,NA,NA,NA,NA,$45910.15,$45910.15,$45910.15,NA,NA,$52796.68,$45910.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$21789.53,$25060.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43581.20,NA,NA,NA,NA,$43581.20,$43581.20,$43581.20,NA,NA,$50118.37,$43581.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$22424.10,$25790.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44850.40,NA,NA,NA,NA,$44850.40,$44850.40,$44850.40,NA,NA,$51577.96,$44850.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$32224.00,$37061.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$64451.15,NA,NA,NA,NA,$64451.15,$64451.15,$64451.15,NA,NA,$74118.83,$64451.15,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$26608.21,$30602.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53219.02,NA,NA,NA,NA,$53219.02,$53219.02,$53219.02,NA,NA,$61201.87,$53219.02,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$25259.35,$29051.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50521.17,NA,NA,NA,NA,$50521.17,$50521.17,$50521.17,NA,NA,$58099.35,$50521.17,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$22705.44,$26113.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45413.10,NA,NA,NA,NA,$45413.10,$45413.10,$45413.10,NA,NA,$52225.07,$45413.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$32628.81,$37526.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$65260.82,NA,NA,NA,NA,$65260.82,$65260.82,$65260.82,NA,NA,$75049.94,$65260.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$26941.12,$30985.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53884.88,NA,NA,NA,NA,$53884.88,$53884.88,$53884.88,NA,NA,$61967.61,$53884.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-D,NA,NA,$25575.07,$29414.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$51152.65,NA,NA,NA,NA,$51152.65,$51152.65,$51152.65,NA,NA,$58825.55,$51152.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-A,NA,NA,$11855.22,$13634.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23711.60,NA,NA,NA,NA,$23711.60,$23711.60,$23711.60,NA,NA,$27268.34,$23711.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-B,NA,NA,$17905.52,$20593.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35812.79,NA,NA,NA,NA,$35812.79,$35812.79,$35812.79,NA,NA,$41184.72,$35812.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-C,NA,NA,$14679.53,$16883.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29360.49,NA,NA,NA,NA,$29360.49,$29360.49,$29360.49,NA,NA,$33764.57,$29360.49,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1401-D,NA,NA,$13249.40,$15238.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26500.10,NA,NA,NA,NA,$26500.10,$26500.10,$26500.10,NA,NA,$30475.11,$26500.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-A,NA,NA,$14893.66,$17129.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29788.77,NA,NA,NA,NA,$29788.77,$29788.77,$29788.77,NA,NA,$34257.08,$29788.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-B,NA,NA,$22492.87,$25869.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44987.95,NA,NA,NA,NA,$44987.95,$44987.95,$44987.95,NA,NA,$51736.15,$44987.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-C,NA,NA,$18441.62,$21209.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36885.05,NA,NA,NA,NA,$36885.05,$36885.05,$36885.05,NA,NA,$42417.81,$36885.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Cardiac,CMG 1402-D,NA,NA,$16645.76,$19144.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33293.15,NA,NA,NA,NA,$33293.15,$33293.15,$33293.15,NA,NA,$38287.12,$33293.15,NA,NA,NA
