Encompass Health Rehabilitation Hospital of Littleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WC ACCESS (AETW) negotiated charge,ANTHEM BC OF CO MEDICARE (BCAM) negotiated charge,ANTHEM BC OF COLORADO (BCAC) negotiated charge,BRIGHT HEALTH EXCHANGE (BRHZ) negotiated charge,BRIGHT HEALTH PLAN (BRH) negotiated charge,BRIGHT HEALTH PLAN MCR (BRHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICE CARE NETWORK (CHO) negotiated charge,CHOICE CARE NETWORK MCR (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CIGNA EXCHANGE (CIGZ) negotiated charge,CIGNA MEDICARE (CIGM) negotiated charge,CO ACCESS CHP HMO MCD (CAHD) negotiated charge,COLORADO ACCESS MEDICAID (CAAD) negotiated charge,COVENTRY (CHC) negotiated charge,COVENTRY WORK COMP (CHCW) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WC (FTHW) negotiated charge,HEALTHNET FEDERAL SVCS (HFS) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,LONGEVITY HEALTH PLAN MCR (LHPM) negotiated charge,MY INNOVAGE PACE DUAL (MIPB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PINNACOL ASSURANCE (PIN) negotiated charge,PINNACOL ASSURANCE WC (PINW) negotiated charge,PRIME HEALTH SERVICES (PRH) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,ROCKY MOUNTAIN HMO (RMH) negotiated charge,ROCKY MOUNTAIN MEDICARE (RMHM) negotiated charge,TRIWEST VETERANS (TWV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$14415.09,$18419.28,NA,$16016.77,NA,$16016.77,NA,$15215.93,$15215.93,$15376.10,NA,NA,$16016.77,NA,$14415.09,NA,NA,$16016.77,NA,NA,NA,NA,NA,NA,$16016.77,NA,$14415.09,$16016.77,$16016.77,NA,NA,NA,NA,NA,$18419.28,$16016.77,NA,NA,$16016.77,NA,$16016.77,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$21272.61,$27181.67,NA,$23636.23,NA,$23636.23,NA,$22454.42,$22454.42,$22690.79,NA,NA,$23636.23,NA,$21272.61,NA,NA,$23636.23,NA,NA,NA,NA,NA,NA,$23636.23,NA,$21272.61,$23636.23,$23636.23,NA,NA,NA,NA,NA,$27181.67,$23636.23,NA,NA,$23636.23,NA,$23636.23,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$16531.47,$21123.54,NA,$18368.30,NA,$18368.30,NA,$17449.88,$17449.88,$17633.57,NA,NA,$18368.30,NA,$16531.47,NA,NA,$18368.30,NA,NA,NA,NA,NA,NA,$18368.30,NA,$16531.47,$18368.30,$18368.30,NA,NA,NA,NA,NA,$21123.54,$18368.30,NA,NA,$18368.30,NA,$18368.30,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$15607.28,$19942.63,NA,$17341.42,NA,$17341.42,NA,$16474.35,$16474.35,$16647.76,NA,NA,$17341.42,NA,$15607.28,NA,NA,$17341.42,NA,NA,NA,NA,NA,NA,$17341.42,NA,$15607.28,$17341.42,$17341.42,NA,NA,NA,NA,NA,$19942.63,$17341.42,NA,NA,$17341.42,NA,$17341.42,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17912.07,$22887.64,NA,$19902.30,NA,$19902.30,NA,$18907.18,$18907.18,$19106.21,NA,NA,$19902.30,NA,$17912.07,NA,NA,$19902.30,NA,NA,NA,NA,NA,NA,$19902.30,NA,$17912.07,$19902.30,$19902.30,NA,NA,NA,NA,NA,$22887.64,$19902.30,NA,NA,$19902.30,NA,$19902.30,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$26431.18,$33773.18,NA,$29367.98,NA,$29367.98,NA,$27899.58,$27899.58,$28193.26,NA,NA,$29367.98,NA,$26431.18,NA,NA,$29367.98,NA,NA,NA,NA,NA,NA,$29367.98,NA,$26431.18,$29367.98,$29367.98,NA,NA,NA,NA,NA,$33773.18,$29367.98,NA,NA,$29367.98,NA,$29367.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$20540.08,$26245.66,NA,$22822.31,NA,$22822.31,NA,$21681.20,$21681.20,$21909.42,NA,NA,$22822.31,NA,$20540.08,NA,NA,$22822.31,NA,NA,NA,NA,NA,NA,$22822.31,NA,$20540.08,$22822.31,$22822.31,NA,NA,NA,NA,NA,$26245.66,$22822.31,NA,NA,$22822.31,NA,$22822.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$19391.75,$24778.34,NA,$21546.38,NA,$21546.38,NA,$20469.07,$20469.07,$20684.53,NA,NA,$21546.38,NA,$19391.75,NA,NA,$21546.38,NA,NA,NA,NA,NA,NA,$21546.38,NA,$19391.75,$21546.38,$21546.38,NA,NA,NA,NA,NA,$24778.34,$21546.38,NA,NA,$21546.38,NA,$21546.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$20801.58,$26579.80,NA,$23112.87,NA,$23112.87,NA,$21957.23,$21957.23,$22188.35,NA,NA,$23112.87,NA,$20801.58,NA,NA,$23112.87,NA,NA,NA,NA,NA,NA,$23112.87,NA,$20801.58,$23112.87,$23112.87,NA,NA,NA,NA,NA,$26579.80,$23112.87,NA,NA,$23112.87,NA,$23112.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$30696.42,$39223.21,NA,$34107.14,NA,$34107.14,NA,$32401.78,$32401.78,$32742.85,NA,NA,$34107.14,NA,$30696.42,NA,NA,$34107.14,NA,NA,NA,NA,NA,NA,$34107.14,NA,$30696.42,$34107.14,$34107.14,NA,NA,NA,NA,NA,$39223.21,$34107.14,NA,NA,$34107.14,NA,$34107.14,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$23855.15,$30481.57,NA,$26505.72,NA,$26505.72,NA,$25180.43,$25180.43,$25445.49,NA,NA,$26505.72,NA,$23855.15,NA,NA,$26505.72,NA,NA,NA,NA,NA,NA,$26505.72,NA,$23855.15,$26505.72,$26505.72,NA,NA,NA,NA,NA,$30481.57,$26505.72,NA,NA,$26505.72,NA,$26505.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$22521.65,$28777.66,NA,$25024.05,NA,$25024.05,NA,$23772.85,$23772.85,$24023.09,NA,NA,$25024.05,NA,$22521.65,NA,NA,$25024.05,NA,NA,NA,NA,NA,NA,$25024.05,NA,$22521.65,$25024.05,$25024.05,NA,NA,NA,NA,NA,$28777.66,$25024.05,NA,NA,$25024.05,NA,$25024.05,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$24772.84,$31654.18,NA,$27525.38,NA,$27525.38,NA,$26149.11,$26149.11,$26424.36,NA,NA,$27525.38,NA,$24772.84,NA,NA,$27525.38,NA,NA,NA,NA,NA,NA,$27525.38,NA,$24772.84,$27525.38,$27525.38,NA,NA,NA,NA,NA,$31654.18,$27525.38,NA,NA,$27525.38,NA,$27525.38,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$36555.04,$46709.22,NA,$40616.71,NA,$40616.71,NA,$38585.88,$38585.88,$38992.04,NA,NA,$40616.71,NA,$36555.04,NA,NA,$40616.71,NA,NA,NA,NA,NA,NA,$40616.71,NA,$36555.04,$40616.71,$40616.71,NA,NA,NA,NA,NA,$46709.22,$40616.71,NA,NA,$40616.71,NA,$40616.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$28409.50,$36301.03,NA,$31566.11,NA,$31566.11,NA,$29987.81,$29987.81,$30303.47,NA,NA,$31566.11,NA,$28409.50,NA,NA,$31566.11,NA,NA,NA,NA,NA,NA,$31566.11,NA,$28409.50,$31566.11,$31566.11,NA,NA,NA,NA,NA,$36301.03,$31566.11,NA,NA,$31566.11,NA,$31566.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$26821.00,$34271.28,NA,$29801.11,NA,$29801.11,NA,$28311.05,$28311.05,$28609.07,NA,NA,$29801.11,NA,$26821.00,NA,NA,$29801.11,NA,NA,NA,NA,NA,NA,$29801.11,NA,$26821.00,$29801.11,$29801.11,NA,NA,NA,NA,NA,$34271.28,$29801.11,NA,NA,$29801.11,NA,$29801.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$32320.66,$41298.62,NA,$35911.84,NA,$35911.84,NA,$34116.25,$34116.25,$34475.37,NA,NA,$35911.84,NA,$32320.66,NA,NA,$35911.84,NA,NA,NA,NA,NA,NA,$35911.84,NA,$32320.66,$35911.84,$35911.84,NA,NA,NA,NA,NA,$41298.62,$35911.84,NA,NA,$35911.84,NA,$35911.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$47690.80,$60938.24,NA,$52989.78,NA,$52989.78,NA,$50340.29,$50340.29,$50870.19,NA,NA,$52989.78,NA,$47690.80,NA,NA,$52989.78,NA,NA,NA,NA,NA,NA,$52989.78,NA,$47690.80,$52989.78,$52989.78,NA,NA,NA,NA,NA,$60938.24,$52989.78,NA,NA,$52989.78,NA,$52989.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$37063.43,$47358.82,NA,$41181.59,NA,$41181.59,NA,$39122.51,$39122.51,$39534.32,NA,NA,$41181.59,NA,$37063.43,NA,NA,$41181.59,NA,NA,NA,NA,NA,NA,$41181.59,NA,$37063.43,$41181.59,$41181.59,NA,NA,NA,NA,NA,$47358.82,$41181.59,NA,NA,$41181.59,NA,$41181.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$34990.90,$44710.60,NA,$38878.78,NA,$38878.78,NA,$36934.84,$36934.84,$37323.63,NA,NA,$38878.78,NA,$34990.90,NA,NA,$38878.78,NA,NA,NA,NA,NA,NA,$38878.78,NA,$34990.90,$38878.78,$38878.78,NA,NA,NA,NA,NA,$44710.60,$38878.78,NA,NA,$38878.78,NA,$38878.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$14244.54,$18201.36,NA,$15827.27,NA,$15827.27,NA,$15035.91,$15035.91,$15194.18,NA,NA,$15827.27,NA,$14244.54,NA,NA,$15827.27,NA,NA,NA,NA,NA,NA,$15827.27,NA,$14244.54,$15827.27,$15827.27,NA,NA,NA,NA,NA,$18201.36,$15827.27,NA,NA,$15827.27,NA,$15827.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$22208.17,$28377.11,NA,$24675.75,NA,$24675.75,NA,$23441.96,$23441.96,$23688.72,NA,NA,$24675.75,NA,$22208.17,NA,NA,$24675.75,NA,NA,NA,NA,NA,NA,$24675.75,NA,$22208.17,$24675.75,$24675.75,NA,NA,NA,NA,NA,$28377.11,$24675.75,NA,NA,$24675.75,NA,$24675.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$16718.25,$21362.21,NA,$18575.84,NA,$18575.84,NA,$17647.05,$17647.05,$17832.81,NA,NA,$18575.84,NA,$16718.25,NA,NA,$18575.84,NA,NA,NA,NA,NA,NA,$18575.84,NA,$16718.25,$18575.84,$18575.84,NA,NA,NA,NA,NA,$21362.21,$18575.84,NA,NA,$18575.84,NA,$18575.84,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$15672.25,$20025.65,NA,$17413.61,NA,$17413.61,NA,$16542.93,$16542.93,$16717.06,NA,NA,$17413.61,NA,$15672.25,NA,NA,$17413.61,NA,NA,NA,NA,NA,NA,$17413.61,NA,$15672.25,$17413.61,$17413.61,NA,NA,NA,NA,NA,$20025.65,$17413.61,NA,NA,$17413.61,NA,$17413.61,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$17728.53,$22653.12,NA,$19698.37,NA,$19698.37,NA,$18713.45,$18713.45,$18910.43,NA,NA,$19698.37,NA,$17728.53,NA,NA,$19698.37,NA,NA,NA,NA,NA,NA,$19698.37,NA,$17728.53,$19698.37,$19698.37,NA,NA,NA,NA,NA,$22653.12,$19698.37,NA,NA,$19698.37,NA,$19698.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$27637.99,$35315.21,NA,$30708.88,NA,$30708.88,NA,$29173.43,$29173.43,$29480.52,NA,NA,$30708.88,NA,$27637.99,NA,NA,$30708.88,NA,NA,NA,NA,NA,NA,$30708.88,NA,$27637.99,$30708.88,$30708.88,NA,NA,NA,NA,NA,$35315.21,$30708.88,NA,NA,$30708.88,NA,$30708.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$20804.83,$26583.95,NA,$23116.48,NA,$23116.48,NA,$21960.66,$21960.66,$22191.82,NA,NA,$23116.48,NA,$20804.83,NA,NA,$23116.48,NA,NA,NA,NA,NA,NA,$23116.48,NA,$20804.83,$23116.48,$23116.48,NA,NA,NA,NA,NA,$26583.95,$23116.48,NA,NA,$23116.48,NA,$23116.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$19503.82,$24921.55,NA,$21670.91,NA,$21670.91,NA,$20587.36,$20587.36,$20804.07,NA,NA,$21670.91,NA,$19503.82,NA,NA,$21670.91,NA,NA,NA,NA,NA,NA,$21670.91,NA,$19503.82,$21670.91,$21670.91,NA,NA,NA,NA,NA,$24921.55,$21670.91,NA,NA,$21670.91,NA,$21670.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$21058.21,$26907.72,NA,$23398.01,NA,$23398.01,NA,$22228.11,$22228.11,$22462.09,NA,NA,$23398.01,NA,$21058.21,NA,NA,$23398.01,NA,NA,NA,NA,NA,NA,$23398.01,NA,$21058.21,$23398.01,$23398.01,NA,NA,NA,NA,NA,$26907.72,$23398.01,NA,NA,$23398.01,NA,$23398.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$32832.29,$41952.38,NA,$36480.33,NA,$36480.33,NA,$34656.31,$34656.31,$35021.11,NA,NA,$36480.33,NA,$32832.29,NA,NA,$36480.33,NA,NA,NA,NA,NA,NA,$36480.33,NA,$32832.29,$36480.33,$36480.33,NA,NA,NA,NA,NA,$41952.38,$36480.33,NA,NA,$36480.33,NA,$36480.33,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$24714.37,$31579.47,NA,$27460.41,NA,$27460.41,NA,$26087.39,$26087.39,$26361.99,NA,NA,$27460.41,NA,$24714.37,NA,NA,$27460.41,NA,NA,NA,NA,NA,NA,$27460.41,NA,$24714.37,$27460.41,$27460.41,NA,NA,NA,NA,NA,$31579.47,$27460.41,NA,NA,$27460.41,NA,$27460.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$23168.09,$29603.68,NA,$25742.33,NA,$25742.33,NA,$24455.21,$24455.21,$24712.63,NA,NA,$25742.33,NA,$23168.09,NA,NA,$25742.33,NA,NA,NA,NA,NA,NA,$25742.33,NA,$23168.09,$25742.33,$25742.33,NA,NA,NA,NA,NA,$29603.68,$25742.33,NA,NA,$25742.33,NA,$25742.33,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$24436.62,$31224.57,NA,$27151.80,NA,$27151.80,NA,$25794.21,$25794.21,$26065.73,NA,NA,$27151.80,NA,$24436.62,NA,NA,$27151.80,NA,NA,NA,NA,NA,NA,$27151.80,NA,$24436.62,$27151.80,$27151.80,NA,NA,NA,NA,NA,$31224.57,$27151.80,NA,NA,$27151.80,NA,$27151.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$38098.07,$48680.86,NA,$42331.18,NA,$42331.18,NA,$40214.62,$40214.62,$40637.94,NA,NA,$42331.18,NA,$38098.07,NA,NA,$42331.18,NA,NA,NA,NA,NA,NA,$42331.18,NA,$38098.07,$42331.18,$42331.18,NA,NA,NA,NA,NA,$48680.86,$42331.18,NA,NA,$42331.18,NA,$42331.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$28679.12,$36645.55,NA,$31865.69,NA,$31865.69,NA,$30272.41,$30272.41,$30591.07,NA,NA,$31865.69,NA,$28679.12,NA,NA,$31865.69,NA,NA,NA,NA,NA,NA,$31865.69,NA,$28679.12,$31865.69,$31865.69,NA,NA,NA,NA,NA,$36645.55,$31865.69,NA,NA,$31865.69,NA,$31865.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$26884.34,$34352.22,NA,$29871.49,NA,$29871.49,NA,$28377.92,$28377.92,$28676.63,NA,NA,$29871.49,NA,$26884.34,NA,NA,$29871.49,NA,NA,NA,NA,NA,NA,$29871.49,NA,$26884.34,$29871.49,$29871.49,NA,NA,NA,NA,NA,$34352.22,$29871.49,NA,NA,$29871.49,NA,$29871.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$14311.14,$18286.45,NA,$15901.26,NA,$15901.26,NA,$15106.20,$15106.20,$15265.21,NA,NA,$15901.26,NA,$14311.14,NA,NA,$15901.26,NA,NA,NA,NA,NA,NA,$15901.26,NA,$14311.14,$15901.26,$15901.26,NA,NA,NA,NA,NA,$18286.45,$15901.26,NA,NA,$15901.26,NA,$15901.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$20259.09,$25886.61,NA,$22510.10,NA,$22510.10,NA,$21384.59,$21384.59,$21609.69,NA,NA,$22510.10,NA,$20259.09,NA,NA,$22510.10,NA,NA,NA,NA,NA,NA,$22510.10,NA,$20259.09,$22510.10,$22510.10,NA,NA,NA,NA,NA,$25886.61,$22510.10,NA,NA,$22510.10,NA,$22510.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$16429.14,$20992.79,NA,$18254.60,NA,$18254.60,NA,$17341.87,$17341.87,$17524.42,NA,NA,$18254.60,NA,$16429.14,NA,NA,$18254.60,NA,NA,NA,NA,NA,NA,$18254.60,NA,$16429.14,$18254.60,$18254.60,NA,NA,NA,NA,NA,$20992.79,$18254.60,NA,NA,$18254.60,NA,$18254.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$15568.30,$19892.82,NA,$17298.11,NA,$17298.11,NA,$16433.20,$16433.20,$16606.18,NA,NA,$17298.11,NA,$15568.30,NA,NA,$17298.11,NA,NA,NA,NA,NA,NA,$17298.11,NA,$15568.30,$17298.11,$17298.11,NA,NA,NA,NA,NA,$19892.82,$17298.11,NA,NA,$17298.11,NA,$17298.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17892.58,$22862.74,NA,$19880.64,NA,$19880.64,NA,$18886.61,$18886.61,$19085.42,NA,NA,$19880.64,NA,$17892.58,NA,NA,$19880.64,NA,NA,NA,NA,NA,NA,$19880.64,NA,$17892.58,$19880.64,$19880.64,NA,NA,NA,NA,NA,$22862.74,$19880.64,NA,NA,$19880.64,NA,$19880.64,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$25329.95,$32366.05,NA,$28144.39,NA,$28144.39,NA,$26737.17,$26737.17,$27018.61,NA,NA,$28144.39,NA,$25329.95,NA,NA,$28144.39,NA,NA,NA,NA,NA,NA,$28144.39,NA,$25329.95,$28144.39,$28144.39,NA,NA,NA,NA,NA,$32366.05,$28144.39,NA,NA,$28144.39,NA,$28144.39,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$20541.71,$26247.73,NA,$22824.12,NA,$22824.12,NA,$21682.91,$21682.91,$21911.15,NA,NA,$22824.12,NA,$20541.71,NA,NA,$22824.12,NA,NA,NA,NA,NA,NA,$22824.12,NA,$20541.71,$22824.12,$22824.12,NA,NA,NA,NA,NA,$26247.73,$22824.12,NA,NA,$22824.12,NA,$22824.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$19466.46,$24873.81,NA,$21629.40,NA,$21629.40,NA,$20547.93,$20547.93,$20764.23,NA,NA,$21629.40,NA,$19466.46,NA,NA,$21629.40,NA,NA,NA,NA,NA,NA,$21629.40,NA,$19466.46,$21629.40,$21629.40,NA,NA,NA,NA,NA,$24873.81,$21629.40,NA,NA,$21629.40,NA,$21629.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$21748.51,$27789.77,NA,$24165.01,NA,$24165.01,NA,$22956.76,$22956.76,$23198.41,NA,NA,$24165.01,NA,$21748.51,NA,NA,$24165.01,NA,NA,NA,NA,NA,NA,$24165.01,NA,$21748.51,$24165.01,$24165.01,NA,NA,NA,NA,NA,$27789.77,$24165.01,NA,NA,$24165.01,NA,$24165.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$30789.01,$39341.51,NA,$34210.01,NA,$34210.01,NA,$32499.51,$32499.51,$32841.61,NA,NA,$34210.01,NA,$30789.01,NA,NA,$34210.01,NA,NA,NA,NA,NA,NA,$34210.01,NA,$30789.01,$34210.01,$34210.01,NA,NA,NA,NA,NA,$39341.51,$34210.01,NA,NA,$34210.01,NA,$34210.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$24969.37,$31905.31,NA,$27743.75,NA,$27743.75,NA,$26356.56,$26356.56,$26634.00,NA,NA,$27743.75,NA,$24969.37,NA,NA,$27743.75,NA,NA,NA,NA,NA,NA,$27743.75,NA,$24969.37,$27743.75,$27743.75,NA,NA,NA,NA,NA,$31905.31,$27743.75,NA,NA,$27743.75,NA,$27743.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$23661.86,$30234.60,NA,$26290.96,NA,$26290.96,NA,$24976.41,$24976.41,$25239.32,NA,NA,$26290.96,NA,$23661.86,NA,NA,$26290.96,NA,NA,NA,NA,NA,NA,$26290.96,NA,$23661.86,$26290.96,$26290.96,NA,NA,NA,NA,NA,$30234.60,$26290.96,NA,NA,$26290.96,NA,$26290.96,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$24850.80,$31753.80,NA,$27612.00,NA,$27612.00,NA,$26231.40,$26231.40,$26507.52,NA,NA,$27612.00,NA,$24850.80,NA,NA,$27612.00,NA,NA,NA,NA,NA,NA,$27612.00,NA,$24850.80,$27612.00,$27612.00,NA,NA,NA,NA,NA,$31753.80,$27612.00,NA,NA,$27612.00,NA,$27612.00,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$35180.94,$44953.42,NA,$39089.93,NA,$39089.93,NA,$37135.44,$37135.44,$37526.33,NA,NA,$39089.93,NA,$35180.94,NA,NA,$39089.93,NA,NA,NA,NA,NA,NA,$39089.93,NA,$35180.94,$39089.93,$39089.93,NA,NA,NA,NA,NA,$44953.42,$39089.93,NA,NA,$39089.93,NA,$39089.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$28531.32,$36456.69,NA,$31701.47,NA,$31701.47,NA,$30116.39,$30116.39,$30433.41,NA,NA,$31701.47,NA,$28531.32,NA,NA,$31701.47,NA,NA,NA,NA,NA,NA,$31701.47,NA,$28531.32,$31701.47,$31701.47,NA,NA,NA,NA,NA,$36456.69,$31701.47,NA,NA,$31701.47,NA,$31701.47,NA,NA
