Encompass Health Rehabilitation Hospital of Tallahassee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,NOVANET (NOVA) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$23766.93,$28770.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25017.82,NA,NA,NA,NA,$25017.82,NA,NA,NA,NA,NA,$25017.82,NA,$28770.49,$25017.82,NA,$25017.82,$25017.82,NA,$23766.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$12651.67,$15315.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13317.54,NA,NA,NA,NA,$13317.54,NA,NA,NA,NA,NA,$13317.54,NA,$15315.18,$13317.54,NA,$13317.54,$13317.54,NA,$12651.67,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$17909.91,$21680.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18852.54,NA,NA,NA,NA,$18852.54,NA,NA,NA,NA,NA,$18852.54,NA,$21680.42,$18852.54,NA,$18852.54,$18852.54,NA,$17909.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$14524.07,$17581.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15288.50,NA,NA,NA,NA,$15288.50,NA,NA,NA,NA,NA,$15288.50,NA,$17581.77,$15288.50,NA,$15288.50,$15288.50,NA,$14524.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$13763.05,$16660.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14487.42,NA,NA,NA,NA,$14487.42,NA,NA,NA,NA,NA,$14487.42,NA,$16660.53,$14487.42,NA,$14487.42,$14487.42,NA,$13763.05,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$15817.81,$19147.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16650.33,NA,NA,NA,NA,$16650.33,NA,NA,NA,NA,NA,$16650.33,NA,$19147.88,$16650.33,NA,$16650.33,$16650.33,NA,$15817.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$22392.78,$27107.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23571.34,NA,NA,NA,NA,$23571.34,NA,NA,NA,NA,NA,$23571.34,NA,$27107.04,$23571.34,NA,$23571.34,$23571.34,NA,$22392.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$18159.76,$21982.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19115.54,NA,NA,NA,NA,$19115.54,NA,NA,NA,NA,NA,$19115.54,NA,$21982.87,$19115.54,NA,$19115.54,$19115.54,NA,$18159.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$17209.20,$20832.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18114.94,NA,NA,NA,NA,$18114.94,NA,NA,NA,NA,NA,$18114.94,NA,$20832.19,$18114.94,NA,$18114.94,$18114.94,NA,$17209.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$19226.63,$23274.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20238.56,NA,NA,NA,NA,$20238.56,NA,NA,NA,NA,NA,$20238.56,NA,$23274.34,$20238.56,NA,$20238.56,$20238.56,NA,$19226.63,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$27218.82,$32949.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28651.39,NA,NA,NA,NA,$28651.39,NA,NA,NA,NA,NA,$28651.39,NA,$32949.10,$28651.39,NA,$28651.39,$28651.39,NA,$27218.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$22074.01,$26721.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23235.80,NA,NA,NA,NA,$23235.80,NA,NA,NA,NA,NA,$23235.80,NA,$26721.17,$23235.80,NA,$23235.80,$23235.80,NA,$22074.01,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$20918.11,$25321.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22019.07,NA,NA,NA,NA,$22019.07,NA,NA,NA,NA,NA,$22019.07,NA,$25321.93,$22019.07,NA,$22019.07,$22019.07,NA,$20918.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$21969.19,$26594.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23125.46,NA,NA,NA,NA,$23125.46,NA,NA,NA,NA,NA,$23125.46,NA,$26594.28,$23125.46,NA,$23125.46,$23125.46,NA,$21969.19,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$31101.48,$37649.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32738.40,NA,NA,NA,NA,$32738.40,NA,NA,NA,NA,NA,$32738.40,NA,$37649.16,$32738.40,NA,$32738.40,$32738.40,NA,$31101.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$25222.92,$30533.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26550.45,NA,NA,NA,NA,$26550.45,NA,NA,NA,NA,NA,$26550.45,NA,$30533.01,$26550.45,NA,$26550.45,$26550.45,NA,$25222.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$23901.90,$28933.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25159.90,NA,NA,NA,NA,$25159.90,NA,NA,NA,NA,NA,$25159.90,NA,$28933.88,$25159.90,NA,$25159.90,$25159.90,NA,$23901.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$10861.11,$13147.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11432.74,NA,NA,NA,NA,$11432.74,NA,NA,NA,NA,NA,$11432.74,NA,$13147.66,$11432.74,NA,$11432.74,$11432.74,NA,$10861.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$16179.66,$19585.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17031.22,NA,NA,NA,NA,$17031.22,NA,NA,NA,NA,NA,$17031.22,NA,$19585.90,$17031.22,NA,$17031.22,$17031.22,NA,$16179.66,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$13020.69,$15761.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13705.99,NA,NA,NA,NA,$13705.99,NA,NA,NA,NA,NA,$13705.99,NA,$15761.89,$13705.99,NA,$13705.99,$13705.99,NA,$13020.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$11660.90,$14115.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12274.63,NA,NA,NA,NA,$12274.63,NA,NA,NA,NA,NA,$12274.63,NA,$14115.83,$12274.63,NA,$12274.63,$12274.63,NA,$11660.90,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$12769.41,$15457.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13441.48,NA,NA,NA,NA,$13441.48,NA,NA,NA,NA,NA,$13441.48,NA,$15457.71,$13441.48,NA,$13441.48,$13441.48,NA,$12769.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$19022.73,$23027.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20023.93,NA,NA,NA,NA,$20023.93,NA,NA,NA,NA,NA,$20023.93,NA,$23027.52,$20023.93,NA,$20023.93,$20023.93,NA,$19022.73,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$15308.07,$18530.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16113.76,NA,NA,NA,NA,$16113.76,NA,NA,NA,NA,NA,$16113.76,NA,$18530.82,$16113.76,NA,$16113.76,$16113.76,NA,$15308.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$13709.92,$16596.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14431.50,NA,NA,NA,NA,$14431.50,NA,NA,NA,NA,NA,$14431.50,NA,$16596.22,$14431.50,NA,$14431.50,$14431.50,NA,$13709.92,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$14264.18,$17267.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15014.92,NA,NA,NA,NA,$15014.92,NA,NA,NA,NA,NA,$15014.92,NA,$17267.16,$15014.92,NA,$15014.92,$15014.92,NA,$14264.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$21249.80,$25723.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22368.21,NA,NA,NA,NA,$22368.21,NA,NA,NA,NA,NA,$22368.21,NA,$25723.45,$22368.21,NA,$22368.21,$22368.21,NA,$21249.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$17100.07,$20700.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18000.07,NA,NA,NA,NA,$18000.07,NA,NA,NA,NA,NA,$18000.07,NA,$20700.08,$18000.07,NA,$18000.07,$18000.07,NA,$17100.07,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$15315.25,$18539.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16121.32,NA,NA,NA,NA,$16121.32,NA,NA,NA,NA,NA,$16121.32,NA,$18539.52,$16121.32,NA,$16121.32,$16121.32,NA,$15315.25,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$16439.56,$19900.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17304.80,NA,NA,NA,NA,$17304.80,NA,NA,NA,NA,NA,$17304.80,NA,$19900.52,$17304.80,NA,$17304.80,$17304.80,NA,$16439.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$24490.62,$29646.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25779.60,NA,NA,NA,NA,$25779.60,NA,NA,NA,NA,NA,$25779.60,NA,$29646.54,$25779.60,NA,$25779.60,$25779.60,NA,$24490.62,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$19709.09,$23858.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20746.41,NA,NA,NA,NA,$20746.41,NA,NA,NA,NA,NA,$20746.41,NA,$23858.37,$20746.41,NA,$20746.41,$20746.41,NA,$19709.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$17651.45,$21367.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18580.48,NA,NA,NA,NA,$18580.48,NA,NA,NA,NA,NA,$18580.48,NA,$21367.55,$18580.48,NA,$18580.48,$18580.48,NA,$17651.45,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$19156.27,$23189.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20164.49,NA,NA,NA,NA,$20164.49,NA,NA,NA,NA,NA,$20164.49,NA,$23189.17,$20164.49,NA,$20164.49,$20164.49,NA,$19156.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$28536.97,$34544.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30038.92,NA,NA,NA,NA,$30038.92,NA,NA,NA,NA,NA,$30038.92,NA,$34544.75,$30038.92,NA,$30038.92,$30038.92,NA,$28536.97,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$22965.70,$27800.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24174.42,NA,NA,NA,NA,$24174.42,NA,NA,NA,NA,NA,$24174.42,NA,$27800.58,$24174.42,NA,$24174.42,$24174.42,NA,$22965.70,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$20567.75,$24897.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21650.27,NA,NA,NA,NA,$21650.27,NA,NA,NA,NA,NA,$21650.27,NA,$24897.81,$21650.27,NA,$21650.27,$21650.27,NA,$20567.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$11879.16,$14380.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12504.37,NA,NA,NA,NA,$12504.37,NA,NA,NA,NA,NA,$12504.37,NA,$14380.03,$12504.37,NA,$12504.37,$12504.37,NA,$11879.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$17390.12,$21051.20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18305.39,NA,NA,NA,NA,$18305.39,NA,NA,NA,NA,NA,$18305.39,NA,$21051.20,$18305.39,NA,$18305.39,$18305.39,NA,$17390.12,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$13857.82,$16775.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14587.18,NA,NA,NA,NA,$14587.18,NA,NA,NA,NA,NA,$14587.18,NA,$16775.25,$14587.18,NA,$14587.18,$14587.18,NA,$13857.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$13114.03,$15874.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13804.24,NA,NA,NA,NA,$13804.24,NA,NA,NA,NA,NA,$13804.24,NA,$15874.87,$13804.24,NA,$13804.24,$13804.24,NA,$13114.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$14791.15,$17905.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15569.63,NA,NA,NA,NA,$15569.63,NA,NA,NA,NA,NA,$15569.63,NA,$17905.08,$15569.63,NA,$15569.63,$15569.63,NA,$14791.15,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$21650.42,$26208.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22789.91,NA,NA,NA,NA,$22789.91,NA,NA,NA,NA,NA,$22789.91,NA,$26208.40,$22789.91,NA,$22789.91,$22789.91,NA,$21650.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$17252.27,$20884.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18160.29,NA,NA,NA,NA,$18160.29,NA,NA,NA,NA,NA,$18160.29,NA,$20884.33,$18160.29,NA,$18160.29,$18160.29,NA,$17252.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$16327.56,$19764.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17186.90,NA,NA,NA,NA,$17186.90,NA,NA,NA,NA,NA,$17186.90,NA,$19764.94,$17186.90,NA,$17186.90,$17186.90,NA,$16327.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$17405.91,$21070.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18322.02,NA,NA,NA,NA,$18322.02,NA,NA,NA,NA,NA,$18322.02,NA,$21070.32,$18322.02,NA,$18322.02,$18322.02,NA,$17405.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$25478.51,$30842.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26819.49,NA,NA,NA,NA,$26819.49,NA,NA,NA,NA,NA,$26819.49,NA,$30842.41,$26819.49,NA,$26819.49,$26819.49,NA,$25478.51,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$20302.11,$24576.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21370.65,NA,NA,NA,NA,$21370.65,NA,NA,NA,NA,NA,$21370.65,NA,$24576.24,$21370.65,NA,$21370.65,$21370.65,NA,$20302.11,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$19215.14,$23260.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20226.46,NA,NA,NA,NA,$20226.46,NA,NA,NA,NA,NA,$20226.46,NA,$23260.43,$20226.46,NA,$20226.46,$20226.46,NA,$19215.14,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$19984.78,$24192.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21036.61,NA,NA,NA,NA,$21036.61,NA,NA,NA,NA,NA,$21036.61,NA,$24192.10,$21036.61,NA,$21036.61,$21036.61,NA,$19984.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$29253.48,$35412.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30793.14,NA,NA,NA,NA,$30793.14,NA,NA,NA,NA,NA,$30793.14,NA,$35412.11,$30793.14,NA,$30793.14,$30793.14,NA,$29253.48,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$23311.75,$28219.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24538.68,NA,NA,NA,NA,$24538.68,NA,NA,NA,NA,NA,$24538.68,NA,$28219.49,$24538.68,NA,$24538.68,$24538.68,NA,$23311.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$22062.52,$26707.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23223.71,NA,NA,NA,NA,$23223.71,NA,NA,NA,NA,NA,$23223.71,NA,$26707.26,$23223.71,NA,$23223.71,$23223.71,NA,$22062.52,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$12928.79,$15650.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13609.26,NA,NA,NA,NA,$13609.26,NA,NA,NA,NA,NA,$13609.26,NA,$15650.65,$13609.26,NA,$13609.26,$13609.26,NA,$12928.79,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$18609.19,$22526.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19588.63,NA,NA,NA,NA,$19588.63,NA,NA,NA,NA,NA,$19588.63,NA,$22526.92,$19588.63,NA,$19588.63,$19588.63,NA,$18609.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$15598.12,$18881.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16419.08,NA,NA,NA,NA,$16419.08,NA,NA,NA,NA,NA,$16419.08,NA,$18881.94,$16419.08,NA,$16419.08,$16419.08,NA,$15598.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$13997.10,$16943.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14733.79,NA,NA,NA,NA,$14733.79,NA,NA,NA,NA,NA,$14733.79,NA,$16943.86,$14733.79,NA,$14733.79,$14733.79,NA,$13997.10,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$15971.46,$19333.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16812.06,NA,NA,NA,NA,$16812.06,NA,NA,NA,NA,NA,$16812.06,NA,$19333.87,$16812.06,NA,$16812.06,$16812.06,NA,$15971.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$22988.67,$27828.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24198.60,NA,NA,NA,NA,$24198.60,NA,NA,NA,NA,NA,$24198.60,NA,$27828.39,$24198.60,NA,$24198.60,$24198.60,NA,$22988.67,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$19268.27,$23324.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20282.39,NA,NA,NA,NA,$20282.39,NA,NA,NA,NA,NA,$20282.39,NA,$23324.75,$20282.39,NA,$20282.39,$20282.39,NA,$19268.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$17291.04,$20931.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18201.10,NA,NA,NA,NA,$18201.10,NA,NA,NA,NA,NA,$18201.10,NA,$20931.26,$18201.10,NA,$18201.10,$18201.10,NA,$17291.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$18662.32,$22591.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19644.55,NA,NA,NA,NA,$19644.55,NA,NA,NA,NA,NA,$19644.55,NA,$22591.23,$19644.55,NA,$19644.55,$19644.55,NA,$18662.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$26862.72,$32518.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28276.54,NA,NA,NA,NA,$28276.54,NA,NA,NA,NA,NA,$28276.54,NA,$32518.02,$28276.54,NA,$28276.54,$28276.54,NA,$26862.72,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$22516.26,$27256.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23701.33,NA,NA,NA,NA,$23701.33,NA,NA,NA,NA,NA,$23701.33,NA,$27256.53,$23701.33,NA,$23701.33,$23701.33,NA,$22516.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$20205.91,$24459.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21269.38,NA,NA,NA,NA,$21269.38,NA,NA,NA,NA,NA,$21269.38,NA,$24459.78,$21269.38,NA,$21269.38,$21269.38,NA,$20205.91,NA,NA
