Encompass Health Rehabilitation Hospital of Largo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,CARE PLUS HEALTH PLAN (CPH) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY (TRICARE) (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIME HEALTH SERVICES WC (PRMW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$16424.57,$19882.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17289.02,NA,NA,NA,$17289.02,NA,NA,NA,NA,$17289.02,NA,$17289.02,NA,NA,NA,$19882.37,$17289.02,NA,$17289.02,NA,$16424.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$25605.18,$30995.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26952.82,NA,NA,NA,$26952.82,NA,NA,NA,NA,$26952.82,NA,$26952.82,NA,NA,NA,$30995.74,$26952.82,NA,$26952.82,NA,$25605.18,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$19274.61,$23332.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20289.06,NA,NA,NA,$20289.06,NA,NA,NA,NA,$20289.06,NA,$20289.06,NA,NA,NA,$23332.42,$20289.06,NA,$20289.06,NA,$19274.61,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$18069.28,$21873.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19020.30,NA,NA,NA,$19020.30,NA,NA,NA,NA,$19020.30,NA,$19020.30,NA,NA,NA,$21873.34,$19020.30,NA,$19020.30,NA,$18069.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$19509.35,$23616.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20536.16,NA,NA,NA,$20536.16,NA,NA,NA,NA,$20536.16,NA,$20536.16,NA,NA,NA,$23616.58,$20536.16,NA,$20536.16,NA,$19509.35,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$30417.43,$36821.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32018.35,NA,NA,NA,$32018.35,NA,NA,NA,NA,$32018.35,NA,$32018.35,NA,NA,NA,$36821.10,$32018.35,NA,$32018.35,NA,$30417.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$22896.59,$27716.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24101.67,NA,NA,NA,$24101.67,NA,NA,NA,NA,$24101.67,NA,$24101.67,NA,NA,NA,$27716.92,$24101.67,NA,$24101.67,NA,$22896.59,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$21464.05,$25982.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22593.73,NA,NA,NA,$22593.73,NA,NA,NA,NA,$22593.73,NA,$22593.73,NA,NA,NA,$25982.79,$22593.73,NA,$22593.73,NA,$21464.05,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$22639.27,$27405.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23830.81,NA,NA,NA,$23830.81,NA,NA,NA,NA,$23830.81,NA,$23830.81,NA,NA,NA,$27405.44,$23830.81,NA,$23830.81,NA,$22639.27,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$35295.90,$42726.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37153.58,NA,NA,NA,$37153.58,NA,NA,NA,NA,$37153.58,NA,$37153.58,NA,NA,NA,$42726.61,$37153.58,NA,$37153.58,NA,$35295.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$26569.73,$32163.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27968.14,NA,NA,NA,$27968.14,NA,NA,NA,NA,$27968.14,NA,$27968.14,NA,NA,NA,$32163.36,$27968.14,NA,$27968.14,NA,$26569.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$24906.96,$30150.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26217.85,NA,NA,NA,$26217.85,NA,NA,NA,NA,$26217.85,NA,$26217.85,NA,NA,NA,$30150.53,$26217.85,NA,$26217.85,NA,$24906.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$13258.53,$16049.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13956.35,NA,NA,NA,$13956.35,NA,NA,NA,NA,$13956.35,NA,$13956.35,NA,NA,NA,$16049.80,$13956.35,NA,$13956.35,NA,$13258.53,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$18769.00,$22720.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19756.85,NA,NA,NA,$19756.85,NA,NA,NA,NA,$19756.85,NA,$19756.85,NA,NA,NA,$22720.37,$19756.85,NA,$19756.85,NA,$18769.00,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$15220.75,$18425.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16021.85,NA,NA,NA,$16021.85,NA,NA,NA,NA,$16021.85,NA,$16021.85,NA,NA,NA,$18425.12,$16021.85,NA,$16021.85,NA,$15220.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$14423.23,$17459.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15182.34,NA,NA,NA,$15182.34,NA,NA,NA,NA,$15182.34,NA,$15182.34,NA,NA,NA,$17459.69,$15182.34,NA,$15182.34,NA,$14423.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$16576.55,$20066.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17449.00,NA,NA,NA,$17449.00,NA,NA,NA,NA,$17449.00,NA,$17449.00,NA,NA,NA,$20066.35,$17449.00,NA,$17449.00,NA,$16576.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$23466.90,$28407.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24702.00,NA,NA,NA,$24702.00,NA,NA,NA,NA,$24702.00,NA,$24702.00,NA,NA,NA,$28407.30,$24702.00,NA,$24702.00,NA,$23466.90,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$19030.83,$23037.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20032.46,NA,NA,NA,$20032.46,NA,NA,NA,NA,$20032.46,NA,$20032.46,NA,NA,NA,$23037.32,$20032.46,NA,$20032.46,NA,$19030.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$18034.68,$21831.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18983.87,NA,NA,NA,$18983.87,NA,NA,NA,NA,$18983.87,NA,$18983.87,NA,NA,NA,$21831.45,$18983.87,NA,$18983.87,NA,$18034.68,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$20148.88,$24390.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21209.34,NA,NA,NA,$21209.34,NA,NA,NA,NA,$21209.34,NA,$21209.34,NA,NA,NA,$24390.75,$21209.34,NA,$21209.34,NA,$20148.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$28524.43,$34529.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30025.72,NA,NA,NA,$30025.72,NA,NA,NA,NA,$30025.72,NA,$30025.72,NA,NA,NA,$34529.57,$30025.72,NA,$30025.72,NA,$28524.43,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$23132.84,$28002.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24350.36,NA,NA,NA,$24350.36,NA,NA,NA,NA,$24350.36,NA,$24350.36,NA,NA,NA,$28002.91,$24350.36,NA,$24350.36,NA,$23132.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$21921.50,$26536.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23075.26,NA,NA,NA,$23075.26,NA,NA,NA,NA,$23075.26,NA,$23075.26,NA,NA,NA,$26536.55,$23075.26,NA,$23075.26,NA,$21921.50,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$23022.99,$27869.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24234.73,NA,NA,NA,$24234.73,NA,NA,NA,NA,$24234.73,NA,$24234.73,NA,NA,NA,$27869.93,$24234.73,NA,$24234.73,NA,$23022.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$32593.33,$39455.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34308.77,NA,NA,NA,$34308.77,NA,NA,NA,NA,$34308.77,NA,$34308.77,NA,NA,NA,$39455.08,$34308.77,NA,$34308.77,NA,$32593.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$26432.80,$31997.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27824.00,NA,NA,NA,$27824.00,NA,NA,NA,NA,$27824.00,NA,$27824.00,NA,NA,NA,$31997.60,$27824.00,NA,$27824.00,NA,$26432.80,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$25048.41,$30321.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26366.75,NA,NA,NA,$26366.75,NA,NA,NA,NA,$26366.75,NA,$26366.75,NA,NA,NA,$30321.76,$26366.75,NA,$26366.75,NA,$25048.41,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$11382.08,$13778.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$11981.14,NA,NA,NA,$11981.14,NA,NA,NA,NA,$11981.14,NA,$11981.14,NA,NA,NA,$13778.31,$11981.14,NA,$11981.14,NA,$11382.08,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$16955.75,$20525.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17848.16,NA,NA,NA,$17848.16,NA,NA,NA,NA,$17848.16,NA,$17848.16,NA,NA,NA,$20525.39,$17848.16,NA,$17848.16,NA,$16955.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$13645.26,$16517.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14363.43,NA,NA,NA,$14363.43,NA,NA,NA,NA,$14363.43,NA,$14363.43,NA,NA,NA,$16517.95,$14363.43,NA,$14363.43,NA,$13645.26,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$12220.24,$14792.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12863.41,NA,NA,NA,$12863.41,NA,NA,NA,NA,$12863.41,NA,$12863.41,NA,NA,NA,$14792.92,$12863.41,NA,$12863.41,NA,$12220.24,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$13381.92,$16199.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14086.24,NA,NA,NA,$14086.24,NA,NA,NA,NA,$14086.24,NA,$14086.24,NA,NA,NA,$16199.17,$14086.24,NA,$14086.24,NA,$13381.92,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$19935.20,$24132.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20984.42,NA,NA,NA,$20984.42,NA,NA,NA,NA,$20984.42,NA,$20984.42,NA,NA,NA,$24132.08,$20984.42,NA,$20984.42,NA,$19935.20,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$16042.36,$19419.70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16886.69,NA,NA,NA,$16886.69,NA,NA,NA,NA,$16886.69,NA,$16886.69,NA,NA,NA,$19419.70,$16886.69,NA,$16886.69,NA,$16042.36,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$14367.55,$17392.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15123.74,NA,NA,NA,$15123.74,NA,NA,NA,NA,$15123.74,NA,$15123.74,NA,NA,NA,$17392.30,$15123.74,NA,$15123.74,NA,$14367.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$14948.39,$18095.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15735.15,NA,NA,NA,$15735.15,NA,NA,NA,NA,$15735.15,NA,$15735.15,NA,NA,NA,$18095.42,$15735.15,NA,$15735.15,NA,$14948.39,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$22269.10,$26957.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23441.16,NA,NA,NA,$23441.16,NA,NA,NA,NA,$23441.16,NA,$23441.16,NA,NA,NA,$26957.33,$23441.16,NA,$23441.16,NA,$22269.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$17920.31,$21693.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18863.49,NA,NA,NA,$18863.49,NA,NA,NA,NA,$18863.49,NA,$18863.49,NA,NA,NA,$21693.01,$18863.49,NA,$18863.49,NA,$17920.31,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$16049.88,$19428.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16894.61,NA,NA,NA,$16894.61,NA,NA,NA,NA,$16894.61,NA,$16894.61,NA,NA,NA,$19428.81,$16894.61,NA,$16894.61,NA,$16049.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$17228.12,$20855.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18134.86,NA,NA,NA,$18134.86,NA,NA,NA,NA,$18134.86,NA,$18134.86,NA,NA,NA,$20855.09,$18134.86,NA,$18134.86,NA,$17228.12,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$25665.37,$31068.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27016.18,NA,NA,NA,$27016.18,NA,NA,NA,NA,$27016.18,NA,$27016.18,NA,NA,NA,$31068.60,$27016.18,NA,$27016.18,NA,$25665.37,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$20654.48,$25002.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21741.56,NA,NA,NA,$21741.56,NA,NA,NA,NA,$21741.56,NA,$21741.56,NA,NA,NA,$25002.79,$21741.56,NA,$21741.56,NA,$20654.48,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$18498.14,$22392.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19471.73,NA,NA,NA,$19471.73,NA,NA,NA,NA,$19471.73,NA,$19471.73,NA,NA,NA,$22392.49,$19471.73,NA,$19471.73,NA,$18498.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$20075.14,$24301.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21131.73,NA,NA,NA,$21131.73,NA,NA,NA,NA,$21131.73,NA,$21131.73,NA,NA,NA,$24301.49,$21131.73,NA,$21131.73,NA,$20075.14,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$29905.81,$36201.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31479.80,NA,NA,NA,$31479.80,NA,NA,NA,NA,$31479.80,NA,$31479.80,NA,NA,NA,$36201.77,$31479.80,NA,$31479.80,NA,$29905.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$24067.30,$29134.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25334.00,NA,NA,NA,$25334.00,NA,NA,NA,NA,$25334.00,NA,$25334.00,NA,NA,NA,$29134.10,$25334.00,NA,$25334.00,NA,$24067.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$21554.33,$26092.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22688.77,NA,NA,NA,$22688.77,NA,NA,NA,NA,$22688.77,NA,$22688.77,NA,NA,NA,$26092.09,$22688.77,NA,$22688.77,NA,$21554.33,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$12448.97,$15069.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13104.18,NA,NA,NA,$13104.18,NA,NA,NA,NA,$13104.18,NA,$13104.18,NA,NA,NA,$15069.80,$13104.18,NA,$13104.18,NA,$12448.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$18224.28,$22060.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19183.45,NA,NA,NA,$19183.45,NA,NA,NA,NA,$19183.45,NA,$19183.45,NA,NA,NA,$22060.97,$19183.45,NA,$19183.45,NA,$18224.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$14522.54,$17579.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15286.88,NA,NA,NA,$15286.88,NA,NA,NA,NA,$15286.88,NA,$15286.88,NA,NA,NA,$17579.92,$15286.88,NA,$15286.88,NA,$14522.54,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$13743.07,$16636.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14466.39,NA,NA,NA,$14466.39,NA,NA,NA,NA,$14466.39,NA,$14466.39,NA,NA,NA,$16636.35,$14466.39,NA,$14466.39,NA,$13743.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$15500.64,$18763.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16316.46,NA,NA,NA,$16316.46,NA,NA,NA,NA,$16316.46,NA,$16316.46,NA,NA,NA,$18763.93,$16316.46,NA,$16316.46,NA,$15500.64,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$22688.93,$27465.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23883.08,NA,NA,NA,$23883.08,NA,NA,NA,NA,$23883.08,NA,$23883.08,NA,NA,NA,$27465.55,$23883.08,NA,$23883.08,NA,$22688.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$18079.82,$21886.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19031.39,NA,NA,NA,$19031.39,NA,NA,NA,NA,$19031.39,NA,$19031.39,NA,NA,NA,$21886.10,$19031.39,NA,$19031.39,NA,$18079.82,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$17110.75,$20713.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18011.31,NA,NA,NA,$18011.31,NA,NA,NA,NA,$18011.31,NA,$18011.31,NA,NA,NA,$20713.01,$18011.31,NA,$18011.31,NA,$17110.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$18240.83,$22081.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19200.87,NA,NA,NA,$19200.87,NA,NA,NA,NA,$19200.87,NA,$19200.87,NA,NA,NA,$22081.00,$19200.87,NA,$19200.87,NA,$18240.83,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$26700.65,$32321.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28105.95,NA,NA,NA,$28105.95,NA,NA,NA,NA,$28105.95,NA,$28105.95,NA,NA,NA,$32321.84,$28105.95,NA,$28105.95,NA,$26700.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$21275.95,$25755.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22395.74,NA,NA,NA,$22395.74,NA,NA,NA,NA,$22395.74,NA,$22395.74,NA,NA,NA,$25755.10,$22395.74,NA,$22395.74,NA,$21275.95,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$20136.84,$24376.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21196.67,NA,NA,NA,$21196.67,NA,NA,NA,NA,$21196.67,NA,$21196.67,NA,NA,NA,$24376.17,$21196.67,NA,$21196.67,NA,$20136.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$20943.40,$25352.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22045.68,NA,NA,NA,$22045.68,NA,NA,NA,NA,$22045.68,NA,$22045.68,NA,NA,NA,$25352.53,$22045.68,NA,$22045.68,NA,$20943.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$30656.69,$37110.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32270.20,NA,NA,NA,$32270.20,NA,NA,NA,NA,$32270.20,NA,$32270.20,NA,NA,NA,$37110.73,$32270.20,NA,$32270.20,NA,$30656.69,NA,NA,NA
