Encompass Health Rehabilitation Hospital of New England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,AMERICAS CHOICE PROV NET (ACPN) negotiated charge,BCBS OF MA (BCMA) negotiated charge,BCBS OF MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MA MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTH PLAN DUAL (BMCB) negotiated charge,BMC HEALTH PLAN MEDICAID (BMCD) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH ALLIANCE DUA (COM) negotiated charge,COMMONWEALTH CARE MEDICAR (COCM) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,FALLON (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON MEDICARE (FALM) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,GMMI INC (GMI) negotiated charge,HARVARD PILGRIM (HPH) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM MEDICARE (HPIM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK HEALTH COM CARES (NTHD) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,NETWORK HEALTH MEDICAID (NTH) negotiated charge,NETWORK HEATLH DUAL ELIG (NTHB) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYRAMID/AMERICAN PROGRESS (AMPM) negotiated charge,SENIOR WHOLE HEALTH MCR (WHSM) negotiated charge,TUFTS (TFT) negotiated charge,TUFTS MEDICARE (TFTS) negotiated charge,UNICARE (UNC) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED HEALTHCARE VA CCN (UHV) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-A,NA,NA,$33707.65,$43070.88,NA,$37452.94,NA,NA,NA,NA,NA,NA,NA,NA,$37452.94,NA,NA,NA,$37452.94,NA,$33707.65,$33707.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37452.94,$37452.94,NA,NA,NA,NA,$37452.94,NA,$43070.88,$37452.94,$37452.94,NA,NA,NA,NA,$33707.65,$37452.94,$37452.94,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-B,NA,NA,$47463.96,$60648.40,NA,$52737.74,NA,NA,NA,NA,NA,NA,NA,NA,$52737.74,NA,NA,NA,$52737.74,NA,$47463.96,$47463.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52737.74,$52737.74,NA,NA,NA,NA,$52737.74,NA,$60648.40,$52737.74,$52737.74,NA,NA,NA,NA,$47463.96,$52737.74,$52737.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-C,NA,NA,$40276.23,$51464.07,NA,$44751.36,NA,NA,NA,NA,NA,NA,NA,NA,$44751.36,NA,NA,NA,$44751.36,NA,$40276.23,$40276.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44751.36,$44751.36,NA,NA,NA,NA,$44751.36,NA,$51464.07,$44751.36,$44751.36,NA,NA,NA,NA,$40276.23,$44751.36,$44751.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0405-D,NA,NA,$36281.12,$46359.21,NA,$40312.35,NA,NA,NA,NA,NA,NA,NA,NA,$40312.35,NA,NA,NA,$40312.35,NA,$36281.12,$36281.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40312.35,$40312.35,NA,NA,NA,NA,$40312.35,NA,$46359.21,$40312.35,$40312.35,NA,NA,NA,NA,$36281.12,$40312.35,$40312.35,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-A,NA,NA,$44177.94,$56449.59,NA,$49086.60,NA,NA,NA,NA,NA,NA,NA,NA,$49086.60,NA,NA,NA,$49086.60,NA,$44177.94,$44177.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49086.60,$49086.60,NA,NA,NA,NA,$49086.60,NA,$56449.59,$49086.60,$49086.60,NA,NA,NA,NA,$44177.94,$49086.60,$49086.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-B,NA,NA,$62207.81,$79487.76,NA,$69119.79,NA,NA,NA,NA,NA,NA,NA,NA,$69119.79,NA,NA,NA,$69119.79,NA,$62207.81,$62207.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,$69119.79,$69119.79,NA,NA,NA,NA,$69119.79,NA,$79487.76,$69119.79,$69119.79,NA,NA,NA,NA,$62207.81,$69119.79,$69119.79,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$52787.31,$67450.46,NA,$58652.57,NA,NA,NA,NA,NA,NA,NA,NA,$58652.57,NA,NA,NA,$58652.57,NA,$52787.31,$52787.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,$58652.57,$58652.57,NA,NA,NA,NA,$58652.57,NA,$67450.46,$58652.57,$58652.57,NA,NA,NA,NA,$52787.31,$58652.57,$58652.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$47550.44,$60758.89,NA,$52833.82,NA,NA,NA,NA,NA,NA,NA,NA,$52833.82,NA,NA,NA,$52833.82,NA,$47550.44,$47550.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52833.82,$52833.82,NA,NA,NA,NA,$52833.82,NA,$60758.89,$52833.82,$52833.82,NA,NA,NA,NA,$47550.44,$52833.82,$52833.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$50442.13,$64453.84,NA,$56046.81,NA,NA,NA,NA,NA,NA,NA,NA,$56046.81,NA,NA,NA,$56046.81,NA,$50442.13,$50442.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56046.81,$56046.81,NA,NA,NA,NA,$56046.81,NA,$64453.84,$56046.81,$56046.81,NA,NA,NA,NA,$50442.13,$56046.81,$56046.81,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$71029.91,$90760.44,NA,$78922.12,NA,NA,NA,NA,NA,NA,NA,NA,$78922.12,NA,NA,NA,$78922.12,NA,$71029.91,$71029.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,$78922.12,$78922.12,NA,NA,NA,NA,$78922.12,NA,$90760.44,$78922.12,$78922.12,NA,NA,NA,NA,$71029.91,$78922.12,$78922.12,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$60272.52,$77014.89,NA,$66969.47,NA,NA,NA,NA,NA,NA,NA,NA,$66969.47,NA,NA,NA,$66969.47,NA,$60272.52,$60272.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66969.47,$66969.47,NA,NA,NA,NA,$66969.47,NA,$77014.89,$66969.47,$66969.47,NA,NA,NA,NA,$60272.52,$66969.47,$66969.47,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$54295.42,$69377.49,NA,$60328.25,NA,NA,NA,NA,NA,NA,NA,NA,$60328.25,NA,NA,NA,$60328.25,NA,$54295.42,$54295.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60328.25,$60328.25,NA,NA,NA,NA,$60328.25,NA,$69377.49,$60328.25,$60328.25,NA,NA,NA,NA,$54295.42,$60328.25,$60328.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$15349.17,$19612.83,NA,$17054.63,NA,NA,NA,NA,NA,NA,NA,NA,$17054.63,NA,NA,NA,$17054.63,NA,$15349.17,$15349.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17054.63,$17054.63,NA,NA,NA,NA,$17054.63,NA,$19612.83,$17054.63,$17054.63,NA,NA,NA,NA,$15349.17,$17054.63,$17054.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$22651.05,$28943.01,NA,$25167.84,NA,NA,NA,NA,NA,NA,NA,NA,$25167.84,NA,NA,NA,$25167.84,NA,$22651.05,$22651.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25167.84,$25167.84,NA,NA,NA,NA,$25167.84,NA,$28943.01,$25167.84,$25167.84,NA,NA,NA,NA,$22651.05,$25167.84,$25167.84,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$17602.69,$22492.33,NA,$19558.54,NA,NA,NA,NA,NA,NA,NA,NA,$19558.54,NA,NA,NA,$19558.54,NA,$17602.69,$17602.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19558.54,$19558.54,NA,NA,NA,NA,$19558.54,NA,$22492.33,$19558.54,$19558.54,NA,NA,NA,NA,$17602.69,$19558.54,$19558.54,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$16618.61,$21234.89,NA,$18465.13,NA,NA,NA,NA,NA,NA,NA,NA,$18465.13,NA,NA,NA,$18465.13,NA,$16618.61,$16618.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18465.13,$18465.13,NA,NA,NA,NA,$18465.13,NA,$21234.89,$18465.13,$18465.13,NA,NA,NA,NA,$16618.61,$18465.13,$18465.13,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$19072.75,$24370.74,NA,$21191.95,NA,NA,NA,NA,NA,NA,NA,NA,$21191.95,NA,NA,NA,$21191.95,NA,$19072.75,$19072.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21191.95,$21191.95,NA,NA,NA,NA,$21191.95,NA,$24370.74,$21191.95,$21191.95,NA,NA,NA,NA,$19072.75,$21191.95,$21191.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$28143.89,$35961.64,NA,$31270.99,NA,NA,NA,NA,NA,NA,NA,NA,$31270.99,NA,NA,NA,$31270.99,NA,$28143.89,$28143.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31270.99,$31270.99,NA,NA,NA,NA,$31270.99,NA,$35961.64,$31270.99,$31270.99,NA,NA,NA,NA,$28143.89,$31270.99,$31270.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$21871.06,$27946.35,NA,$24301.17,NA,NA,NA,NA,NA,NA,NA,NA,$24301.17,NA,NA,NA,$24301.17,NA,$21871.06,$21871.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24301.17,$24301.17,NA,NA,NA,NA,$24301.17,NA,$27946.35,$24301.17,$24301.17,NA,NA,NA,NA,$21871.06,$24301.17,$24301.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$20648.31,$26383.95,NA,$22942.57,NA,NA,NA,NA,NA,NA,NA,NA,$22942.57,NA,NA,NA,$22942.57,NA,$20648.31,$20648.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22942.57,$22942.57,NA,NA,NA,NA,$22942.57,NA,$26383.95,$22942.57,$22942.57,NA,NA,NA,NA,$20648.31,$22942.57,$22942.57,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$22149.50,$28302.14,NA,$24610.56,NA,NA,NA,NA,NA,NA,NA,NA,$24610.56,NA,NA,NA,$24610.56,NA,$22149.50,$22149.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24610.56,$24610.56,NA,NA,NA,NA,$24610.56,NA,$28302.14,$24610.56,$24610.56,NA,NA,NA,NA,$22149.50,$24610.56,$24610.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$32685.52,$41764.83,NA,$36317.24,NA,NA,NA,NA,NA,NA,NA,NA,$36317.24,NA,NA,NA,$36317.24,NA,$32685.52,$32685.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36317.24,$36317.24,NA,NA,NA,NA,$36317.24,NA,$41764.83,$36317.24,$36317.24,NA,NA,NA,NA,$32685.52,$36317.24,$36317.24,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$25400.93,$32456.75,NA,$28223.26,NA,NA,NA,NA,NA,NA,NA,NA,$28223.26,NA,NA,NA,$28223.26,NA,$25400.93,$25400.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28223.26,$28223.26,NA,NA,NA,NA,$28223.26,NA,$32456.75,$28223.26,$28223.26,NA,NA,NA,NA,$25400.93,$28223.26,$28223.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$23981.03,$30642.42,NA,$26645.59,NA,NA,NA,NA,NA,NA,NA,NA,$26645.59,NA,NA,NA,$26645.59,NA,$23981.03,$23981.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26645.59,$26645.59,NA,NA,NA,NA,$26645.59,NA,$30642.42,$26645.59,$26645.59,NA,NA,NA,NA,$23981.03,$26645.59,$26645.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$26378.09,$33705.34,NA,$29308.99,NA,NA,NA,NA,NA,NA,NA,NA,$29308.99,NA,NA,NA,$29308.99,NA,$26378.09,$26378.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29308.99,$29308.99,NA,NA,NA,NA,$29308.99,NA,$33705.34,$29308.99,$29308.99,NA,NA,NA,NA,$26378.09,$29308.99,$29308.99,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$38923.77,$49735.93,NA,$43248.63,NA,NA,NA,NA,NA,NA,NA,NA,$43248.63,NA,NA,NA,$43248.63,NA,$38923.77,$38923.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43248.63,$43248.63,NA,NA,NA,NA,$43248.63,NA,$49735.93,$43248.63,$43248.63,NA,NA,NA,NA,$38923.77,$43248.63,$43248.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$30250.41,$38653.30,NA,$33611.56,NA,NA,NA,NA,NA,NA,NA,NA,$33611.56,NA,NA,NA,$33611.56,NA,$30250.41,$30250.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33611.56,$33611.56,NA,NA,NA,NA,$33611.56,NA,$38653.30,$33611.56,$33611.56,NA,NA,NA,NA,$30250.41,$33611.56,$33611.56,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$28558.97,$36492.02,NA,$31732.19,NA,NA,NA,NA,NA,NA,NA,NA,$31732.19,NA,NA,NA,$31732.19,NA,$28558.97,$28558.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31732.19,$31732.19,NA,NA,NA,NA,$31732.19,NA,$36492.02,$31732.19,$31732.19,NA,NA,NA,NA,$28558.97,$31732.19,$31732.19,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$34415.00,$43974.73,NA,$38238.89,NA,NA,NA,NA,NA,NA,NA,NA,$38238.89,NA,NA,NA,$38238.89,NA,$34415.00,$34415.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38238.89,$38238.89,NA,NA,NA,NA,$38238.89,NA,$43974.73,$38238.89,$38238.89,NA,NA,NA,NA,$34415.00,$38238.89,$38238.89,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$50781.11,$64886.98,NA,$56423.46,NA,NA,NA,NA,NA,NA,NA,NA,$56423.46,NA,NA,NA,$56423.46,NA,$50781.11,$50781.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56423.46,$56423.46,NA,NA,NA,NA,$56423.46,NA,$64886.98,$56423.46,$56423.46,NA,NA,NA,NA,$50781.11,$56423.46,$56423.46,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$39465.10,$50427.62,NA,$43850.11,NA,NA,NA,NA,NA,NA,NA,NA,$43850.11,NA,NA,NA,$43850.11,NA,$39465.10,$39465.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43850.11,$43850.11,NA,NA,NA,NA,$43850.11,NA,$50427.62,$43850.11,$43850.11,NA,NA,NA,NA,$39465.10,$43850.11,$43850.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$37258.28,$47607.80,NA,$41398.08,NA,NA,NA,NA,NA,NA,NA,NA,$41398.08,NA,NA,NA,$41398.08,NA,$37258.28,$37258.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41398.08,$41398.08,NA,NA,NA,NA,$41398.08,NA,$47607.80,$41398.08,$41398.08,NA,NA,NA,NA,$37258.28,$41398.08,$41398.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$15167.58,$19380.79,NA,$16852.86,NA,NA,NA,NA,NA,NA,NA,NA,$16852.86,NA,NA,NA,$16852.86,NA,$15167.58,$15167.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16852.86,$16852.86,NA,NA,NA,NA,$16852.86,NA,$19380.79,$16852.86,$16852.86,NA,NA,NA,NA,$15167.58,$16852.86,$16852.86,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$23647.24,$30215.91,NA,$26274.71,NA,NA,NA,NA,NA,NA,NA,NA,$26274.71,NA,NA,NA,$26274.71,NA,$23647.24,$23647.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26274.71,$26274.71,NA,NA,NA,NA,$26274.71,NA,$30215.91,$26274.71,$26274.71,NA,NA,NA,NA,$23647.24,$26274.71,$26274.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$17801.58,$22746.46,NA,$19779.53,NA,NA,NA,NA,NA,NA,NA,NA,$19779.53,NA,NA,NA,$19779.53,NA,$17801.58,$17801.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19779.53,$19779.53,NA,NA,NA,NA,$19779.53,NA,$22746.46,$19779.53,$19779.53,NA,NA,NA,NA,$17801.58,$19779.53,$19779.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$16687.79,$21323.29,NA,$18541.99,NA,NA,NA,NA,NA,NA,NA,NA,$18541.99,NA,NA,NA,$18541.99,NA,$16687.79,$16687.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18541.99,$18541.99,NA,NA,NA,NA,$18541.99,NA,$21323.29,$18541.99,$18541.99,NA,NA,NA,NA,$16687.79,$18541.99,$18541.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$18877.32,$24121.02,NA,$20974.80,NA,NA,NA,NA,NA,NA,NA,NA,$20974.80,NA,NA,NA,$20974.80,NA,$18877.32,$18877.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20974.80,$20974.80,NA,NA,NA,NA,$20974.80,NA,$24121.02,$20974.80,$20974.80,NA,NA,NA,NA,$18877.32,$20974.80,$20974.80,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$29428.90,$37603.60,NA,$32698.78,NA,NA,NA,NA,NA,NA,NA,NA,$32698.78,NA,NA,NA,$32698.78,NA,$29428.90,$29428.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32698.78,$32698.78,NA,NA,NA,NA,$32698.78,NA,$37603.60,$32698.78,$32698.78,NA,NA,NA,NA,$29428.90,$32698.78,$32698.78,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$22152.96,$28306.56,NA,$24614.40,NA,NA,NA,NA,NA,NA,NA,NA,$24614.40,NA,NA,NA,$24614.40,NA,$22152.96,$22152.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24614.40,$24614.40,NA,NA,NA,NA,$24614.40,NA,$28306.56,$24614.40,$24614.40,NA,NA,NA,NA,$22152.96,$24614.40,$24614.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$20767.65,$26536.44,NA,$23075.16,NA,NA,NA,NA,NA,NA,NA,NA,$23075.16,NA,NA,NA,$23075.16,NA,$20767.65,$20767.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23075.16,$23075.16,NA,NA,NA,NA,$23075.16,NA,$26536.44,$23075.16,$23075.16,NA,NA,NA,NA,$20767.65,$23075.16,$23075.16,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$22422.76,$28651.31,NA,$24914.18,NA,NA,NA,NA,NA,NA,NA,NA,$24914.18,NA,NA,NA,$24914.18,NA,$22422.76,$22422.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24914.18,$24914.18,NA,NA,NA,NA,$24914.18,NA,$28651.31,$24914.18,$24914.18,NA,NA,NA,NA,$22422.76,$24914.18,$24914.18,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$34959.79,$44670.84,NA,$38844.21,NA,NA,NA,NA,NA,NA,NA,NA,$38844.21,NA,NA,NA,$38844.21,NA,$34959.79,$34959.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38844.21,$38844.21,NA,NA,NA,NA,$38844.21,NA,$44670.84,$38844.21,$38844.21,NA,NA,NA,NA,$34959.79,$38844.21,$38844.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$26315.83,$33625.78,NA,$29239.81,NA,NA,NA,NA,NA,NA,NA,NA,$29239.81,NA,NA,NA,$29239.81,NA,$26315.83,$26315.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29239.81,$29239.81,NA,NA,NA,NA,$29239.81,NA,$33625.78,$29239.81,$29239.81,NA,NA,NA,NA,$26315.83,$29239.81,$29239.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$24669.36,$31521.96,NA,$27410.40,NA,NA,NA,NA,NA,NA,NA,NA,$27410.40,NA,NA,NA,$27410.40,NA,$24669.36,$24669.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27410.40,$27410.40,NA,NA,NA,NA,$27410.40,NA,$31521.96,$27410.40,$27410.40,NA,NA,NA,NA,$24669.36,$27410.40,$27410.40,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$26020.09,$33247.89,NA,$28911.21,NA,NA,NA,NA,NA,NA,NA,NA,$28911.21,NA,NA,NA,$28911.21,NA,$26020.09,$26020.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28911.21,$28911.21,NA,NA,NA,NA,$28911.21,NA,$33247.89,$28911.21,$28911.21,NA,NA,NA,NA,$26020.09,$28911.21,$28911.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$40566.78,$51835.33,NA,$45074.20,NA,NA,NA,NA,NA,NA,NA,NA,$45074.20,NA,NA,NA,$45074.20,NA,$40566.78,$40566.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45074.20,$45074.20,NA,NA,NA,NA,$45074.20,NA,$51835.33,$45074.20,$45074.20,NA,NA,NA,NA,$40566.78,$45074.20,$45074.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$30537.50,$39020.14,NA,$33930.56,NA,NA,NA,NA,NA,NA,NA,NA,$33930.56,NA,NA,NA,$33930.56,NA,$30537.50,$30537.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33930.56,$33930.56,NA,NA,NA,NA,$33930.56,NA,$39020.14,$33930.56,$33930.56,NA,NA,NA,NA,$30537.50,$33930.56,$33930.56,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$28626.42,$36578.20,NA,$31807.13,NA,NA,NA,NA,NA,NA,NA,NA,$31807.13,NA,NA,NA,$31807.13,NA,$28626.42,$28626.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31807.13,$31807.13,NA,NA,NA,NA,$31807.13,NA,$36578.20,$31807.13,$31807.13,NA,NA,NA,NA,$28626.42,$31807.13,$31807.13,NA,NA
