Encompass Health Rehabilitation Hospital of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,ADVANET WORK COMP (ADVW) negotiated charge,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HEALTHEASE STAYWELL (WLCS) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MEDICAL PARTNERS OF AM (MPAM) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTHCARE MEDICARE (VISM) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$16592.48,$20085.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17465.76,NA,NA,NA,NA,NA,NA,$17465.76,NA,NA,NA,NA,NA,NA,$17465.76,NA,$17465.76,NA,NA,$20085.63,$17465.76,NA,$17465.76,$17465.76,NA,$16592.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$15664.87,$18962.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16489.34,NA,NA,NA,NA,NA,NA,$16489.34,NA,NA,NA,NA,NA,NA,$16489.34,NA,$16489.34,NA,NA,$18962.74,$16489.34,NA,$16489.34,$16489.34,NA,$15664.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17978.17,$21763.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18924.39,NA,NA,NA,NA,NA,NA,$18924.39,NA,NA,NA,NA,NA,NA,$18924.39,NA,$18924.39,NA,NA,$21763.05,$18924.39,NA,$18924.39,$18924.39,NA,$17978.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$26528.72,$32113.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27924.97,NA,NA,NA,NA,NA,NA,$27924.97,NA,NA,NA,NA,NA,NA,$27924.97,NA,$27924.97,NA,NA,$32113.72,$27924.97,NA,$27924.97,$27924.97,NA,$26528.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$20615.88,$24956.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21700.93,NA,NA,NA,NA,NA,NA,$21700.93,NA,NA,NA,NA,NA,NA,$21700.93,NA,$21700.93,NA,NA,$24956.07,$21700.93,NA,$21700.93,$21700.93,NA,$20615.88,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$19463.31,$23560.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20487.69,NA,NA,NA,NA,NA,NA,$20487.69,NA,NA,NA,NA,NA,NA,$20487.69,NA,$20487.69,NA,NA,$23560.85,$20487.69,NA,$20487.69,$20487.69,NA,$19463.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$20878.35,$25273.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21977.21,NA,NA,NA,NA,NA,NA,$21977.21,NA,NA,NA,NA,NA,NA,$21977.21,NA,$21977.21,NA,NA,$25273.79,$21977.21,NA,$21977.21,$21977.21,NA,$20878.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$30809.71,$37295.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32431.27,NA,NA,NA,NA,NA,NA,$32431.27,NA,NA,NA,NA,NA,NA,$32431.27,NA,$32431.27,NA,NA,$37295.96,$32431.27,NA,$32431.27,$32431.27,NA,$30809.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$23943.18,$28983.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25203.35,NA,NA,NA,NA,NA,NA,$25203.35,NA,NA,NA,NA,NA,NA,$25203.35,NA,$25203.35,NA,NA,$28983.85,$25203.35,NA,$25203.35,$25203.35,NA,$23943.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$22604.76,$27363.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23794.49,NA,NA,NA,NA,NA,NA,$23794.49,NA,NA,NA,NA,NA,NA,$23794.49,NA,$23794.49,NA,NA,$27363.66,$23794.49,NA,$23794.49,$23794.49,NA,$22604.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$24864.26,$30098.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26172.90,NA,NA,NA,NA,NA,NA,$26172.90,NA,NA,NA,NA,NA,NA,$26172.90,NA,$26172.90,NA,NA,$30098.84,$26172.90,NA,$26172.90,$26172.90,NA,$24864.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$36689.94,$44414.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38620.99,NA,NA,NA,NA,NA,NA,$38620.99,NA,NA,NA,NA,NA,NA,$38620.99,NA,$38620.99,NA,NA,$44414.14,$38620.99,NA,$38620.99,$38620.99,NA,$36689.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$28514.34,$34517.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30015.10,NA,NA,NA,NA,NA,NA,$30015.10,NA,NA,NA,NA,NA,NA,$30015.10,NA,$30015.10,NA,NA,$34517.36,$30015.10,NA,$30015.10,$30015.10,NA,$28514.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$26919.98,$32587.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28336.82,NA,NA,NA,NA,NA,NA,$28336.82,NA,NA,NA,NA,NA,NA,$28336.82,NA,$28336.82,NA,NA,$32587.34,$28336.82,NA,$28336.82,$28336.82,NA,$26919.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$32439.94,$39269.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34147.30,NA,NA,NA,NA,NA,NA,$34147.30,NA,NA,NA,NA,NA,NA,$34147.30,NA,$34147.30,NA,NA,$39269.40,$34147.30,NA,$34147.30,$34147.30,NA,$32439.94,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$47866.80,$57944.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50386.10,NA,NA,NA,NA,NA,NA,$50386.10,NA,NA,NA,NA,NA,NA,$50386.10,NA,$50386.10,NA,NA,$57944.02,$50386.10,NA,$50386.10,$50386.10,NA,$47866.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$37200.21,$45031.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39158.11,NA,NA,NA,NA,NA,NA,$39158.11,NA,NA,NA,NA,NA,NA,$39158.11,NA,$39158.11,NA,NA,$45031.83,$39158.11,NA,$39158.11,$39158.11,NA,$37200.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$35120.03,$42513.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36968.46,NA,NA,NA,NA,NA,NA,$36968.46,NA,NA,NA,NA,NA,NA,$36968.46,NA,$36968.46,NA,NA,$42513.72,$36968.46,NA,$36968.46,$36968.46,NA,$35120.03,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$14297.11,$17307.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15049.59,NA,NA,NA,NA,NA,NA,$15049.59,NA,NA,NA,NA,NA,NA,$15049.59,NA,$15049.59,NA,NA,$17307.03,$15049.59,NA,$15049.59,$15049.59,NA,$14297.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$22290.13,$26982.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23463.29,NA,NA,NA,NA,NA,NA,$23463.29,NA,NA,NA,NA,NA,NA,$23463.29,NA,$23463.29,NA,NA,$26982.79,$23463.29,NA,$23463.29,$23463.29,NA,$22290.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$16779.95,$20312.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17663.11,NA,NA,NA,NA,NA,NA,$17663.11,NA,NA,NA,NA,NA,NA,$17663.11,NA,$17663.11,NA,NA,$20312.57,$17663.11,NA,$17663.11,$17663.11,NA,$16779.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$15730.08,$19041.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16557.98,NA,NA,NA,NA,NA,NA,$16557.98,NA,NA,NA,NA,NA,NA,$16557.98,NA,$16557.98,NA,NA,$19041.68,$16557.98,NA,$16557.98,$16557.98,NA,$15730.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$17793.95,$21540.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18730.48,NA,NA,NA,NA,NA,NA,$18730.48,NA,NA,NA,NA,NA,NA,$18730.48,NA,$18730.48,NA,NA,$21540.05,$18730.48,NA,$18730.48,$18730.48,NA,$17793.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$27739.98,$33579.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29199.98,NA,NA,NA,NA,NA,NA,$29199.98,NA,NA,NA,NA,NA,NA,$29199.98,NA,$29199.98,NA,NA,$33579.98,$29199.98,NA,$29199.98,$29199.98,NA,$27739.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$20881.61,$25277.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21980.64,NA,NA,NA,NA,NA,NA,$21980.64,NA,NA,NA,NA,NA,NA,$21980.64,NA,$21980.64,NA,NA,$25277.74,$21980.64,NA,$21980.64,$21980.64,NA,$20881.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$19575.80,$23697.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20606.10,NA,NA,NA,NA,NA,NA,$20606.10,NA,NA,NA,NA,NA,NA,$20606.10,NA,$20606.10,NA,NA,$23697.02,$20606.10,NA,$20606.10,$20606.10,NA,$19575.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$21135.92,$25585.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22248.34,NA,NA,NA,NA,NA,NA,$22248.34,NA,NA,NA,NA,NA,NA,$22248.34,NA,$22248.34,NA,NA,$25585.59,$22248.34,NA,$22248.34,$22248.34,NA,$21135.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$32953.46,$39891.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34687.85,NA,NA,NA,NA,NA,NA,$34687.85,NA,NA,NA,NA,NA,NA,$34687.85,NA,$34687.85,NA,NA,$39891.03,$34687.85,NA,$34687.85,$34687.85,NA,$32953.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$24805.57,$30027.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26111.13,NA,NA,NA,NA,NA,NA,$26111.13,NA,NA,NA,NA,NA,NA,$26111.13,NA,$26111.13,NA,NA,$30027.80,$26111.13,NA,$26111.13,$26111.13,NA,$24805.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$23253.59,$28149.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24477.47,NA,NA,NA,NA,NA,NA,$24477.47,NA,NA,NA,NA,NA,NA,$24477.47,NA,$24477.47,NA,NA,$28149.09,$24477.47,NA,$24477.47,$24477.47,NA,$23253.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$24526.80,$29690.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25817.69,NA,NA,NA,NA,NA,NA,$25817.69,NA,NA,NA,NA,NA,NA,$25817.69,NA,$25817.69,NA,NA,$29690.34,$25817.69,NA,$25817.69,$25817.69,NA,$24526.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$38238.66,$46288.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40251.22,NA,NA,NA,NA,NA,NA,$40251.22,NA,NA,NA,NA,NA,NA,$40251.22,NA,$40251.22,NA,NA,$46288.91,$40251.22,NA,$40251.22,$40251.22,NA,$38238.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$28784.96,$34844.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30299.96,NA,NA,NA,NA,NA,NA,$30299.96,NA,NA,NA,NA,NA,NA,$30299.96,NA,$30299.96,NA,NA,$34844.95,$30299.96,NA,$30299.96,$30299.96,NA,$28784.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$26983.56,$32664.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28403.75,NA,NA,NA,NA,NA,NA,$28403.75,NA,NA,NA,NA,NA,NA,$28403.75,NA,$28403.75,NA,NA,$32664.31,$28403.75,NA,$28403.75,$28403.75,NA,$26983.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$14363.95,$17387.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15119.95,NA,NA,NA,NA,NA,NA,$15119.95,NA,NA,NA,NA,NA,NA,$15119.95,NA,$15119.95,NA,NA,$17387.94,$15119.95,NA,$15119.95,$15119.95,NA,$14363.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$20333.85,$24614.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21404.05,NA,NA,NA,NA,NA,NA,$21404.05,NA,NA,NA,NA,NA,NA,$21404.05,NA,$21404.05,NA,NA,$24614.66,$21404.05,NA,$21404.05,$21404.05,NA,$20333.85,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$16489.77,$19961.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17357.65,NA,NA,NA,NA,NA,NA,$17357.65,NA,NA,NA,NA,NA,NA,$17357.65,NA,$17357.65,NA,NA,$19961.30,$17357.65,NA,$17357.65,$17357.65,NA,$16489.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$15625.75,$18915.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16448.16,NA,NA,NA,NA,NA,NA,$16448.16,NA,NA,NA,NA,NA,NA,$16448.16,NA,$16448.16,NA,NA,$18915.38,$16448.16,NA,$16448.16,$16448.16,NA,$15625.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17958.61,$21739.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18903.80,NA,NA,NA,NA,NA,NA,$18903.80,NA,NA,NA,NA,NA,NA,$18903.80,NA,$18903.80,NA,NA,$21739.37,$18903.80,NA,$18903.80,$18903.80,NA,$17958.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$25423.43,$30775.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26761.50,NA,NA,NA,NA,NA,NA,$26761.50,NA,NA,NA,NA,NA,NA,$26761.50,NA,$26761.50,NA,NA,$30775.73,$26761.50,NA,$26761.50,$26761.50,NA,$25423.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$20617.51,$24958.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21702.64,NA,NA,NA,NA,NA,NA,$21702.64,NA,NA,NA,NA,NA,NA,$21702.64,NA,$21702.64,NA,NA,$24958.04,$21702.64,NA,$21702.64,$21702.64,NA,$20617.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$19538.30,$23651.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20566.63,NA,NA,NA,NA,NA,NA,$20566.63,NA,NA,NA,NA,NA,NA,$20566.63,NA,$20566.63,NA,NA,$23651.63,$20566.63,NA,$20566.63,$20566.63,NA,$19538.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$21828.77,$26424.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22977.66,NA,NA,NA,NA,NA,NA,$22977.66,NA,NA,NA,NA,NA,NA,$22977.66,NA,$22977.66,NA,NA,$26424.30,$22977.66,NA,$22977.66,$22977.66,NA,$21828.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$30902.63,$37408.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32529.08,NA,NA,NA,NA,NA,NA,$32529.08,NA,NA,NA,NA,NA,NA,$32529.08,NA,$32529.08,NA,NA,$37408.45,$32529.08,NA,$32529.08,$32529.08,NA,$30902.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$25061.52,$30337.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26380.54,NA,NA,NA,NA,NA,NA,$26380.54,NA,NA,NA,NA,NA,NA,$26380.54,NA,$26380.54,NA,NA,$30337.63,$26380.54,NA,$26380.54,$26380.54,NA,$25061.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$23749.18,$28749.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24999.14,NA,NA,NA,NA,NA,NA,$24999.14,NA,NA,NA,NA,NA,NA,$24999.14,NA,$24999.14,NA,NA,$28749.01,$24999.14,NA,$24999.14,$24999.14,NA,$23749.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$24942.51,$30193.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26255.27,NA,NA,NA,NA,NA,NA,$26255.27,NA,NA,NA,NA,NA,NA,$26255.27,NA,$26255.27,NA,NA,$30193.57,$26255.27,NA,$26255.27,$26255.27,NA,$24942.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$35310.77,$42744.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37169.23,NA,NA,NA,NA,NA,NA,$37169.23,NA,NA,NA,NA,NA,NA,$37169.23,NA,$37169.23,NA,NA,$42744.62,$37169.23,NA,$37169.23,$37169.23,NA,$35310.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$28636.61,$34665.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30143.80,NA,NA,NA,NA,NA,NA,$30143.80,NA,NA,NA,NA,NA,NA,$30143.80,NA,$30143.80,NA,NA,$34665.37,$30143.80,NA,$30143.80,$30143.80,NA,$28636.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$27136.80,$32849.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28565.05,NA,NA,NA,NA,NA,NA,$28565.05,NA,NA,NA,NA,NA,NA,$28565.05,NA,$28565.05,NA,NA,$32849.81,$28565.05,NA,$28565.05,$28565.05,NA,$27136.80,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$12331.06,$14927.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12980.06,NA,NA,NA,NA,NA,NA,$12980.06,NA,NA,NA,NA,NA,NA,$12980.06,NA,$12980.06,NA,NA,$14927.07,$12980.06,NA,$12980.06,$12980.06,NA,$12331.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$18369.43,$22236.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19336.24,NA,NA,NA,NA,NA,NA,$19336.24,NA,NA,NA,NA,NA,NA,$19336.24,NA,$19336.24,NA,NA,$22236.67,$19336.24,NA,$19336.24,$19336.24,NA,$18369.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14782.92,$17895.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15560.97,NA,NA,NA,NA,NA,NA,$15560.97,NA,NA,NA,NA,NA,NA,$15560.97,NA,$15560.97,NA,NA,$17895.11,$15560.97,NA,$15560.97,$15560.97,NA,$14782.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$13239.09,$16026.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13935.89,NA,NA,NA,NA,NA,NA,$13935.89,NA,NA,NA,NA,NA,NA,$13935.89,NA,$13935.89,NA,NA,$16026.27,$13935.89,NA,$13935.89,$13935.89,NA,$13239.09,NA,NA,NA,NA
