Encompass Health Rehabilitation Hospital of Montgomery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,AMERICAN PROG TODAYS OPT (AMPM) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS AL (BCAL) negotiated charge,BCBS AL MEDICARE ADVANTAG (BCAD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$18096.13,$21905.84,NA,NA,NA,$19048.56,NA,NA,$18477.10,NA,NA,NA,$19048.56,NA,NA,$19048.56,NA,$19048.56,NA,$21905.84,$19048.56,$19048.56,NA,$18096.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$26957.69,$32632.99,NA,NA,NA,$28376.51,NA,NA,$27525.22,NA,NA,NA,$28376.51,NA,NA,$28376.51,NA,$28376.51,NA,$32632.99,$28376.51,$28376.51,NA,$26957.69,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$21694.74,$26262.05,NA,NA,NA,$22836.57,NA,NA,$22151.47,NA,NA,NA,$22836.57,NA,NA,$22836.57,NA,$22836.57,NA,$26262.05,$22836.57,$22836.57,NA,$21694.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$19429.50,$23519.92,NA,NA,NA,$20452.11,NA,NA,$19838.54,NA,NA,NA,$20452.11,NA,NA,$20452.11,NA,$20452.11,NA,$23519.92,$20452.11,$20452.11,NA,$19429.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$11221.74,$13584.22,NA,NA,NA,$11812.36,NA,NA,$11457.99,NA,NA,NA,$11812.36,NA,NA,$11812.36,NA,$11812.36,NA,$13584.22,$11812.36,$11812.36,NA,$11221.74,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$16427.72,$19886.19,NA,NA,NA,$17292.34,NA,NA,$16773.57,NA,NA,NA,$17292.34,NA,NA,$17292.34,NA,$17292.34,NA,$19886.19,$17292.34,$17292.34,NA,$16427.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$13090.91,$15846.89,NA,NA,NA,$13779.90,NA,NA,$13366.50,NA,NA,NA,$13779.90,NA,NA,$13779.90,NA,$13779.90,NA,$15846.89,$13779.90,$13779.90,NA,$13090.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$12388.27,$14996.33,NA,NA,NA,$13040.29,NA,NA,$12649.08,NA,NA,NA,$13040.29,NA,NA,$13040.29,NA,$13040.29,NA,$14996.33,$13040.29,$13040.29,NA,$12388.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$13972.58,$16914.18,NA,NA,NA,$14707.98,NA,NA,$14266.74,NA,NA,NA,$14707.98,NA,NA,$14707.98,NA,$14707.98,NA,$16914.18,$14707.98,$14707.98,NA,$13972.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$20452.25,$24757.99,NA,NA,NA,$21528.69,NA,NA,$20882.82,NA,NA,NA,$21528.69,NA,NA,$21528.69,NA,$21528.69,NA,$24757.99,$21528.69,$21528.69,NA,$20452.25,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$16297.51,$19728.56,NA,NA,NA,$17155.27,NA,NA,$16640.61,NA,NA,NA,$17155.27,NA,NA,$17155.27,NA,$17155.27,NA,$19728.56,$17155.27,$17155.27,NA,$16297.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$15423.96,$18671.12,NA,NA,NA,$16235.75,NA,NA,$15748.68,NA,NA,NA,$16235.75,NA,NA,$16235.75,NA,$16235.75,NA,$18671.12,$16235.75,$16235.75,NA,$15423.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$16442.64,$19904.25,NA,NA,NA,$17308.05,NA,NA,$16788.80,NA,NA,NA,$17308.05,NA,NA,$17308.05,NA,$17308.05,NA,$19904.25,$17308.05,$17308.05,NA,$16442.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$24068.49,$29135.54,NA,NA,NA,$25335.26,NA,NA,$24575.20,NA,NA,NA,$25335.26,NA,NA,$25335.26,NA,$25335.26,NA,$29135.54,$25335.26,$25335.26,NA,$24068.49,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$19178.56,$23216.16,NA,NA,NA,$20187.96,NA,NA,$19582.32,NA,NA,NA,$20187.96,NA,NA,$20187.96,NA,$20187.96,NA,$23216.16,$20187.96,$20187.96,NA,$19178.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$18151.75,$21973.17,NA,NA,NA,$19107.10,NA,NA,$18533.89,NA,NA,NA,$19107.10,NA,NA,$19107.10,NA,$19107.10,NA,$21973.17,$19107.10,$19107.10,NA,$18151.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$18878.79,$22853.27,NA,NA,NA,$19872.41,NA,NA,$19276.24,NA,NA,NA,$19872.41,NA,NA,$19872.41,NA,$19872.41,NA,$22853.27,$19872.41,$19872.41,NA,$18878.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$27634.55,$33452.35,NA,NA,NA,$29089.00,NA,NA,$28216.33,NA,NA,NA,$29089.00,NA,NA,$29089.00,NA,$29089.00,NA,$33452.35,$29089.00,$29089.00,NA,$27634.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$22021.64,$26657.78,NA,NA,NA,$23180.67,NA,NA,$22485.25,NA,NA,NA,$23180.67,NA,NA,$23180.67,NA,$23180.67,NA,$26657.78,$23180.67,$23180.67,NA,$22021.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$20841.55,$25229.24,NA,NA,NA,$21938.47,NA,NA,$21280.32,NA,NA,NA,$21938.47,NA,NA,$21938.47,NA,$21938.47,NA,$25229.24,$21938.47,$21938.47,NA,$20841.55,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$12213.30,$14784.52,NA,NA,NA,$12856.10,NA,NA,$12470.42,NA,NA,NA,$12856.10,NA,NA,$12856.10,NA,$12856.10,NA,$14784.52,$12856.10,$12856.10,NA,$12213.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$17579.33,$21280.24,NA,NA,NA,$18504.56,NA,NA,$17949.42,NA,NA,NA,$18504.56,NA,NA,$18504.56,NA,$18504.56,NA,$21280.24,$18504.56,$18504.56,NA,$17579.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$14734.90,$17836.98,NA,NA,NA,$15510.42,NA,NA,$15045.11,NA,NA,NA,$15510.42,NA,NA,$15510.42,NA,$15510.42,NA,$17836.98,$15510.42,$15510.42,NA,$14734.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$13222.48,$16006.16,NA,NA,NA,$13918.40,NA,NA,$13500.85,NA,NA,NA,$13918.40,NA,NA,$13918.40,NA,$13918.40,NA,$16006.16,$13918.40,$13918.40,NA,$13222.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$15087.57,$18263.90,NA,NA,NA,$15881.65,NA,NA,$15405.20,NA,NA,NA,$15881.65,NA,NA,$15881.65,NA,$15881.65,NA,$18263.90,$15881.65,$15881.65,NA,$15087.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$21716.44,$26288.33,NA,NA,NA,$22859.41,NA,NA,$22173.63,NA,NA,NA,$22859.41,NA,NA,$22859.41,NA,$22859.41,NA,$26288.33,$22859.41,$22859.41,NA,$21716.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$18201.93,$22033.92,NA,NA,NA,$19159.93,NA,NA,$18585.13,NA,NA,NA,$19159.93,NA,NA,$19159.93,NA,$19159.93,NA,$22033.92,$19159.93,$19159.93,NA,$18201.93,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$16334.13,$19772.89,NA,NA,NA,$17193.82,NA,NA,$16678.01,NA,NA,NA,$17193.82,NA,NA,$17193.82,NA,$17193.82,NA,$19772.89,$17193.82,$17193.82,NA,$16334.13,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$17629.52,$21341.00,NA,NA,NA,$18557.39,NA,NA,$18000.67,NA,NA,NA,$18557.39,NA,NA,$18557.39,NA,$18557.39,NA,$21341.00,$18557.39,$18557.39,NA,$17629.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$25376.09,$30718.43,NA,NA,NA,$26711.68,NA,NA,$25910.33,NA,NA,NA,$26711.68,NA,NA,$26711.68,NA,$26711.68,NA,$30718.43,$26711.68,$26711.68,NA,$25376.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$21270.18,$25748.11,NA,NA,NA,$22389.66,NA,NA,$21717.97,NA,NA,NA,$22389.66,NA,NA,$22389.66,NA,$22389.66,NA,$25748.11,$22389.66,$22389.66,NA,$21270.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$19087.68,$23106.14,NA,NA,NA,$20092.30,NA,NA,$19489.53,NA,NA,NA,$20092.30,NA,NA,$20092.30,NA,$20092.30,NA,$23106.14,$20092.30,$20092.30,NA,$19087.68,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$20777.79,$25152.07,NA,NA,NA,$21871.36,NA,NA,$21215.22,NA,NA,NA,$21871.36,NA,NA,$21871.36,NA,$21871.36,NA,$25152.07,$21871.36,$21871.36,NA,$20777.79,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$29907.92,$36204.33,NA,NA,NA,$31482.03,NA,NA,$30537.56,NA,NA,NA,$31482.03,NA,NA,$31482.03,NA,$31482.03,NA,$36204.33,$31482.03,$31482.03,NA,$29907.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$25068.18,$30345.69,NA,NA,NA,$26387.56,NA,NA,$25595.93,NA,NA,NA,$26387.56,NA,NA,$26387.56,NA,$26387.56,NA,$30345.69,$26387.56,$26387.56,NA,$25068.18,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$22496.39,$27232.47,NA,NA,NA,$23680.41,NA,NA,$22970.00,NA,NA,NA,$23680.41,NA,NA,$23680.41,NA,$23680.41,NA,$27232.47,$23680.41,$23680.41,NA,$22496.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$13306.58,$16107.96,NA,NA,NA,$14006.92,NA,NA,$13586.72,NA,NA,NA,$14006.92,NA,NA,$14006.92,NA,$14006.92,NA,$16107.96,$14006.92,$14006.92,NA,$13306.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$17632.23,$21344.28,NA,NA,NA,$18560.25,NA,NA,$18003.44,NA,NA,NA,$18560.25,NA,NA,$18560.25,NA,$18560.25,NA,$21344.28,$18560.25,$18560.25,NA,$17632.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$15711.53,$19019.22,NA,NA,NA,$16538.45,NA,NA,$16042.30,NA,NA,NA,$16538.45,NA,NA,$16538.45,NA,$16538.45,NA,$19019.22,$16538.45,$16538.45,NA,$15711.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$13723.00,$16612.05,NA,NA,NA,$14445.27,NA,NA,$14011.91,NA,NA,NA,$14445.27,NA,NA,$14445.27,NA,$14445.27,NA,$16612.05,$14445.27,$14445.27,NA,$13723.00,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$17778.73,$21521.62,NA,NA,NA,$18714.45,NA,NA,$18153.02,NA,NA,NA,$18714.45,NA,NA,$18714.45,NA,$18714.45,NA,$21521.62,$18714.45,$18714.45,NA,$17778.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$23557.12,$28516.51,NA,NA,NA,$24796.97,NA,NA,$24053.06,NA,NA,NA,$24796.97,NA,NA,$24796.97,NA,$24796.97,NA,$28516.51,$24796.97,$24796.97,NA,$23557.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$20992.11,$25411.50,NA,NA,NA,$22096.96,NA,NA,$21434.05,NA,NA,NA,$22096.96,NA,NA,$22096.96,NA,$22096.96,NA,$25411.50,$22096.96,$22096.96,NA,$20992.11,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$18334.86,$22194.83,NA,NA,NA,$19299.86,NA,NA,$18720.86,NA,NA,NA,$19299.86,NA,NA,$19299.86,NA,$19299.86,NA,$22194.83,$19299.86,$19299.86,NA,$18334.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$19977.50,$24183.29,NA,NA,NA,$21028.95,NA,NA,$20398.08,NA,NA,NA,$21028.95,NA,NA,$21028.95,NA,$21028.95,NA,$24183.29,$21028.95,$21028.95,NA,$19977.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$26470.73,$32043.52,NA,NA,NA,$27863.93,NA,NA,$27028.01,NA,NA,NA,$27863.93,NA,NA,$27863.93,NA,$27863.93,NA,$32043.52,$27863.93,$27863.93,NA,$26470.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$23588.32,$28554.28,NA,NA,NA,$24829.81,NA,NA,$24084.91,NA,NA,NA,$24829.81,NA,NA,$24829.81,NA,$24829.81,NA,$28554.28,$24829.81,$24829.81,NA,$23588.32,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$20601.46,$24938.61,NA,NA,NA,$21685.75,NA,NA,$21035.17,NA,NA,NA,$21685.75,NA,NA,$21685.75,NA,$21685.75,NA,$24938.61,$21685.75,$21685.75,NA,$20601.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$11825.36,$14314.90,NA,NA,NA,$12447.74,NA,NA,$12074.31,NA,NA,NA,$12447.74,NA,NA,$12447.74,NA,$12447.74,NA,$14314.90,$12447.74,$12447.74,NA,$11825.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$19330.48,$23400.06,NA,NA,NA,$20347.88,NA,NA,$19737.44,NA,NA,NA,$20347.88,NA,NA,$20347.88,NA,$20347.88,NA,$23400.06,$20347.88,$20347.88,NA,$19330.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$12879.30,$15590.73,NA,NA,NA,$13557.16,NA,NA,$13150.45,NA,NA,NA,$13557.16,NA,NA,$13557.16,NA,$13557.16,NA,$15590.73,$13557.16,$13557.16,NA,$12879.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$12879.30,$15590.73,NA,NA,NA,$13557.16,NA,NA,$13150.45,NA,NA,NA,$13557.16,NA,NA,$13557.16,NA,$13557.16,NA,$15590.73,$13557.16,$13557.16,NA,$12879.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$14858.33,$17986.40,NA,NA,NA,$15640.35,NA,NA,$15171.14,NA,NA,NA,$15640.35,NA,NA,$15640.35,NA,$15640.35,NA,$17986.40,$15640.35,$15640.35,NA,$14858.33,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$24289.59,$29403.19,NA,NA,NA,$25567.99,NA,NA,$24800.95,NA,NA,NA,$25567.99,NA,NA,$25567.99,NA,$25567.99,NA,$29403.19,$25567.99,$25567.99,NA,$24289.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$16182.21,$19588.99,NA,NA,NA,$17033.90,NA,NA,$16522.89,NA,NA,NA,$17033.90,NA,NA,$17033.90,NA,$17033.90,NA,$19588.99,$17033.90,$17033.90,NA,$16182.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$16182.21,$19588.99,NA,NA,NA,$17033.90,NA,NA,$16522.89,NA,NA,NA,$17033.90,NA,NA,$17033.90,NA,$17033.90,NA,$19588.99,$17033.90,$17033.90,NA,$16182.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$17272.78,$20909.15,NA,NA,NA,$18181.87,NA,NA,$17636.42,NA,NA,NA,$18181.87,NA,NA,$18181.87,NA,$18181.87,NA,$20909.15,$18181.87,$18181.87,NA,$17272.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$28234.09,$34178.11,NA,NA,NA,$29720.09,NA,NA,$28828.49,NA,NA,NA,$29720.09,NA,NA,$29720.09,NA,$29720.09,NA,$34178.11,$29720.09,$29720.09,NA,$28234.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$18809.61,$22769.53,NA,NA,NA,$19799.59,NA,NA,$19205.61,NA,NA,NA,$19799.59,NA,NA,$19799.59,NA,$19799.59,NA,$22769.53,$19799.59,$19799.59,NA,$18809.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$18809.61,$22769.53,NA,NA,NA,$19799.59,NA,NA,$19205.61,NA,NA,NA,$19799.59,NA,NA,$19799.59,NA,$19799.59,NA,$22769.53,$19799.59,$19799.59,NA,$18809.61,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$18153.10,$21974.81,NA,NA,NA,$19108.53,NA,NA,$18535.27,NA,NA,NA,$19108.53,NA,NA,$19108.53,NA,$19108.53,NA,$21974.81,$19108.53,$19108.53,NA,$18153.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$29674.62,$35921.91,NA,NA,NA,$31236.44,NA,NA,$30299.35,NA,NA,NA,$31236.44,NA,NA,$31236.44,NA,$31236.44,NA,$35921.91,$31236.44,$31236.44,NA,$29674.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$19769.97,$23932.06,NA,NA,NA,$20810.49,NA,NA,$20186.18,NA,NA,NA,$20810.49,NA,NA,$20810.49,NA,$20810.49,NA,$23932.06,$20810.49,$20810.49,NA,$19769.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$19769.97,$23932.06,NA,NA,NA,$20810.49,NA,NA,$20186.18,NA,NA,NA,$20810.49,NA,NA,$20810.49,NA,$20810.49,NA,$23932.06,$20810.49,$20810.49,NA,$19769.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$10643.91,$12884.73,NA,NA,NA,$11204.11,NA,NA,$10867.99,NA,NA,NA,$11204.11,NA,NA,$11204.11,NA,$11204.11,NA,$12884.73,$11204.11,$11204.11,NA,$10643.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$15296.46,$18516.77,NA,NA,NA,$16101.54,NA,NA,$15618.49,NA,NA,NA,$16101.54,NA,NA,$16101.54,NA,$16101.54,NA,$18516.77,$16101.54,$16101.54,NA,$15296.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$12629.72,$15288.61,NA,NA,NA,$13294.44,NA,NA,$12895.61,NA,NA,NA,$13294.44,NA,NA,$13294.44,NA,$13294.44,NA,$15288.61,$13294.44,$13294.44,NA,$12629.72,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$11989.48,$14513.59,NA,NA,NA,$12620.51,NA,NA,$12241.89,NA,NA,NA,$12620.51,NA,NA,$12620.51,NA,$12620.51,NA,$14513.59,$12620.51,$12620.51,NA,$11989.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$14563.99,$17630.09,NA,NA,NA,$15330.51,NA,NA,$14870.60,NA,NA,NA,$15330.51,NA,NA,$15330.51,NA,$15330.51,NA,$17630.09,$15330.51,$15330.51,NA,$14563.99,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$20928.36,$25334.33,NA,NA,NA,$22029.85,NA,NA,$21368.95,NA,NA,NA,$22029.85,NA,NA,$22029.85,NA,$22029.85,NA,$25334.33,$22029.85,$22029.85,NA,$20928.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$17280.92,$20919.01,NA,NA,NA,$18190.44,NA,NA,$17644.73,NA,NA,NA,$18190.44,NA,NA,$18190.44,NA,$18190.44,NA,$20919.01,$18190.44,$18190.44,NA,$17280.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$16404.66,$19858.28,NA,NA,NA,$17268.07,NA,NA,$16750.03,NA,NA,NA,$17268.07,NA,NA,$17268.07,NA,$17268.07,NA,$19858.28,$17268.07,$17268.07,NA,$16404.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$16788.53,$20322.96,NA,NA,NA,$17672.14,NA,NA,$17141.98,NA,NA,NA,$17672.14,NA,NA,$17672.14,NA,$17672.14,NA,$20322.96,$17672.14,$17672.14,NA,$16788.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$24125.46,$29204.51,NA,NA,NA,$25395.22,NA,NA,$24633.37,NA,NA,NA,$25395.22,NA,NA,$25395.22,NA,$25395.22,NA,$29204.51,$25395.22,$25395.22,NA,$24125.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$19920.53,$24114.33,NA,NA,NA,$20968.98,NA,NA,$20339.91,NA,NA,NA,$20968.98,NA,NA,$20968.98,NA,$20968.98,NA,$24114.33,$20968.98,$20968.98,NA,$19920.53,NA,NA,NA,NA
