Encompass Health Rehabilitation Hospital of Ocala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL NETWORK BLUE (BCNB) negotiated charge,BCFL PREFERRED PAT CARE (BCFP) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$22324.87,$27096.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47062.15,NA,NA,NA,$47062.15,NA,NA,$47062.15,NA,$47062.15,NA,NA,$54121.47,$47062.15,NA,$47062.15,NA,$44709.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$21155.84,$25677.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$44597.76,NA,NA,NA,$44597.76,NA,NA,$44597.76,NA,$44597.76,NA,NA,$51287.43,$44597.76,NA,$44597.76,NA,$42367.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$22218.86,$26967.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46838.67,NA,NA,NA,$46838.67,NA,NA,$46838.67,NA,$46838.67,NA,NA,$53864.47,$46838.67,NA,$46838.67,NA,$44496.74,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$31454.93,$38178.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$66308.86,NA,NA,NA,$66308.86,NA,NA,$66308.86,NA,$66308.86,NA,NA,$76255.19,$66308.86,NA,$66308.86,NA,$62993.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$25509.57,$30962.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53775.69,NA,NA,NA,$53775.69,NA,NA,$53775.69,NA,$53775.69,NA,NA,$61842.04,$53775.69,NA,$53775.69,NA,$51086.91,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$24173.53,$29340.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50959.24,NA,NA,NA,$50959.24,NA,NA,$50959.24,NA,$50959.24,NA,NA,$58603.14,$50959.24,NA,$50959.24,NA,$48411.28,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$10984.54,$13332.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23156.06,NA,NA,NA,$23156.06,NA,NA,$23156.06,NA,$23156.06,NA,NA,$26629.47,$23156.06,NA,$23156.06,NA,$21998.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$16363.53,$19861.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34495.30,NA,NA,NA,$34495.30,NA,NA,$34495.30,NA,$34495.30,NA,NA,$39669.60,$34495.30,NA,$34495.30,NA,$32770.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$13168.67,$15983.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27760.33,NA,NA,NA,$27760.33,NA,NA,$27760.33,NA,$27760.33,NA,NA,$31924.38,$27760.33,NA,$27760.33,NA,$26372.32,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$11793.42,$14314.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24861.24,NA,NA,NA,$24861.24,NA,NA,$24861.24,NA,$24861.24,NA,NA,$28590.41,$24861.24,NA,$24861.24,NA,$23618.17,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$12914.53,$15674.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27224.59,NA,NA,NA,$27224.59,NA,NA,$27224.59,NA,$27224.59,NA,NA,$31308.29,$27224.59,NA,$27224.59,NA,$25863.37,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$19238.91,$23351.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40556.78,NA,NA,NA,$40556.78,NA,NA,$40556.78,NA,$40556.78,NA,NA,$46640.29,$40556.78,NA,$40556.78,NA,$38528.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$15482.04,$18791.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32637.06,NA,NA,NA,$32637.06,NA,NA,$32637.06,NA,$32637.06,NA,NA,$37532.63,$32637.06,NA,$32637.06,NA,$31005.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$13865.73,$16829.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29229.78,NA,NA,NA,$29229.78,NA,NA,$29229.78,NA,$29229.78,NA,NA,$33614.25,$29229.78,NA,$29229.78,NA,$27768.29,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$14426.28,$17509.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30411.46,NA,NA,NA,$30411.46,NA,NA,$30411.46,NA,$30411.46,NA,NA,$34973.18,$30411.46,NA,$30411.46,NA,$28890.89,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$21491.30,$26084.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45304.94,NA,NA,NA,$45304.94,NA,NA,$45304.94,NA,$45304.94,NA,NA,$52100.67,$45304.94,NA,$45304.94,NA,$43039.69,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$17294.40,$20990.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36457.63,NA,NA,NA,$36457.63,NA,NA,$36457.63,NA,$36457.63,NA,NA,$41926.28,$36457.63,NA,$36457.63,NA,$34634.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$15489.30,$18800.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32652.37,NA,NA,NA,$32652.37,NA,NA,$32652.37,NA,$32652.37,NA,NA,$37550.23,$32652.37,NA,$32652.37,NA,$31019.75,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$16626.38,$20180.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35049.41,NA,NA,NA,$35049.41,NA,NA,$35049.41,NA,$35049.41,NA,NA,$40306.82,$35049.41,NA,$35049.41,NA,$33296.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$24768.94,$30063.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52214.40,NA,NA,NA,$52214.40,NA,NA,$52214.40,NA,$52214.40,NA,NA,$60046.56,$52214.40,NA,$52214.40,NA,$49603.68,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$19933.07,$24193.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42020.10,NA,NA,NA,$42020.10,NA,NA,$42020.10,NA,$42020.10,NA,NA,$48323.12,$42020.10,NA,$42020.10,NA,$39919.10,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$17852.05,$21667.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37633.18,NA,NA,NA,$37633.18,NA,NA,$37633.18,NA,$37633.18,NA,NA,$43278.17,$37633.18,NA,$37633.18,NA,$35751.53,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$19373.97,$23515.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40841.48,NA,NA,NA,$40841.48,NA,NA,$40841.48,NA,$40841.48,NA,NA,$46967.71,$40841.48,NA,$40841.48,NA,$38799.41,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$28861.28,$35030.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60841.29,NA,NA,NA,$60841.29,NA,NA,$60841.29,NA,$60841.29,NA,NA,$69967.48,$60841.29,NA,$60841.29,NA,$57799.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$23226.69,$28191.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48963.25,NA,NA,NA,$48963.25,NA,NA,$48963.25,NA,$48963.25,NA,NA,$56307.73,$48963.25,NA,$48963.25,NA,$46515.08,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$20801.50,$25247.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43850.79,NA,NA,NA,$43850.79,NA,NA,$43850.79,NA,$43850.79,NA,NA,$50428.41,$43850.79,NA,$43850.79,NA,$41658.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$12014.16,$14582.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25326.56,NA,NA,NA,$25326.56,NA,NA,$25326.56,NA,$25326.56,NA,NA,$29125.54,$25326.56,NA,$25326.56,NA,$24060.23,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$17587.75,$21346.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37076.02,NA,NA,NA,$37076.02,NA,NA,$37076.02,NA,$37076.02,NA,NA,$42637.42,$37076.02,NA,$37076.02,NA,$35222.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$14015.31,$17010.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29545.10,NA,NA,NA,$29545.10,NA,NA,$29545.10,NA,$29545.10,NA,NA,$33976.87,$29545.10,NA,$29545.10,NA,$28067.85,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$13263.06,$16097.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27959.31,NA,NA,NA,$27959.31,NA,NA,$27959.31,NA,$27959.31,NA,NA,$32153.21,$27959.31,NA,$27959.31,NA,$26561.35,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$14959.24,$18156.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31534.97,NA,NA,NA,$31534.97,NA,NA,$31534.97,NA,$31534.97,NA,NA,$36265.23,$31534.97,NA,$31534.97,NA,$29958.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$21896.46,$26576.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46159.05,NA,NA,NA,$46159.05,NA,NA,$46159.05,NA,$46159.05,NA,NA,$53082.91,$46159.05,NA,$46159.05,NA,$43851.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$17448.34,$21177.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36782.13,NA,NA,NA,$36782.13,NA,NA,$36782.13,NA,$36782.13,NA,NA,$42299.45,$36782.13,NA,$36782.13,NA,$34943.03,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$16513.11,$20042.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34810.62,NA,NA,NA,$34810.62,NA,NA,$34810.62,NA,$34810.62,NA,NA,$40032.22,$34810.62,NA,$34810.62,NA,$33070.09,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$17603.72,$21366.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37109.69,NA,NA,NA,$37109.69,NA,NA,$37109.69,NA,$37109.69,NA,NA,$42676.15,$37109.69,NA,$37109.69,NA,$35254.21,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$25768.06,$31275.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54320.62,NA,NA,NA,$54320.62,NA,NA,$54320.62,NA,$54320.62,NA,NA,$62468.71,$54320.62,NA,$54320.62,NA,$51604.58,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$20532.84,$24921.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43284.44,NA,NA,NA,$43284.44,NA,NA,$43284.44,NA,$43284.44,NA,NA,$49777.11,$43284.44,NA,$43284.44,NA,$41120.22,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$19433.51,$23587.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40967.00,NA,NA,NA,$40967.00,NA,NA,$40967.00,NA,$40967.00,NA,NA,$47112.05,$40967.00,NA,$40967.00,NA,$38918.65,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$20211.90,$24532.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$42607.88,NA,NA,NA,$42607.88,NA,NA,$42607.88,NA,$42607.88,NA,NA,$48999.06,$42607.88,NA,$42607.88,NA,$40477.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$29585.93,$35909.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$62368.90,NA,NA,NA,$62368.90,NA,NA,$62368.90,NA,$62368.90,NA,NA,$71724.24,$62368.90,NA,$62368.90,NA,$59250.46,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$23576.67,$28616.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49701.03,NA,NA,NA,$49701.03,NA,NA,$49701.03,NA,$49701.03,NA,NA,$57156.18,$49701.03,NA,$49701.03,NA,$47215.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$22313.25,$27082.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47037.66,NA,NA,NA,$47037.66,NA,NA,$47037.66,NA,$47037.66,NA,NA,$54093.30,$47037.66,NA,$47037.66,NA,$44685.78,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$13075.72,$15870.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27564.40,NA,NA,NA,$27564.40,NA,NA,$27564.40,NA,$27564.40,NA,NA,$31699.07,$27564.40,NA,$27564.40,NA,$26186.18,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$18820.68,$22843.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39675.11,NA,NA,NA,$39675.11,NA,NA,$39675.11,NA,$39675.11,NA,NA,$45626.38,$39675.11,NA,$39675.11,NA,$37691.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$15775.39,$19147.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33255.46,NA,NA,NA,$33255.46,NA,NA,$33255.46,NA,$33255.46,NA,NA,$38243.77,$33255.46,NA,$33255.46,NA,$31592.69,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$14156.17,$17181.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29842.05,NA,NA,NA,$29842.05,NA,NA,$29842.05,NA,$29842.05,NA,NA,$34318.36,$29842.05,NA,$29842.05,NA,$28349.95,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$16152.96,$19605.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34051.41,NA,NA,NA,$34051.41,NA,NA,$34051.41,NA,$34051.41,NA,NA,$39159.12,$34051.41,NA,$34051.41,NA,$32348.83,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$23249.93,$28219.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$49012.23,NA,NA,NA,$49012.23,NA,NA,$49012.23,NA,$49012.23,NA,NA,$56364.07,$49012.23,NA,$49012.23,NA,$46561.62,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$19487.24,$23652.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41080.27,NA,NA,NA,$41080.27,NA,NA,$41080.27,NA,$41080.27,NA,NA,$47242.31,$41080.27,NA,$41080.27,NA,$39026.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$17487.55,$21225.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$36864.79,NA,NA,NA,$36864.79,NA,NA,$36864.79,NA,$36864.79,NA,NA,$42394.50,$36864.79,NA,$36864.79,NA,$35021.55,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$18874.41,$22908.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39788.38,NA,NA,NA,$39788.38,NA,NA,$39788.38,NA,$39788.38,NA,NA,$45756.64,$39788.38,NA,$39788.38,NA,$37798.96,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$27168.00,$32974.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$57271.75,NA,NA,NA,$57271.75,NA,NA,$57271.75,NA,$57271.75,NA,NA,$65862.51,$57271.75,NA,$57271.75,NA,$54408.17,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$22772.15,$27639.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48005.04,NA,NA,NA,$48005.04,NA,NA,$48005.04,NA,$48005.04,NA,NA,$55205.80,$48005.04,NA,$48005.04,NA,$45604.79,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$20435.54,$24803.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$43079.33,NA,NA,NA,$43079.33,NA,NA,$43079.33,NA,$43079.33,NA,NA,$49541.23,$43079.33,NA,$43079.33,NA,$40925.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$22244.99,$26999.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$46893.77,NA,NA,NA,$46893.77,NA,NA,$46893.77,NA,$46893.77,NA,NA,$53927.84,$46893.77,NA,$46893.77,NA,$44549.08,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$32019.84,$38863.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$67499.72,NA,NA,NA,$67499.72,NA,NA,$67499.72,NA,$67499.72,NA,NA,$77624.69,$67499.72,NA,$67499.72,NA,$64124.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$26838.34,$32574.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$56576.83,NA,NA,NA,$56576.83,NA,NA,$56576.83,NA,$56576.83,NA,NA,$65063.35,$56576.83,NA,$56576.83,NA,$53747.98,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$24084.95,$29232.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50772.51,NA,NA,NA,$50772.51,NA,NA,$50772.51,NA,$50772.51,NA,NA,$58388.38,$50772.51,NA,$50772.51,NA,$48233.88,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$14246.21,$17291.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30031.86,NA,NA,NA,$30031.86,NA,NA,$30031.86,NA,$30031.86,NA,NA,$34536.63,$30031.86,NA,$30031.86,NA,$28530.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$18877.31,$22912.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39794.51,NA,NA,NA,$39794.51,NA,NA,$39794.51,NA,$39794.51,NA,NA,$45763.67,$39794.51,NA,$39794.51,NA,$37804.77,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$16820.98,$20416.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35459.63,NA,NA,NA,$35459.63,NA,NA,$35459.63,NA,$35459.63,NA,NA,$40778.57,$35459.63,NA,$35459.63,NA,$33686.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$14692.04,$17832.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30971.69,NA,NA,NA,$30971.69,NA,NA,$30971.69,NA,$30971.69,NA,NA,$35617.44,$30971.69,NA,$30971.69,NA,$29423.11,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$19034.15,$23102.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40125.13,NA,NA,NA,$40125.13,NA,NA,$40125.13,NA,$40125.13,NA,NA,$46143.89,$40125.13,NA,$40125.13,NA,$38118.87,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$25220.58,$30611.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53166.49,NA,NA,NA,$53166.49,NA,NA,$53166.49,NA,$53166.49,NA,NA,$61141.45,$53166.49,NA,$53166.49,NA,$50508.16,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$22474.44,$27278.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47377.47,NA,NA,NA,$47377.47,NA,NA,$47377.47,NA,$47377.47,NA,NA,$54484.09,$47377.47,NA,$47377.47,NA,$45008.59,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$19629.56,$23825.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$41380.28,NA,NA,NA,$41380.28,NA,NA,$41380.28,NA,$41380.28,NA,NA,$47587.33,$41380.28,NA,$41380.28,NA,$39311.27,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$21388.19,$25959.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$45087.57,NA,NA,NA,$45087.57,NA,NA,$45087.57,NA,$45087.57,NA,NA,$51850.72,$45087.57,NA,$45087.57,NA,$42833.20,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$28339.93,$34397.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$59742.27,NA,NA,NA,$59742.27,NA,NA,$59742.27,NA,$59742.27,NA,NA,$68703.60,$59742.27,NA,$59742.27,NA,$56755.15,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$25253.98,$30651.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$53236.90,NA,NA,NA,$53236.90,NA,NA,$53236.90,NA,$53236.90,NA,NA,$61222.43,$53236.90,NA,$53236.90,NA,$50575.05,NA,NA
