Encompass Health Rehabilitation Hospital of Western Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALLWAYS HEALTH PART EXCH (ALLZ) negotiated charge,ALLWAYS HEALTH PART MCD (ALLD) negotiated charge,ALLWAYS HEALTH PARTNERS (ALL) negotiated charge,BC BS OF MA (BCMA) negotiated charge,BCBS MA EXCHANGE (BMAZ) negotiated charge,BCBS OF MASS MEDICARE (BMAM) negotiated charge,BCMA BLUE BENEFIT ADMIN (BCMB) negotiated charge,BMC HEALTHNET (BMCD) negotiated charge,BOSTON MEDICAL CTR DUAL (BMCB) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,COMMONWEALTH CARE DUAL (COM) negotiated charge,CONNECTICARE (CTC) negotiated charge,CORVEL WC (CVLW) negotiated charge,COVENTRY HEALTHCARE WC (CHCW) negotiated charge,FALLON COMMUNITY HEALTH (FAL) negotiated charge,FALLON EXCHANGE (FALZ) negotiated charge,FALLON MEDICAID (FALD) negotiated charge,FALLON SENIOR (FALM) negotiated charge,HARVARD PILGRIM EXCHANGE (HPHZ) negotiated charge,HARVARD PILGRIM HEALTHCAR (HPH) negotiated charge,HEALTH NEW ENGLAND (HNE) negotiated charge,HEALTH NEW ENGLAND EXCHGE (HNEZ) negotiated charge,HEALTH NEW ENGLAND MEDICA (HNEM) negotiated charge,HEALTH NEWENGLAND MEDICAI (HNED) negotiated charge,NETWORK HEALTH (NTH) negotiated charge,NETWORK HEALTH BELOW 65 D (NTHB) negotiated charge,NETWORK HEALTH EXCHANGE (NTHZ) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,TUFTS HMO/PPO (TFTH) negotiated charge,TUFTS POS (TFTP) negotiated charge,TUFTS SECURE HORIZONS (TFTS) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNICARE CIP (UNCI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,WELLSENSE MEDICARE (WLSM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-C,NA,NA,$47309.07,$60450.47,NA,$52565.63,NA,NA,NA,NA,NA,NA,NA,NA,$52565.63,NA,NA,$52565.63,NA,$47309.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$52565.63,NA,NA,$52565.63,NA,NA,NA,$60450.47,$52565.63,$52565.63,NA,NA,NA,$52565.63,NA,NA,$52565.63,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0406-D,NA,NA,$42615.67,$54453.36,NA,$47350.74,NA,NA,NA,NA,NA,NA,NA,NA,$47350.74,NA,NA,$47350.74,NA,$42615.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$47350.74,NA,NA,$47350.74,NA,NA,NA,$54453.36,$47350.74,$47350.74,NA,NA,NA,$47350.74,NA,NA,$47350.74,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-A,NA,NA,$45207.27,$57764.84,NA,$50230.30,NA,NA,NA,NA,NA,NA,NA,NA,$50230.30,NA,NA,$50230.30,NA,$45207.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50230.30,NA,NA,$50230.30,NA,NA,NA,$57764.84,$50230.30,$50230.30,NA,NA,NA,$50230.30,NA,NA,$50230.30,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-B,NA,NA,$63658.45,$81341.36,NA,$70731.62,NA,NA,NA,NA,NA,NA,NA,NA,$70731.62,NA,NA,$70731.62,NA,$63658.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$70731.62,NA,NA,$70731.62,NA,NA,NA,$81341.36,$70731.62,$70731.62,NA,NA,NA,$70731.62,NA,NA,$70731.62,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-C,NA,NA,$54017.46,$69022.31,NA,$60019.40,NA,NA,NA,NA,NA,NA,NA,NA,$60019.40,NA,NA,$60019.40,NA,$54017.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$60019.40,NA,NA,$60019.40,NA,NA,NA,$69022.31,$60019.40,$60019.40,NA,NA,NA,$60019.40,NA,NA,$60019.40,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, traumatic",CMG 0407-D,NA,NA,$48660.67,$62177.52,NA,$54067.41,NA,NA,NA,NA,NA,NA,NA,NA,$54067.41,NA,NA,$54067.41,NA,$48660.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$54067.41,NA,NA,$54067.41,NA,NA,NA,$62177.52,$54067.41,$54067.41,NA,NA,NA,$54067.41,NA,NA,$54067.41,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-A,NA,NA,$13756.24,$17577.42,NA,$15284.71,NA,NA,NA,NA,NA,NA,NA,NA,$15284.71,NA,NA,$15284.71,NA,$13756.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15284.71,NA,NA,$15284.71,NA,NA,NA,$17577.42,$15284.71,$15284.71,NA,NA,NA,$15284.71,NA,NA,$15284.71,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-B,NA,NA,$20300.34,$25939.32,NA,$22555.93,NA,NA,NA,NA,NA,NA,NA,NA,$22555.93,NA,NA,$22555.93,NA,$20300.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22555.93,NA,NA,$22555.93,NA,NA,NA,$25939.32,$22555.93,$22555.93,NA,NA,NA,$22555.93,NA,NA,$22555.93,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-C,NA,NA,$15775.89,$20158.08,NA,$17528.77,NA,NA,NA,NA,NA,NA,NA,NA,$17528.77,NA,NA,$17528.77,NA,$15775.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17528.77,NA,NA,$17528.77,NA,NA,NA,$20158.08,$17528.77,$17528.77,NA,NA,NA,$17528.77,NA,NA,$17528.77,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0501-D,NA,NA,$14893.94,$19031.14,NA,$16548.82,NA,NA,NA,NA,NA,NA,NA,NA,$16548.82,NA,NA,$16548.82,NA,$14893.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16548.82,NA,NA,$16548.82,NA,NA,NA,$19031.14,$16548.82,$16548.82,NA,NA,NA,$16548.82,NA,NA,$16548.82,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-A,NA,NA,$17093.39,$21841.55,NA,$18992.65,NA,NA,NA,NA,NA,NA,NA,NA,$18992.65,NA,NA,$18992.65,NA,$17093.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18992.65,NA,NA,$18992.65,NA,NA,NA,$21841.55,$18992.65,$18992.65,NA,NA,NA,$18992.65,NA,NA,$18992.65,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$25223.13,$32229.56,NA,$28025.70,NA,NA,NA,NA,NA,NA,NA,NA,$28025.70,NA,NA,$28025.70,NA,$25223.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28025.70,NA,NA,$28025.70,NA,NA,NA,$32229.56,$28025.70,$28025.70,NA,NA,NA,$28025.70,NA,NA,$28025.70,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$19601.29,$25046.09,NA,$21779.21,NA,NA,NA,NA,NA,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,$19601.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,NA,NA,$25046.09,$21779.21,$21779.21,NA,NA,NA,$21779.21,NA,NA,$21779.21,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$18505.44,$23645.84,NA,$20561.60,NA,NA,NA,NA,NA,NA,NA,NA,$20561.60,NA,NA,$20561.60,NA,$18505.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20561.60,NA,NA,$20561.60,NA,NA,NA,$23645.84,$20561.60,$20561.60,NA,NA,NA,$20561.60,NA,NA,$20561.60,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$19850.84,$25364.96,NA,$22056.48,NA,NA,NA,NA,NA,NA,NA,NA,$22056.48,NA,NA,$22056.48,NA,$19850.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22056.48,NA,NA,$22056.48,NA,NA,NA,$25364.96,$22056.48,$22056.48,NA,NA,NA,$22056.48,NA,NA,$22056.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$29293.43,$37430.49,NA,$32548.25,NA,NA,NA,NA,NA,NA,NA,NA,$32548.25,NA,NA,$32548.25,NA,$29293.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$32548.25,NA,NA,$32548.25,NA,NA,NA,$37430.49,$32548.25,$32548.25,NA,NA,NA,$32548.25,NA,NA,$32548.25,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$22764.83,$29088.40,NA,$25294.26,NA,NA,NA,NA,NA,NA,NA,NA,$25294.26,NA,NA,$25294.26,NA,$22764.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25294.26,NA,NA,$25294.26,NA,NA,NA,$29088.40,$25294.26,$25294.26,NA,NA,NA,$25294.26,NA,NA,$25294.26,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$21492.28,$27462.36,NA,$23880.32,NA,NA,NA,NA,NA,NA,NA,NA,$23880.32,NA,NA,$23880.32,NA,$21492.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23880.32,NA,NA,$23880.32,NA,NA,NA,$27462.36,$23880.32,$23880.32,NA,NA,NA,$23880.32,NA,NA,$23880.32,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$23640.58,$30207.41,NA,$26267.31,NA,NA,NA,NA,NA,NA,NA,NA,$26267.31,NA,NA,$26267.31,NA,$23640.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26267.31,NA,NA,$26267.31,NA,NA,NA,$30207.41,$26267.31,$26267.31,NA,NA,NA,$26267.31,NA,NA,$26267.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$34884.28,$44574.35,NA,$38760.31,NA,NA,NA,NA,NA,NA,NA,NA,$38760.31,NA,NA,$38760.31,NA,$34884.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38760.31,NA,NA,$38760.31,NA,NA,NA,$44574.35,$38760.31,$38760.31,NA,NA,NA,$38760.31,NA,NA,$38760.31,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$27111.03,$34641.87,NA,$30123.37,NA,NA,NA,NA,NA,NA,NA,NA,$30123.37,NA,NA,$30123.37,NA,$27111.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30123.37,NA,NA,$30123.37,NA,NA,NA,$34641.87,$30123.37,$30123.37,NA,NA,NA,$30123.37,NA,NA,$30123.37,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$25595.13,$32704.89,NA,$28439.04,NA,NA,NA,NA,NA,NA,NA,NA,$28439.04,NA,NA,$28439.04,NA,$25595.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28439.04,NA,NA,$28439.04,NA,NA,NA,$32704.89,$28439.04,$28439.04,NA,NA,NA,$28439.04,NA,NA,$28439.04,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$30843.43,$39411.05,NA,$34270.48,NA,NA,NA,NA,NA,NA,NA,NA,$34270.48,NA,NA,$34270.48,NA,$30843.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34270.48,NA,NA,$34270.48,NA,NA,NA,$39411.05,$34270.48,$34270.48,NA,NA,NA,$34270.48,NA,NA,$34270.48,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$45511.07,$58153.03,NA,$50567.85,NA,NA,NA,NA,NA,NA,NA,NA,$50567.85,NA,NA,$50567.85,NA,$45511.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$50567.85,NA,NA,$50567.85,NA,NA,NA,$58153.03,$50567.85,$50567.85,NA,NA,NA,$50567.85,NA,NA,$50567.85,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$35369.42,$45194.27,NA,$39299.36,NA,NA,NA,NA,NA,NA,NA,NA,$39299.36,NA,NA,$39299.36,NA,$35369.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$39299.36,NA,NA,$39299.36,NA,NA,NA,$45194.27,$39299.36,$39299.36,NA,NA,NA,$39299.36,NA,NA,$39299.36,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$33391.63,$42667.08,NA,$37101.81,NA,NA,NA,NA,NA,NA,NA,NA,$37101.81,NA,NA,$37101.81,NA,$33391.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37101.81,NA,NA,$37101.81,NA,NA,NA,$42667.08,$37101.81,$37101.81,NA,NA,NA,$37101.81,NA,NA,$37101.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$13593.49,$17369.46,NA,$15103.88,NA,NA,NA,NA,NA,NA,NA,NA,$15103.88,NA,NA,$15103.88,NA,$13593.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15103.88,NA,NA,$15103.88,NA,NA,NA,$17369.46,$15103.88,$15103.88,NA,NA,NA,$15103.88,NA,NA,$15103.88,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$21193.13,$27080.12,NA,$23547.93,NA,NA,NA,NA,NA,NA,NA,NA,$23547.93,NA,NA,$23547.93,NA,$21193.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23547.93,NA,NA,$23547.93,NA,NA,NA,$27080.12,$23547.93,$23547.93,NA,NA,NA,$23547.93,NA,NA,$23547.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$15954.14,$20385.84,NA,$17726.82,NA,NA,NA,NA,NA,NA,NA,NA,$17726.82,NA,NA,$17726.82,NA,$15954.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17726.82,NA,NA,$17726.82,NA,NA,NA,$20385.84,$17726.82,$17726.82,NA,NA,NA,$17726.82,NA,NA,$17726.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$14955.94,$19110.37,NA,$16617.71,NA,NA,NA,NA,NA,NA,NA,NA,$16617.71,NA,NA,$16617.71,NA,$14955.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16617.71,NA,NA,$16617.71,NA,NA,NA,$19110.37,$16617.71,$16617.71,NA,NA,NA,$16617.71,NA,NA,$16617.71,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$16918.24,$21617.75,NA,$18798.04,NA,NA,NA,NA,NA,NA,NA,NA,$18798.04,NA,NA,$18798.04,NA,$16918.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18798.04,NA,NA,$18798.04,NA,NA,NA,$21617.75,$18798.04,$18798.04,NA,NA,NA,$18798.04,NA,NA,$18798.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$26374.78,$33701.11,NA,$29305.31,NA,NA,NA,NA,NA,NA,NA,NA,$29305.31,NA,NA,$29305.31,NA,$26374.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29305.31,NA,NA,$29305.31,NA,NA,NA,$33701.11,$29305.31,$29305.31,NA,NA,NA,$29305.31,NA,NA,$29305.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$19853.94,$25368.92,NA,$22059.93,NA,NA,NA,NA,NA,NA,NA,NA,$22059.93,NA,NA,$22059.93,NA,$19853.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22059.93,NA,NA,$22059.93,NA,NA,NA,$25368.92,$22059.93,$22059.93,NA,NA,NA,$22059.93,NA,NA,$22059.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$18612.39,$23782.49,NA,$20680.43,NA,NA,NA,NA,NA,NA,NA,NA,$20680.43,NA,NA,$20680.43,NA,$18612.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20680.43,NA,NA,$20680.43,NA,NA,NA,$23782.49,$20680.43,$20680.43,NA,NA,NA,$20680.43,NA,NA,$20680.43,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$20095.74,$25677.88,NA,$22328.60,NA,NA,NA,NA,NA,NA,NA,NA,$22328.60,NA,NA,$22328.60,NA,$20095.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22328.60,NA,NA,$22328.60,NA,NA,NA,$25677.88,$22328.60,$22328.60,NA,NA,NA,$22328.60,NA,NA,$22328.60,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$31331.68,$40034.92,NA,$34812.98,NA,NA,NA,NA,NA,NA,NA,NA,$34812.98,NA,NA,$34812.98,NA,$31331.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$34812.98,NA,NA,$34812.98,NA,NA,NA,$40034.92,$34812.98,$34812.98,NA,NA,NA,$34812.98,NA,NA,$34812.98,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$23584.78,$30136.11,NA,$26205.31,NA,NA,NA,NA,NA,NA,NA,NA,$26205.31,NA,NA,$26205.31,NA,$23584.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26205.31,NA,NA,$26205.31,NA,NA,NA,$30136.11,$26205.31,$26205.31,NA,NA,NA,$26205.31,NA,NA,$26205.31,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$22109.18,$28250.62,NA,$24565.76,NA,NA,NA,NA,NA,NA,NA,NA,$24565.76,NA,NA,$24565.76,NA,$22109.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24565.76,NA,NA,$24565.76,NA,NA,NA,$28250.62,$24565.76,$24565.76,NA,NA,NA,$24565.76,NA,NA,$24565.76,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$23319.73,$29797.44,NA,$25910.81,NA,NA,NA,NA,NA,NA,NA,NA,$25910.81,NA,NA,$25910.81,NA,$23319.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25910.81,NA,NA,$25910.81,NA,NA,NA,$29797.44,$25910.81,$25910.81,NA,NA,NA,$25910.81,NA,NA,$25910.81,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$36356.77,$46455.88,NA,$40396.42,NA,NA,NA,NA,NA,NA,NA,NA,$40396.42,NA,NA,$40396.42,NA,$36356.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$40396.42,NA,NA,$40396.42,NA,NA,NA,$46455.88,$40396.42,$40396.42,NA,NA,NA,$40396.42,NA,NA,$40396.42,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$27368.33,$34970.64,NA,$30409.26,NA,NA,NA,NA,NA,NA,NA,NA,$30409.26,NA,NA,$30409.26,NA,$27368.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$30409.26,NA,NA,$30409.26,NA,NA,NA,$34970.64,$30409.26,$30409.26,NA,NA,NA,$30409.26,NA,NA,$30409.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$25655.58,$32782.13,NA,$28506.20,NA,NA,NA,NA,NA,NA,NA,NA,$28506.20,NA,NA,$28506.20,NA,$25655.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28506.20,NA,NA,$28506.20,NA,NA,NA,$32782.13,$28506.20,$28506.20,NA,NA,NA,$28506.20,NA,NA,$28506.20,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$13657.04,$17450.66,NA,$15174.49,NA,NA,NA,NA,NA,NA,NA,NA,$15174.49,NA,NA,$15174.49,NA,$13657.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15174.49,NA,NA,$15174.49,NA,NA,NA,$17450.66,$15174.49,$15174.49,NA,NA,NA,$15174.49,NA,NA,$15174.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$19333.14,$24703.45,NA,$21481.26,NA,NA,NA,NA,NA,NA,NA,NA,$21481.26,NA,NA,$21481.26,NA,$19333.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21481.26,NA,NA,$21481.26,NA,NA,NA,$24703.45,$21481.26,$21481.26,NA,NA,NA,$21481.26,NA,NA,$21481.26,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$15678.24,$20033.31,NA,$17420.27,NA,NA,NA,NA,NA,NA,NA,NA,$17420.27,NA,NA,$17420.27,NA,$15678.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17420.27,NA,NA,$17420.27,NA,NA,NA,$20033.31,$17420.27,$17420.27,NA,NA,NA,$17420.27,NA,NA,$17420.27,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$14856.74,$18983.61,NA,$16507.49,NA,NA,NA,NA,NA,NA,NA,NA,$16507.49,NA,NA,$16507.49,NA,$14856.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16507.49,NA,NA,$16507.49,NA,NA,NA,$18983.61,$16507.49,$16507.49,NA,NA,NA,$16507.49,NA,NA,$16507.49,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17074.79,$21817.78,NA,$18971.99,NA,NA,NA,NA,NA,NA,NA,NA,$18971.99,NA,NA,$18971.99,NA,$17074.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18971.99,NA,NA,$18971.99,NA,NA,NA,$21817.78,$18971.99,$18971.99,NA,NA,NA,$18971.99,NA,NA,$18971.99,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$24172.23,$30886.74,NA,$26858.04,NA,NA,NA,NA,NA,NA,NA,NA,$26858.04,NA,NA,$26858.04,NA,$24172.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$26858.04,NA,NA,$26858.04,NA,NA,NA,$30886.74,$26858.04,$26858.04,NA,NA,NA,$26858.04,NA,NA,$26858.04,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$19602.84,$25048.07,NA,$21780.93,NA,NA,NA,NA,NA,NA,NA,NA,$21780.93,NA,NA,$21780.93,NA,$19602.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21780.93,NA,NA,$21780.93,NA,NA,NA,$25048.07,$21780.93,$21780.93,NA,NA,NA,$21780.93,NA,NA,$21780.93,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$18576.74,$23736.94,NA,$20640.82,NA,NA,NA,NA,NA,NA,NA,NA,$20640.82,NA,NA,$20640.82,NA,$18576.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20640.82,NA,NA,$20640.82,NA,NA,NA,$23736.94,$20640.82,$20640.82,NA,NA,NA,$20640.82,NA,NA,$20640.82,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$20754.49,$26519.62,NA,$23060.54,NA,NA,NA,NA,NA,NA,NA,NA,$23060.54,NA,NA,$23060.54,NA,$20754.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23060.54,NA,NA,$23060.54,NA,NA,NA,$26519.62,$23060.54,$23060.54,NA,NA,NA,$23060.54,NA,NA,$23060.54,NA,NA
