Encompass Health Rehabilitation Hospital of Salisbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,CAREFIRST (GRP HOSP/MED) (BCMI) negotiated charge,CAREFIRST BCBS (BCMH) negotiated charge,CAREFIRST BCBS EXCHANGE (BCMZ) negotiated charge,CAREFIRST BLUESELECT HMO (BCBH) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CHOICECARE MEDICARE (CHOM) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WC (CVLW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HUMANA MILITARY TRICARE (TRI) negotiated charge,INFORMED (INFD) negotiated charge,INNOVATIVE HEALTHWARE (INN) negotiated charge,INTEGRA GROUP (INT) negotiated charge,JOHNS HOPKINS HEALTHCARE (JHH) negotiated charge,JOHNS HOPKINS MEDICAID (JHHD) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE NET (ONT) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,RIVERSIDE HEALTH MEDICAID (RHPD) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$19583.46,$22520.98,NA,NA,NA,NA,NA,NA,$19583.46,$19583.46,NA,NA,NA,$19583.46,NA,NA,NA,NA,NA,NA,NA,$22520.98,$19583.46,NA,$19583.46,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$15605.65,$17946.49,NA,NA,NA,NA,NA,NA,$15605.65,$15605.65,NA,NA,NA,$15605.65,NA,NA,NA,NA,NA,NA,NA,$17946.49,$15605.65,NA,$15605.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$14768.04,$16983.25,NA,NA,NA,NA,NA,NA,$14768.04,$14768.04,NA,NA,NA,$14768.04,NA,NA,NA,NA,NA,NA,NA,$16983.25,$14768.04,NA,$14768.04,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$16656.70,$19155.20,NA,NA,NA,NA,NA,NA,$16656.70,$16656.70,NA,NA,NA,$16656.70,NA,NA,NA,NA,NA,NA,NA,$19155.20,$16656.70,NA,$16656.70,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$24381.10,$28038.26,NA,NA,NA,NA,NA,NA,$24381.10,$24381.10,NA,NA,NA,$24381.10,NA,NA,NA,NA,NA,NA,NA,$28038.26,$24381.10,NA,$24381.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$19428.23,$22342.47,NA,NA,NA,NA,NA,NA,$19428.23,$19428.23,NA,NA,NA,$19428.23,NA,NA,NA,NA,NA,NA,NA,$22342.47,$19428.23,NA,$19428.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$18386.88,$21144.92,NA,NA,NA,NA,NA,NA,$18386.88,$18386.88,NA,NA,NA,$18386.88,NA,NA,NA,NA,NA,NA,NA,$21144.92,$18386.88,NA,$18386.88,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$19601.25,$22541.44,NA,NA,NA,NA,NA,NA,$19601.25,$19601.25,NA,NA,NA,$19601.25,NA,NA,NA,NA,NA,NA,NA,$22541.44,$19601.25,NA,$19601.25,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$28692.01,$32995.81,NA,NA,NA,NA,NA,NA,$28692.01,$28692.01,NA,NA,NA,$28692.01,NA,NA,NA,NA,NA,NA,NA,$32995.81,$28692.01,NA,$28692.01,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$22862.73,$26292.14,NA,NA,NA,NA,NA,NA,$22862.73,$22862.73,NA,NA,NA,$22862.73,NA,NA,NA,NA,NA,NA,NA,$26292.14,$22862.73,NA,$22862.73,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$21638.67,$24884.47,NA,NA,NA,NA,NA,NA,$21638.67,$21638.67,NA,NA,NA,$21638.67,NA,NA,NA,NA,NA,NA,NA,$24884.47,$21638.67,NA,$21638.67,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$22505.38,$25881.18,NA,NA,NA,NA,NA,NA,$22505.38,$22505.38,NA,NA,NA,$22505.38,NA,NA,NA,NA,NA,NA,NA,$25881.18,$22505.38,NA,$22505.38,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$32943.10,$37884.57,NA,NA,NA,NA,NA,NA,$32943.10,$32943.10,NA,NA,NA,$32943.10,NA,NA,NA,NA,NA,NA,NA,$37884.57,$32943.10,NA,$32943.10,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$26251.96,$30189.76,NA,NA,NA,NA,NA,NA,$26251.96,$26251.96,NA,NA,NA,$26251.96,NA,NA,NA,NA,NA,NA,NA,$30189.76,$26251.96,NA,$26251.96,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$24845.17,$28571.95,NA,NA,NA,NA,NA,NA,$24845.17,$24845.17,NA,NA,NA,$24845.17,NA,NA,NA,NA,NA,NA,NA,$28571.95,$24845.17,NA,$24845.17,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$14559.45,$16743.37,NA,NA,NA,NA,NA,NA,$14559.45,$14559.45,NA,NA,NA,$14559.45,NA,NA,NA,NA,NA,NA,NA,$16743.37,$14559.45,NA,$14559.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$20956.29,$24099.74,NA,NA,NA,NA,NA,NA,$20956.29,$20956.29,NA,NA,NA,$20956.29,NA,NA,NA,NA,NA,NA,NA,$24099.74,$20956.29,NA,$20956.29,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$17565.45,$20200.27,NA,NA,NA,NA,NA,NA,$17565.45,$17565.45,NA,NA,NA,$17565.45,NA,NA,NA,NA,NA,NA,NA,$20200.27,$17565.45,NA,$17565.45,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$15762.50,$18126.87,NA,NA,NA,NA,NA,NA,$15762.50,$15762.50,NA,NA,NA,$15762.50,NA,NA,NA,NA,NA,NA,NA,$18126.87,$15762.50,NA,$15762.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$17985.87,$20683.75,NA,NA,NA,NA,NA,NA,$17985.87,$17985.87,NA,NA,NA,$17985.87,NA,NA,NA,NA,NA,NA,NA,$20683.75,$17985.87,NA,$17985.87,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-B,NA,NA,$25888.14,$29771.36,NA,NA,NA,NA,NA,NA,$25888.14,$25888.14,NA,NA,NA,$25888.14,NA,NA,NA,NA,NA,NA,NA,$29771.36,$25888.14,NA,$25888.14,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-C,NA,NA,$21698.50,$24953.27,NA,NA,NA,NA,NA,NA,$21698.50,$21698.50,NA,NA,NA,$21698.50,NA,NA,NA,NA,NA,NA,NA,$24953.27,$21698.50,NA,$21698.50,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-D,NA,NA,$19471.89,$22392.67,NA,NA,NA,NA,NA,NA,$19471.89,$19471.89,NA,NA,NA,$19471.89,NA,NA,NA,NA,NA,NA,NA,$22392.67,$19471.89,NA,$19471.89,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-A,NA,NA,$21016.12,$24168.54,NA,NA,NA,NA,NA,NA,$21016.12,$21016.12,NA,NA,NA,$21016.12,NA,NA,NA,NA,NA,NA,NA,$24168.54,$21016.12,NA,$21016.12,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-B,NA,NA,$30250.80,$34788.42,NA,NA,NA,NA,NA,NA,$30250.80,$30250.80,NA,NA,NA,$30250.80,NA,NA,NA,NA,NA,NA,NA,$34788.42,$30250.80,NA,$30250.80,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-C,NA,NA,$25356.15,$29159.57,NA,NA,NA,NA,NA,NA,$25356.15,$25356.15,NA,NA,NA,$25356.15,NA,NA,NA,NA,NA,NA,NA,$29159.57,$25356.15,NA,$25356.15,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1003-D,NA,NA,$22754.40,$26167.56,NA,NA,NA,NA,NA,NA,$22754.40,$22754.40,NA,NA,NA,$22754.40,NA,NA,NA,NA,NA,NA,NA,$26167.56,$22754.40,NA,$22754.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-A,NA,NA,$24769.18,$28484.55,NA,NA,NA,NA,NA,NA,$24769.18,$24769.18,NA,NA,NA,$24769.18,NA,NA,NA,NA,NA,NA,NA,$28484.55,$24769.18,NA,$24769.18,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-B,NA,NA,$35653.19,$41001.17,NA,NA,NA,NA,NA,NA,$35653.19,$35653.19,NA,NA,NA,$35653.19,NA,NA,NA,NA,NA,NA,NA,$41001.17,$35653.19,NA,$35653.19,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-C,NA,NA,$29883.74,$34366.30,NA,NA,NA,NA,NA,NA,$29883.74,$29883.74,NA,NA,NA,$29883.74,NA,NA,NA,NA,NA,NA,NA,$34366.30,$29883.74,NA,$29883.74,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1004-D,NA,NA,$26817.91,$30840.60,NA,NA,NA,NA,NA,NA,$26817.91,$26817.91,NA,NA,NA,$26817.91,NA,NA,NA,NA,NA,NA,NA,$30840.60,$26817.91,NA,$26817.91,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-A,NA,NA,$15862.75,$18242.16,NA,NA,NA,NA,NA,NA,$15862.75,$15862.75,NA,NA,NA,$15862.75,NA,NA,NA,NA,NA,NA,NA,$18242.16,$15862.75,NA,$15862.75,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-B,NA,NA,$21019.36,$24172.26,NA,NA,NA,NA,NA,NA,$21019.36,$21019.36,NA,NA,NA,$21019.36,NA,NA,NA,NA,NA,NA,NA,$24172.26,$21019.36,NA,$21019.36,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-C,NA,NA,$18729.69,$21539.14,NA,NA,NA,NA,NA,NA,$18729.69,$18729.69,NA,NA,NA,$18729.69,NA,NA,NA,NA,NA,NA,NA,$21539.14,$18729.69,NA,$18729.69,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1101-D,NA,NA,$16359.17,$18813.04,NA,NA,NA,NA,NA,NA,$16359.17,$16359.17,NA,NA,NA,$16359.17,NA,NA,NA,NA,NA,NA,NA,$18813.04,$16359.17,NA,$16359.17,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-A,NA,NA,$21193.99,$24373.09,NA,NA,NA,NA,NA,NA,$21193.99,$21193.99,NA,NA,NA,$21193.99,NA,NA,NA,NA,NA,NA,NA,$24373.09,$21193.99,NA,$21193.99,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-B,NA,NA,$28082.40,$32294.76,NA,NA,NA,NA,NA,NA,$28082.40,$28082.40,NA,NA,NA,$28082.40,NA,NA,NA,NA,NA,NA,NA,$32294.76,$28082.40,NA,$28082.40,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-C,NA,NA,$25024.66,$28778.36,NA,NA,NA,NA,NA,NA,$25024.66,$25024.66,NA,NA,NA,$25024.66,NA,NA,NA,NA,NA,NA,NA,$28778.36,$25024.66,NA,$25024.66,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1102-D,NA,NA,$21856.96,$25135.51,NA,NA,NA,NA,NA,NA,$21856.96,$21856.96,NA,NA,NA,$21856.96,NA,NA,NA,NA,NA,NA,NA,$25135.51,$21856.96,NA,$21856.96,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-A,NA,NA,$23815.15,$27387.42,NA,NA,NA,NA,NA,NA,$23815.15,$23815.15,NA,NA,NA,$23815.15,NA,NA,NA,NA,NA,NA,NA,$27387.42,$23815.15,NA,$23815.15,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-B,NA,NA,$31555.72,$36289.07,NA,NA,NA,NA,NA,NA,$31555.72,$31555.72,NA,NA,NA,$31555.72,NA,NA,NA,NA,NA,NA,NA,$36289.07,$31555.72,NA,$31555.72,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-C,NA,NA,$28119.60,$32337.53,NA,NA,NA,NA,NA,NA,$28119.60,$28119.60,NA,NA,NA,$28119.60,NA,NA,NA,NA,NA,NA,NA,$32337.53,$28119.60,NA,$28119.60,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, other",CMG 1103-D,NA,NA,$24558.97,$28242.81,NA,NA,NA,NA,NA,NA,$24558.97,$24558.97,NA,NA,NA,$24558.97,NA,NA,NA,NA,NA,NA,NA,$28242.81,$24558.97,NA,$24558.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-A,NA,NA,$14096.99,$16211.54,NA,NA,NA,NA,NA,NA,$14096.99,$14096.99,NA,NA,NA,$14096.99,NA,NA,NA,NA,NA,NA,NA,$16211.54,$14096.99,NA,$14096.99,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-B,NA,NA,$23043.84,$26500.41,NA,NA,NA,NA,NA,NA,$23043.84,$23043.84,NA,NA,NA,$23043.84,NA,NA,NA,NA,NA,NA,NA,$26500.41,$23043.84,NA,$23043.84,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-C,NA,NA,$15353.40,$17656.41,NA,NA,NA,NA,NA,NA,$15353.40,$15353.40,NA,NA,NA,$15353.40,NA,NA,NA,NA,NA,NA,NA,$17656.41,$15353.40,NA,$15353.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1201-D,NA,NA,$15353.40,$17656.41,NA,NA,NA,NA,NA,NA,$15353.40,$15353.40,NA,NA,NA,$15353.40,NA,NA,NA,NA,NA,NA,NA,$17656.41,$15353.40,NA,$15353.40,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-A,NA,NA,$17712.60,$20369.49,NA,NA,NA,NA,NA,NA,$17712.60,$17712.60,NA,NA,NA,$17712.60,NA,NA,NA,NA,NA,NA,NA,$20369.49,$17712.60,NA,$17712.60,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-B,NA,NA,$28955.58,$33298.92,NA,NA,NA,NA,NA,NA,$28955.58,$28955.58,NA,NA,NA,$28955.58,NA,NA,NA,NA,NA,NA,NA,$33298.92,$28955.58,NA,$28955.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-C,NA,NA,$19290.79,$22184.40,NA,NA,NA,NA,NA,NA,$19290.79,$19290.79,NA,NA,NA,$19290.79,NA,NA,NA,NA,NA,NA,NA,$22184.40,$19290.79,NA,$19290.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1202-D,NA,NA,$19290.79,$22184.40,NA,NA,NA,NA,NA,NA,$19290.79,$19290.79,NA,NA,NA,$19290.79,NA,NA,NA,NA,NA,NA,NA,$22184.40,$19290.79,NA,$19290.79,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-A,NA,NA,$20590.85,$23679.48,NA,NA,NA,NA,NA,NA,$20590.85,$20590.85,NA,NA,NA,$20590.85,NA,NA,NA,NA,NA,NA,NA,$23679.48,$20590.85,NA,$20590.85,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-B,NA,NA,$33657.81,$38706.49,NA,NA,NA,NA,NA,NA,$33657.81,$33657.81,NA,NA,NA,$33657.81,NA,NA,NA,NA,NA,NA,NA,$38706.49,$33657.81,NA,$33657.81,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-C,NA,NA,$22422.91,$25786.35,NA,NA,NA,NA,NA,NA,$22422.91,$22422.91,NA,NA,NA,$22422.91,NA,NA,NA,NA,NA,NA,NA,$25786.35,$22422.91,NA,$22422.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1203-D,NA,NA,$22422.91,$25786.35,NA,NA,NA,NA,NA,NA,$22422.91,$22422.91,NA,NA,NA,$22422.91,NA,NA,NA,NA,NA,NA,NA,$25786.35,$22422.91,NA,$22422.91,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-A,NA,NA,$21640.28,$24886.33,NA,NA,NA,NA,NA,NA,$21640.28,$21640.28,NA,NA,NA,$21640.28,NA,NA,NA,NA,NA,NA,NA,$24886.33,$21640.28,NA,$21640.28,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-B,NA,NA,$35375.07,$40681.33,NA,NA,NA,NA,NA,NA,$35375.07,$35375.07,NA,NA,NA,$35375.07,NA,NA,NA,NA,NA,NA,NA,$40681.33,$35375.07,NA,$35375.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-C,NA,NA,$23567.75,$27102.91,NA,NA,NA,NA,NA,NA,$23567.75,$23567.75,NA,NA,NA,$23567.75,NA,NA,NA,NA,NA,NA,NA,$27102.91,$23567.75,NA,$23567.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Osteoarthritis,CMG 1204-D,NA,NA,$23567.75,$27102.91,NA,NA,NA,NA,NA,NA,$23567.75,$23567.75,NA,NA,NA,$23567.75,NA,NA,NA,NA,NA,NA,NA,$27102.91,$23567.75,NA,$23567.75,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-A,NA,NA,$12688.58,$14591.87,NA,NA,NA,NA,NA,NA,$12688.58,$12688.58,NA,NA,NA,$12688.58,NA,NA,NA,NA,NA,NA,NA,$14591.87,$12688.58,NA,$12688.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-B,NA,NA,$18234.89,$20970.12,NA,NA,NA,NA,NA,NA,$18234.89,$18234.89,NA,NA,NA,$18234.89,NA,NA,NA,NA,NA,NA,NA,$20970.12,$18234.89,NA,$18234.89,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-C,NA,NA,$15055.87,$17314.25,NA,NA,NA,NA,NA,NA,$15055.87,$15055.87,NA,NA,NA,$15055.87,NA,NA,NA,NA,NA,NA,NA,$17314.25,$15055.87,NA,$15055.87,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1301-D,NA,NA,$14292.65,$16436.54,NA,NA,NA,NA,NA,NA,$14292.65,$14292.65,NA,NA,NA,$14292.65,NA,NA,NA,NA,NA,NA,NA,$16436.54,$14292.65,NA,$14292.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-A,NA,NA,$17361.71,$19965.96,NA,NA,NA,NA,NA,NA,$17361.71,$17361.71,NA,NA,NA,$17361.71,NA,NA,NA,NA,NA,NA,NA,$19965.96,$17361.71,NA,$17361.71,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-B,NA,NA,$24948.66,$28690.96,NA,NA,NA,NA,NA,NA,$24948.66,$24948.66,NA,NA,NA,$24948.66,NA,NA,NA,NA,NA,NA,NA,$28690.96,$24948.66,NA,$24948.66,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-C,NA,NA,$20600.55,$23690.64,NA,NA,NA,NA,NA,NA,$20600.55,$20600.55,NA,NA,NA,$20600.55,NA,NA,NA,NA,NA,NA,NA,$23690.64,$20600.55,NA,$20600.55,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1302-D,NA,NA,$19555.97,$22489.37,NA,NA,NA,NA,NA,NA,$19555.97,$19555.97,NA,NA,NA,$19555.97,NA,NA,NA,NA,NA,NA,NA,$22489.37,$19555.97,NA,$19555.97,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-A,NA,NA,$20013.58,$23015.62,NA,NA,NA,NA,NA,NA,$20013.58,$20013.58,NA,NA,NA,$20013.58,NA,NA,NA,NA,NA,NA,NA,$23015.62,$20013.58,NA,$20013.58,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-B,NA,NA,$28759.93,$33073.92,NA,NA,NA,NA,NA,NA,$28759.93,$28759.93,NA,NA,NA,$28759.93,NA,NA,NA,NA,NA,NA,NA,$33073.92,$28759.93,NA,$28759.93,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-C,NA,NA,$23747.23,$27309.32,NA,NA,NA,NA,NA,NA,$23747.23,$23747.23,NA,NA,NA,$23747.23,NA,NA,NA,NA,NA,NA,NA,$27309.32,$23747.23,NA,$23747.23,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1303-D,NA,NA,$22542.57,$25923.95,NA,NA,NA,NA,NA,NA,$22542.57,$22542.57,NA,NA,NA,$22542.57,NA,NA,NA,NA,NA,NA,NA,$25923.95,$22542.57,NA,$22542.57,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-A,NA,NA,$23199.07,$26678.93,NA,NA,NA,NA,NA,NA,$23199.07,$23199.07,NA,NA,NA,$23199.07,NA,NA,NA,NA,NA,NA,NA,$26678.93,$23199.07,NA,$23199.07,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-B,NA,NA,$33337.65,$38338.29,NA,NA,NA,NA,NA,NA,$33337.65,$33337.65,NA,NA,NA,$33337.65,NA,NA,NA,NA,NA,NA,NA,$38338.29,$33337.65,NA,$33337.65,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-C,NA,NA,$27527.77,$31656.94,NA,NA,NA,NA,NA,NA,$27527.77,$27527.77,NA,NA,NA,$27527.77,NA,NA,NA,NA,NA,NA,NA,$31656.94,$27527.77,NA,$27527.77,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1304-D,NA,NA,$26132.30,$30052.15,NA,NA,NA,NA,NA,NA,$26132.30,$26132.30,NA,NA,NA,$26132.30,NA,NA,NA,NA,NA,NA,NA,$30052.15,$26132.30,NA,$26132.30,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-A,NA,NA,$23490.13,$27013.65,NA,NA,NA,NA,NA,NA,$23490.13,$23490.13,NA,NA,NA,$23490.13,NA,NA,NA,NA,NA,NA,NA,$27013.65,$23490.13,NA,$23490.13,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-B,NA,NA,$33756.45,$38819.92,NA,NA,NA,NA,NA,NA,$33756.45,$33756.45,NA,NA,NA,$33756.45,NA,NA,NA,NA,NA,NA,NA,$38819.92,$33756.45,NA,$33756.45,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Rheumatoid and other arthritis,CMG 1305-C,NA,NA,$27872.19,$32053.02,NA,NA,NA,NA,NA,NA,$27872.19,$27872.19,NA,NA,NA,$27872.19,NA,NA,NA,NA,NA,NA,NA,$32053.02,$27872.19,NA,$27872.19,NA,NA,NA
