Encompass Health Lakeshore Rehabilitation Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,ALAMED (ALMD) negotiated charge,BC FEP (BCFD) negotiated charge,BCBS OF AL EXCHANGE (BALZ) negotiated charge,BCBS OF AL MEDICARE ADVAN (BCAD) negotiated charge,BCBS OF ALABAMA (BCAL) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL (CVL) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY-NATIONAL (CHCN) negotiated charge,COVENTRY-SOUTHCARE (CHC) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,HEALTH CHOICE OF ALABAMA (HEAK) negotiated charge,HEALTHSPRING MEDICARE (HLSM) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,MULTIPLAN (MUL) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,ONECALL MEDICAL (OCL) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,TRICARE (TRI) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,UNITED MINE WORKERS (UMW) negotiated charge,VIVA HEALTH (VIH) negotiated charge,VIVA MEDICARE (VIVM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$21659.72,$26219.66,NA,NA,NA,NA,NA,$21659.72,NA,NA,NA,$22799.70,NA,NA,NA,NA,NA,NA,NA,NA,$22799.70,NA,$22799.70,NA,NA,NA,NA,$26219.66,$22799.70,$22799.70,NA,$21659.72,$22799.70,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$20304.56,$24579.20,NA,NA,NA,NA,NA,$20304.56,NA,NA,NA,$21373.22,NA,NA,NA,NA,NA,NA,NA,NA,$21373.22,NA,$21373.22,NA,NA,NA,NA,$24579.20,$21373.22,$21373.22,NA,$20304.56,$21373.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$21416.30,$25924.99,NA,NA,NA,NA,NA,$21416.30,NA,NA,NA,$22543.47,NA,NA,NA,NA,NA,NA,NA,NA,$22543.47,NA,$22543.47,NA,NA,NA,NA,$25924.99,$22543.47,$22543.47,NA,$21416.30,$22543.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$33389.21,$40418.52,NA,NA,NA,NA,NA,$33389.21,NA,NA,NA,$35146.54,NA,NA,NA,NA,NA,NA,NA,NA,$35146.54,NA,$35146.54,NA,NA,NA,NA,$40418.52,$35146.54,$35146.54,NA,$33389.21,$35146.54,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$25134.44,$30425.90,NA,NA,NA,NA,NA,$25134.44,NA,NA,NA,$26457.30,NA,NA,NA,NA,NA,NA,NA,NA,$26457.30,NA,$26457.30,NA,NA,NA,NA,$30425.90,$26457.30,$26457.30,NA,$25134.44,$26457.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$23561.49,$28521.80,NA,NA,NA,NA,NA,$23561.49,NA,NA,NA,$24801.57,NA,NA,NA,NA,NA,NA,NA,NA,$24801.57,NA,$24801.57,NA,NA,NA,NA,$28521.80,$24801.57,$24801.57,NA,$23561.49,$24801.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$12542.31,$15182.79,NA,NA,NA,NA,NA,$12542.31,NA,NA,NA,$13202.43,NA,NA,NA,NA,NA,NA,NA,NA,$13202.43,NA,$13202.43,NA,NA,NA,NA,$15182.79,$13202.43,$13202.43,NA,$12542.31,$13202.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$17755.10,$21493.02,NA,NA,NA,NA,NA,$17755.10,NA,NA,NA,$18689.58,NA,NA,NA,NA,NA,NA,NA,NA,$18689.58,NA,$18689.58,NA,NA,NA,NA,$21493.02,$18689.58,$18689.58,NA,$17755.10,$18689.58,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$14398.53,$17429.80,NA,NA,NA,NA,NA,$14398.53,NA,NA,NA,$15156.35,NA,NA,NA,NA,NA,NA,NA,NA,$15156.35,NA,$15156.35,NA,NA,NA,NA,$17429.80,$15156.35,$15156.35,NA,$14398.53,$15156.35,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$13644.08,$16516.52,NA,NA,NA,NA,NA,$13644.08,NA,NA,NA,$14362.19,NA,NA,NA,NA,NA,NA,NA,NA,$14362.19,NA,$14362.19,NA,NA,NA,NA,$16516.52,$14362.19,$14362.19,NA,$13644.08,$14362.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$15681.09,$18982.37,NA,NA,NA,NA,NA,$15681.09,NA,NA,NA,$16506.41,NA,NA,NA,NA,NA,NA,NA,NA,$16506.41,NA,$16506.41,NA,NA,NA,NA,$18982.37,$16506.41,$16506.41,NA,$15681.09,$16506.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$22199.22,$26872.73,NA,NA,NA,NA,NA,$22199.22,NA,NA,NA,$23367.59,NA,NA,NA,NA,NA,NA,NA,NA,$23367.59,NA,$23367.59,NA,NA,NA,NA,$26872.73,$23367.59,$23367.59,NA,$22199.22,$23367.59,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$18002.79,$21792.85,NA,NA,NA,NA,NA,$18002.79,NA,NA,NA,$18950.30,NA,NA,NA,NA,NA,NA,NA,NA,$18950.30,NA,$18950.30,NA,NA,NA,NA,$21792.85,$18950.30,$18950.30,NA,$18002.79,$18950.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$17060.44,$20652.11,NA,NA,NA,NA,NA,$17060.44,NA,NA,NA,$17958.36,NA,NA,NA,NA,NA,NA,NA,NA,$17958.36,NA,$17958.36,NA,NA,NA,NA,$20652.11,$17958.36,$17958.36,NA,$17060.44,$17958.36,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$19060.44,$23073.16,NA,NA,NA,NA,NA,$19060.44,NA,NA,NA,$20063.62,NA,NA,NA,NA,NA,NA,NA,NA,$20063.62,NA,$20063.62,NA,NA,NA,NA,$23073.16,$20063.62,$20063.62,NA,$19060.44,$20063.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$26983.54,$32664.29,NA,NA,NA,NA,NA,$26983.54,NA,NA,NA,$28403.73,NA,NA,NA,NA,NA,NA,NA,NA,$28403.73,NA,$28403.73,NA,NA,NA,NA,$32664.29,$28403.73,$28403.73,NA,$26983.54,$28403.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$21883.20,$26490.19,NA,NA,NA,NA,NA,$21883.20,NA,NA,NA,$23034.95,NA,NA,NA,NA,NA,NA,NA,NA,$23034.95,NA,$23034.95,NA,NA,NA,NA,$26490.19,$23034.95,$23034.95,NA,$21883.20,$23034.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$20737.30,$25103.05,NA,NA,NA,NA,NA,$20737.30,NA,NA,NA,$21828.73,NA,NA,NA,NA,NA,NA,NA,NA,$21828.73,NA,$21828.73,NA,NA,NA,NA,$25103.05,$21828.73,$21828.73,NA,$20737.30,$21828.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$21779.29,$26364.40,NA,NA,NA,NA,NA,$21779.29,NA,NA,NA,$22925.57,NA,NA,NA,NA,NA,NA,NA,NA,$22925.57,NA,$22925.57,NA,NA,NA,NA,$26364.40,$22925.57,$22925.57,NA,$21779.29,$22925.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$30832.64,$37323.72,NA,NA,NA,NA,NA,$30832.64,NA,NA,NA,$32455.41,NA,NA,NA,NA,NA,NA,NA,NA,$32455.41,NA,$32455.41,NA,NA,NA,NA,$37323.72,$32455.41,$32455.41,NA,$30832.64,$32455.41,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$25004.90,$30269.09,NA,NA,NA,NA,NA,$25004.90,NA,NA,NA,$26320.95,NA,NA,NA,NA,NA,NA,NA,NA,$26320.95,NA,$26320.95,NA,NA,NA,NA,$30269.09,$26320.95,$26320.95,NA,$25004.90,$26320.95,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$23695.30,$28683.78,NA,NA,NA,NA,NA,$23695.30,NA,NA,NA,$24942.42,NA,NA,NA,NA,NA,NA,NA,NA,$24942.42,NA,$24942.42,NA,NA,NA,NA,$28683.78,$24942.42,$24942.42,NA,$23695.30,$24942.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$10767.22,$13034.01,NA,NA,NA,NA,NA,$10767.22,NA,NA,NA,$11333.92,NA,NA,NA,NA,NA,NA,NA,NA,$11333.92,NA,$11333.92,NA,NA,NA,NA,$13034.01,$11333.92,$11333.92,NA,$10767.22,$11333.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$16039.80,$19416.61,NA,NA,NA,NA,NA,$16039.80,NA,NA,NA,$16884.01,NA,NA,NA,NA,NA,NA,NA,NA,$16884.01,NA,$16884.01,NA,NA,NA,NA,$19416.61,$16884.01,$16884.01,NA,$16039.80,$16884.01,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$12908.14,$15625.65,NA,NA,NA,NA,NA,$12908.14,NA,NA,NA,$13587.52,NA,NA,NA,NA,NA,NA,NA,NA,$13587.52,NA,$13587.52,NA,NA,NA,NA,$15625.65,$13587.52,$13587.52,NA,$12908.14,$13587.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$11560.10,$13993.81,NA,NA,NA,NA,NA,$11560.10,NA,NA,NA,$12168.53,NA,NA,NA,NA,NA,NA,NA,NA,$12168.53,NA,$12168.53,NA,NA,NA,NA,$13993.81,$12168.53,$12168.53,NA,$11560.10,$12168.53,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$12659.03,$15324.09,NA,NA,NA,NA,NA,$12659.03,NA,NA,NA,$13325.30,NA,NA,NA,NA,NA,NA,NA,NA,$13325.30,NA,$13325.30,NA,NA,NA,NA,$15324.09,$13325.30,$13325.30,NA,$12659.03,$13325.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$18858.30,$22828.47,NA,NA,NA,NA,NA,$18858.30,NA,NA,NA,$19850.84,NA,NA,NA,NA,NA,NA,NA,NA,$19850.84,NA,$19850.84,NA,NA,NA,NA,$22828.47,$19850.84,$19850.84,NA,$18858.30,$19850.84,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$15175.75,$18370.65,NA,NA,NA,NA,NA,$15175.75,NA,NA,NA,$15974.47,NA,NA,NA,NA,NA,NA,NA,NA,$15974.47,NA,$15974.47,NA,NA,NA,NA,$18370.65,$15974.47,$15974.47,NA,$15175.75,$15974.47,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$13591.41,$16452.76,NA,NA,NA,NA,NA,$13591.41,NA,NA,NA,$14306.75,NA,NA,NA,NA,NA,NA,NA,NA,$14306.75,NA,$14306.75,NA,NA,NA,NA,$16452.76,$14306.75,$14306.75,NA,$13591.41,$14306.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$14140.88,$17117.91,NA,NA,NA,NA,NA,$14140.88,NA,NA,NA,$14885.14,NA,NA,NA,NA,NA,NA,NA,NA,$14885.14,NA,$14885.14,NA,NA,NA,NA,$17117.91,$14885.14,$14885.14,NA,$14140.88,$14885.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-B,NA,NA,$21066.12,$25501.10,NA,NA,NA,NA,NA,$21066.12,NA,NA,NA,$22174.87,NA,NA,NA,NA,NA,NA,NA,NA,$22174.87,NA,$22174.87,NA,NA,NA,NA,$25501.10,$22174.87,$22174.87,NA,$21066.12,$22174.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-C,NA,NA,$16952.26,$20521.15,NA,NA,NA,NA,NA,$16952.26,NA,NA,NA,$17844.48,NA,NA,NA,NA,NA,NA,NA,NA,$17844.48,NA,$17844.48,NA,NA,NA,NA,$20521.15,$17844.48,$17844.48,NA,$16952.26,$17844.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-D,NA,NA,$15182.87,$18379.26,NA,NA,NA,NA,NA,$15182.87,NA,NA,NA,$15981.97,NA,NA,NA,NA,NA,NA,NA,NA,$15981.97,NA,$15981.97,NA,NA,NA,NA,$18379.26,$15981.97,$15981.97,NA,$15182.87,$15981.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-A,NA,NA,$16297.46,$19728.50,NA,NA,NA,NA,NA,$16297.46,NA,NA,NA,$17155.22,NA,NA,NA,NA,NA,NA,NA,NA,$17155.22,NA,$17155.22,NA,NA,NA,NA,$19728.50,$17155.22,$17155.22,NA,$16297.46,$17155.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-B,NA,NA,$24278.92,$29390.28,NA,NA,NA,NA,NA,$24278.92,NA,NA,NA,$25556.76,NA,NA,NA,NA,NA,NA,NA,NA,$25556.76,NA,$25556.76,NA,NA,NA,NA,$29390.28,$25556.76,$25556.76,NA,$24278.92,$25556.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-C,NA,NA,$19538.73,$23652.14,NA,NA,NA,NA,NA,$19538.73,NA,NA,NA,$20567.08,NA,NA,NA,NA,NA,NA,NA,NA,$20567.08,NA,$20567.08,NA,NA,NA,NA,$23652.14,$20567.08,$20567.08,NA,$19538.73,$20567.08,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0804-D,NA,NA,$17498.87,$21182.85,NA,NA,NA,NA,NA,$17498.87,NA,NA,NA,$18419.87,NA,NA,NA,NA,NA,NA,NA,NA,$18419.87,NA,$18419.87,NA,NA,NA,NA,$21182.85,$18419.87,$18419.87,NA,$17498.87,$18419.87,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-A,NA,NA,$18990.68,$22988.72,NA,NA,NA,NA,NA,$18990.68,NA,NA,NA,$19990.19,NA,NA,NA,NA,NA,NA,NA,NA,$19990.19,NA,$19990.19,NA,NA,NA,NA,$22988.72,$19990.19,$19990.19,NA,$18990.68,$19990.19,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-B,NA,NA,$28290.30,$34246.15,NA,NA,NA,NA,NA,$28290.30,NA,NA,NA,$29779.26,NA,NA,NA,NA,NA,NA,NA,NA,$29779.26,NA,$29779.26,NA,NA,NA,NA,$34246.15,$29779.26,$29779.26,NA,$28290.30,$29779.26,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-C,NA,NA,$22767.18,$27560.28,NA,NA,NA,NA,NA,$22767.18,NA,NA,NA,$23965.46,NA,NA,NA,NA,NA,NA,NA,NA,$23965.46,NA,$23965.46,NA,NA,NA,NA,$27560.28,$23965.46,$23965.46,NA,$22767.18,$23965.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0805-D,NA,NA,$20389.97,$24682.59,NA,NA,NA,NA,NA,$20389.97,NA,NA,NA,$21463.12,NA,NA,NA,NA,NA,NA,NA,NA,$21463.12,NA,$21463.12,NA,NA,NA,NA,$24682.59,$21463.12,$21463.12,NA,$20389.97,$21463.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-A,NA,NA,$11776.47,$14255.73,NA,NA,NA,NA,NA,$11776.47,NA,NA,NA,$12396.29,NA,NA,NA,NA,NA,NA,NA,NA,$12396.29,NA,$12396.29,NA,NA,NA,NA,$14255.73,$12396.29,$12396.29,NA,$11776.47,$12396.29,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-B,NA,NA,$17239.80,$20869.23,NA,NA,NA,NA,NA,$17239.80,NA,NA,NA,$18147.16,NA,NA,NA,NA,NA,NA,NA,NA,$18147.16,NA,$18147.16,NA,NA,NA,NA,$20869.23,$18147.16,$18147.16,NA,$17239.80,$18147.16,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-C,NA,NA,$13738.03,$16630.25,NA,NA,NA,NA,NA,$13738.03,NA,NA,NA,$14461.09,NA,NA,NA,NA,NA,NA,NA,NA,$14461.09,NA,$14461.09,NA,NA,NA,NA,$16630.25,$14461.09,$14461.09,NA,$13738.03,$14461.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0901-D,NA,NA,$13000.67,$15737.65,NA,NA,NA,NA,NA,$13000.67,NA,NA,NA,$13684.91,NA,NA,NA,NA,NA,NA,NA,NA,$13684.91,NA,$13684.91,NA,NA,NA,NA,$15737.65,$13684.91,$13684.91,NA,$13000.67,$13684.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-A,NA,NA,$14663.30,$17750.31,NA,NA,NA,NA,NA,$14663.30,NA,NA,NA,$15435.05,NA,NA,NA,NA,NA,NA,NA,NA,$15435.05,NA,$15435.05,NA,NA,NA,NA,$17750.31,$15435.05,$15435.05,NA,$14663.30,$15435.05,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-B,NA,NA,$21463.27,$25981.86,NA,NA,NA,NA,NA,$21463.27,NA,NA,NA,$22592.92,NA,NA,NA,NA,NA,NA,NA,NA,$22592.92,NA,$22592.92,NA,NA,NA,NA,$25981.86,$22592.92,$22592.92,NA,$21463.27,$22592.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-C,NA,NA,$17103.15,$20703.81,NA,NA,NA,NA,NA,$17103.15,NA,NA,NA,$18003.31,NA,NA,NA,NA,NA,NA,NA,NA,$18003.31,NA,$18003.31,NA,NA,NA,NA,$20703.81,$18003.31,$18003.31,NA,$17103.15,$18003.31,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0902-D,NA,NA,$16186.42,$19594.09,NA,NA,NA,NA,NA,$16186.42,NA,NA,NA,$17038.34,NA,NA,NA,NA,NA,NA,NA,NA,$17038.34,NA,$17038.34,NA,NA,NA,NA,$19594.09,$17038.34,$17038.34,NA,$16186.42,$17038.34,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-A,NA,NA,$17255.46,$20888.19,NA,NA,NA,NA,NA,$17255.46,NA,NA,NA,$18163.64,NA,NA,NA,NA,NA,NA,NA,NA,$18163.64,NA,$18163.64,NA,NA,NA,NA,$20888.19,$18163.64,$18163.64,NA,$17255.46,$18163.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-B,NA,NA,$25258.28,$30575.81,NA,NA,NA,NA,NA,$25258.28,NA,NA,NA,$26587.66,NA,NA,NA,NA,NA,NA,NA,NA,$26587.66,NA,$26587.66,NA,NA,NA,NA,$30575.81,$26587.66,$26587.66,NA,$25258.28,$26587.66,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-C,NA,NA,$20126.62,$24363.81,NA,NA,NA,NA,NA,$20126.62,NA,NA,NA,$21185.92,NA,NA,NA,NA,NA,NA,NA,NA,$21185.92,NA,$21185.92,NA,NA,NA,NA,$24363.81,$21185.92,$21185.92,NA,$20126.62,$21185.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0903-D,NA,NA,$19049.05,$23059.37,NA,NA,NA,NA,NA,$19049.05,NA,NA,NA,$20051.63,NA,NA,NA,NA,NA,NA,NA,NA,$20051.63,NA,$20051.63,NA,NA,NA,NA,$23059.37,$20051.63,$20051.63,NA,$19049.05,$20051.63,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-A,NA,NA,$19812.03,$23982.99,NA,NA,NA,NA,NA,$19812.03,NA,NA,NA,$20854.77,NA,NA,NA,NA,NA,NA,NA,NA,$20854.77,NA,$20854.77,NA,NA,NA,NA,$23982.99,$20854.77,$20854.77,NA,$19812.03,$20854.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-B,NA,NA,$29000.62,$35106.01,NA,NA,NA,NA,NA,$29000.62,NA,NA,NA,$30526.96,NA,NA,NA,NA,NA,NA,NA,NA,$30526.96,NA,$30526.96,NA,NA,NA,NA,$35106.01,$30526.96,$30526.96,NA,$29000.62,$30526.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-C,NA,NA,$23110.24,$27975.56,NA,NA,NA,NA,NA,$23110.24,NA,NA,NA,$24326.57,NA,NA,NA,NA,NA,NA,NA,NA,$24326.57,NA,$24326.57,NA,NA,NA,NA,$27975.56,$24326.57,$24326.57,NA,$23110.24,$24326.57,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Orthopedic - other,CMG 0904-D,NA,NA,$21871.81,$26476.41,NA,NA,NA,NA,NA,$21871.81,NA,NA,NA,$23022.96,NA,NA,NA,NA,NA,NA,NA,NA,$23022.96,NA,$23022.96,NA,NA,NA,NA,$26476.41,$23022.96,$23022.96,NA,$21871.81,$23022.96,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-A,NA,NA,$12817.04,$15515.36,NA,NA,NA,NA,NA,$12817.04,NA,NA,NA,$13491.62,NA,NA,NA,NA,NA,NA,NA,NA,$13491.62,NA,$13491.62,NA,NA,NA,NA,$15515.36,$13491.62,$13491.62,NA,$12817.04,$13491.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-B,NA,NA,$18448.34,$22332.20,NA,NA,NA,NA,NA,$18448.34,NA,NA,NA,$19419.30,NA,NA,NA,NA,NA,NA,NA,NA,$19419.30,NA,$19419.30,NA,NA,NA,NA,$22332.20,$19419.30,$19419.30,NA,$18448.34,$19419.30,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-C,NA,NA,$15463.29,$18718.72,NA,NA,NA,NA,NA,$15463.29,NA,NA,NA,$16277.15,NA,NA,NA,NA,NA,NA,NA,NA,$16277.15,NA,$16277.15,NA,NA,NA,NA,$18718.72,$16277.15,$16277.15,NA,$15463.29,$16277.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1001-D,NA,NA,$13876.11,$16797.40,NA,NA,NA,NA,NA,$13876.11,NA,NA,NA,$14606.43,NA,NA,NA,NA,NA,NA,NA,NA,$14606.43,NA,$14606.43,NA,NA,NA,NA,$16797.40,$14606.43,$14606.43,NA,$13876.11,$14606.43,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Amputation, lower extremity",CMG 1002-A,NA,NA,$15833.40,$19166.75,NA,NA,NA,NA,NA,$15833.40,NA,NA,NA,$16666.74,NA,NA,NA,NA,NA,NA,NA,NA,$16666.74,NA,$16666.74,NA,NA,NA,NA,$19166.75,$16666.74,$16666.74,NA,$15833.40,$16666.74,NA,NA,NA,NA
