Encompass Health Rehabilitation Hospital of Sunrise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prices Posted and Effective 1/1/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: General file information and additional details can be found on the Price Transparency page of this hospital's website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIENT_TYPE,SHOPPABLE_SERVICES,BILLING_REVENUE_SERVICE_CODE,GROSS_CHARGE,DISCOUNTED_CASH_PRICE,DEIDENTIFIED_MIN_NEGOTIATED_CHARGE,DEIDENTIFIED_MAX_NEGOTIATED_CHARGE,AETNA (AET) negotiated charge,AETNA MEDICARE (AETM) negotiated charge,AETNA WORKERS COMP ACCESS (AETW) negotiated charge,AVMED HEALTH MEDICARE (AVMM) negotiated charge,AVMED HEALTH PLAN (AVMD) negotiated charge,BC HEALTH OPTIONS EXCHANG (BHOZ) negotiated charge,BCBS OUT OF STATE (BCBS) negotiated charge,BCFL BLUE SELECT (BCSE) negotiated charge,BCFL TRADITIONAL (BCFL) negotiated charge,BLUE CROSS HEALTH OPTIONS (BCHO) negotiated charge,CAREPLUS HEALTH MEDICARE (CPHM) negotiated charge,CAREWORKS (CRW) negotiated charge,CAREWORKS WORK COMP (CRWW) negotiated charge,CHAMPVA (CVA) negotiated charge,CIGNA (CIG) negotiated charge,CORVEL WORK COMP (CVLW) negotiated charge,COVENTRY HEALTHCARE (CHC) negotiated charge,FEDERAL BLUE CROSS (BCFD) negotiated charge,FIRST HEALTH (FTH) negotiated charge,FIRST HEALTH WORK COMP (FTHW) negotiated charge,GLOBAL EXCEL MANAGEMENT (GBE) negotiated charge,HEALTH OPTIONS MEDICARE (BCHM) negotiated charge,HERITAGE SUMMIT WORK COMP (HSHW) negotiated charge,HUMANA (HUM) negotiated charge,HUMANA EXCHANGE (HUMZ) negotiated charge,HUMANA MEDICAID (HUMD) negotiated charge,HUMANA MEDICARE (HUMM) negotiated charge,INTEGRA GROUP WC (INTW) negotiated charge,MULTIPLAN (MUL) negotiated charge,NETWORK BLUE MEDICARE (BCBM) negotiated charge,ONE CALL MEDICAL WC (OCLW) negotiated charge,PRIVATE HEALTHCARE SYSTEM (PHST) negotiated charge,PROVIDER NET OF AMERICA (PAM) negotiated charge,PYR/AMERICAN PROGRESSIVE (AMPM) negotiated charge,THE RENY COMPANY WC (REN) negotiated charge,TRICARE (TRI) negotiated charge,UHC VA CCN (UHV) negotiated charge,UNITED HEALTHCARE (UHC) negotiated charge,UNITED HEALTHCARE MEDICAR (UHCM) negotiated charge,VISTA HEALTH PLAN (VIS) negotiated charge,WELLCARE MEDICARE (WLCM) negotiated charge,ZELIAS NET SOLUTIONS WC (ZNSW) negotiated charge,ZELIAS NETWORK SOLUTIONS (ZNS) negotiated charge
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-B,NA,NA,$25654.06,$31054.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27004.28,NA,NA,NA,NA,NA,NA,NA,$27004.28,NA,NA,NA,NA,NA,NA,NA,$27004.28,NA,NA,$31054.92,$27004.28,NA,$27004.28,$27004.28,NA,$25654.06,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-C,NA,NA,$19936.17,$24133.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,NA,NA,NA,NA,NA,$20985.44,NA,NA,$24133.26,$20985.44,NA,$20985.44,$20985.44,NA,$19936.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0502-D,NA,NA,$18821.60,$22784.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19812.21,NA,NA,NA,NA,NA,NA,NA,$19812.21,NA,NA,NA,NA,NA,NA,NA,$19812.21,NA,NA,$22784.04,$19812.21,NA,$19812.21,$19812.21,NA,$18821.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-A,NA,NA,$20189.98,$24440.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21252.61,NA,NA,NA,NA,NA,NA,NA,$21252.61,NA,NA,NA,NA,NA,NA,NA,$21252.61,NA,NA,$24440.51,$21252.61,NA,$21252.61,$21252.61,NA,$20189.98,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-B,NA,NA,$29793.90,$36066.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31362.00,NA,NA,NA,NA,NA,NA,NA,$31362.00,NA,NA,NA,NA,NA,NA,NA,$31362.00,NA,NA,$36066.30,$31362.00,NA,$31362.00,$31362.00,NA,$29793.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-C,NA,NA,$23153.77,$28028.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24372.39,NA,NA,NA,NA,NA,NA,NA,$24372.39,NA,NA,NA,NA,NA,NA,NA,$24372.39,NA,NA,$28028.24,$24372.39,NA,$24372.39,$24372.39,NA,$23153.77,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0503-D,NA,NA,$21859.48,$26461.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23009.98,NA,NA,NA,NA,NA,NA,NA,$23009.98,NA,NA,NA,NA,NA,NA,NA,$23009.98,NA,NA,$26461.47,$23009.98,NA,$23009.98,$23009.98,NA,$21859.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-A,NA,NA,$24044.48,$29106.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25309.98,NA,NA,NA,NA,NA,NA,NA,$25309.98,NA,NA,NA,NA,NA,NA,NA,$25309.98,NA,NA,$29106.47,$25309.98,NA,$25309.98,$25309.98,NA,$24044.48,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-B,NA,NA,$35480.27,$42949.80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37347.65,NA,NA,NA,NA,NA,NA,NA,$37347.65,NA,NA,NA,NA,NA,NA,NA,$37347.65,NA,NA,$42949.80,$37347.65,NA,$37347.65,$37347.65,NA,$35480.27,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-C,NA,NA,$27574.22,$33379.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29025.49,NA,NA,NA,NA,NA,NA,NA,$29025.49,NA,NA,NA,NA,NA,NA,NA,$29025.49,NA,NA,$33379.32,$29025.49,NA,$29025.49,$29025.49,NA,$27574.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0504-D,NA,NA,$26032.42,$31512.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27402.55,NA,NA,NA,NA,NA,NA,NA,$27402.55,NA,NA,NA,NA,NA,NA,NA,$27402.55,NA,NA,$31512.93,$27402.55,NA,$27402.55,$27402.55,NA,$26032.42,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-A,NA,NA,$31370.38,$37974.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33021.46,NA,NA,NA,NA,NA,NA,NA,$33021.46,NA,NA,NA,NA,NA,NA,NA,$33021.46,NA,NA,$37974.67,$33021.46,NA,$33021.46,$33021.46,NA,$31370.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-B,NA,NA,$46288.62,$56033.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$48724.86,NA,NA,NA,NA,NA,NA,NA,$48724.86,NA,NA,NA,NA,NA,NA,NA,$48724.86,NA,NA,$56033.59,$48724.86,NA,$48724.86,$48724.86,NA,$46288.62,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-C,NA,NA,$35973.71,$43547.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$37867.06,NA,NA,NA,NA,NA,NA,NA,$37867.06,NA,NA,NA,NA,NA,NA,NA,$37867.06,NA,NA,$43547.12,$37867.06,NA,$37867.06,$37867.06,NA,$35973.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,"Inpatient Rehab Per Discharge: Spinal cord dysfunction, non-traumatic",CMG 0505-D,NA,NA,$33962.12,$41112.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35749.60,NA,NA,NA,NA,NA,NA,NA,$35749.60,NA,NA,NA,NA,NA,NA,NA,$35749.60,NA,NA,$41112.04,$35749.60,NA,$35749.60,$35749.60,NA,$33962.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-A,NA,NA,$13825.73,$16736.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14553.40,NA,NA,NA,NA,NA,NA,NA,$14553.40,NA,NA,NA,NA,NA,NA,NA,$14553.40,NA,NA,$16736.41,$14553.40,NA,$14553.40,$14553.40,NA,$13825.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-B,NA,NA,$21555.22,$26093.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22689.70,NA,NA,NA,NA,NA,NA,NA,$22689.70,NA,NA,NA,NA,NA,NA,NA,$22689.70,NA,NA,$26093.16,$22689.70,NA,$22689.70,$22689.70,NA,$21555.22,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-C,NA,NA,$16226.71,$19642.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17080.75,NA,NA,NA,NA,NA,NA,NA,$17080.75,NA,NA,NA,NA,NA,NA,NA,$17080.75,NA,NA,$19642.86,$17080.75,NA,$17080.75,$17080.75,NA,$16226.71,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0601-D,NA,NA,$15211.46,$18413.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16012.06,NA,NA,NA,NA,NA,NA,NA,$16012.06,NA,NA,NA,NA,NA,NA,NA,$16012.06,NA,NA,$18413.87,$16012.06,NA,$16012.06,$16012.06,NA,$15211.46,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-A,NA,NA,$17207.28,$20829.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18112.93,NA,NA,NA,NA,NA,NA,NA,$18112.93,NA,NA,NA,NA,NA,NA,NA,$18112.93,NA,NA,$20829.87,$18112.93,NA,$18112.93,$18112.93,NA,$17207.28,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-B,NA,NA,$26825.39,$32472.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$28237.25,NA,NA,NA,NA,NA,NA,NA,$28237.25,NA,NA,NA,NA,NA,NA,NA,$28237.25,NA,NA,$32472.84,$28237.25,NA,$28237.25,$28237.25,NA,$26825.39,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-C,NA,NA,$20193.14,$24444.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21255.93,NA,NA,NA,NA,NA,NA,NA,$21255.93,NA,NA,NA,NA,NA,NA,NA,$21255.93,NA,NA,$24444.32,$21255.93,NA,$21255.93,$21255.93,NA,$20193.14,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0602-D,NA,NA,$18930.38,$22915.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19926.71,NA,NA,NA,NA,NA,NA,NA,$19926.71,NA,NA,NA,NA,NA,NA,NA,$19926.71,NA,NA,$22915.72,$19926.71,NA,$19926.71,$19926.71,NA,$18930.38,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-A,NA,NA,$20439.07,$24742.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21514.81,NA,NA,NA,NA,NA,NA,NA,$21514.81,NA,NA,NA,NA,NA,NA,NA,$21514.81,NA,NA,$24742.03,$21514.81,NA,$21514.81,$21514.81,NA,$20439.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-B,NA,NA,$31866.97,$38575.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$33544.18,NA,NA,NA,NA,NA,NA,NA,$33544.18,NA,NA,NA,NA,NA,NA,NA,$33544.18,NA,NA,$38575.81,$33544.18,NA,$33544.18,$33544.18,NA,$31866.97,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-C,NA,NA,$23987.73,$29037.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25250.24,NA,NA,NA,NA,NA,NA,NA,$25250.24,NA,NA,NA,NA,NA,NA,NA,$25250.24,NA,NA,$29037.77,$25250.24,NA,$25250.24,$25250.24,NA,$23987.73,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0603-D,NA,NA,$22486.92,$27221.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$23670.44,NA,NA,NA,NA,NA,NA,NA,$23670.44,NA,NA,NA,NA,NA,NA,NA,$23670.44,NA,NA,$27221.00,$23670.44,NA,$23670.44,$23670.44,NA,$22486.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-A,NA,NA,$23718.15,$28711.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24966.47,NA,NA,NA,NA,NA,NA,NA,$24966.47,NA,NA,NA,NA,NA,NA,NA,$24966.47,NA,NA,$28711.44,$24966.47,NA,$24966.47,$24966.47,NA,$23718.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-B,NA,NA,$36977.92,$44762.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$38924.13,NA,NA,NA,NA,NA,NA,NA,$38924.13,NA,NA,NA,NA,NA,NA,NA,$38924.13,NA,NA,$44762.75,$38924.13,NA,$38924.13,$38924.13,NA,$36977.92,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-C,NA,NA,$27835.91,$33696.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29300.96,NA,NA,NA,NA,NA,NA,NA,$29300.96,NA,NA,NA,NA,NA,NA,NA,$29300.96,NA,NA,$33696.11,$29300.96,NA,$29300.96,$29300.96,NA,$27835.91,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Neurological conditions,CMG 0604-D,NA,NA,$26093.90,$31587.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27467.27,NA,NA,NA,NA,NA,NA,NA,$27467.27,NA,NA,NA,NA,NA,NA,NA,$27467.27,NA,NA,$31587.36,$27467.27,NA,$27467.27,$27467.27,NA,$26093.90,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-A,NA,NA,$13890.37,$16814.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14621.44,NA,NA,NA,NA,NA,NA,NA,$14621.44,NA,NA,NA,NA,NA,NA,NA,$14621.44,NA,NA,$16814.66,$14621.44,NA,$14621.44,$14621.44,NA,$13890.37,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-B,NA,NA,$19663.44,$23803.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20698.36,NA,NA,NA,NA,NA,NA,NA,$20698.36,NA,NA,NA,NA,NA,NA,NA,$20698.36,NA,NA,$23803.11,$20698.36,NA,$20698.36,$20698.36,NA,$19663.44,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-C,NA,NA,$15946.10,$19303.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16785.37,NA,NA,NA,NA,NA,NA,NA,$16785.37,NA,NA,NA,NA,NA,NA,NA,$16785.37,NA,NA,$19303.17,$16785.37,NA,$16785.37,$16785.37,NA,$15946.10,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0701-D,NA,NA,$15110.56,$18291.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15905.86,NA,NA,NA,NA,NA,NA,NA,$15905.86,NA,NA,NA,NA,NA,NA,NA,$15905.86,NA,NA,$18291.74,$15905.86,NA,$15905.86,$15905.86,NA,$15110.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-A,NA,NA,$17366.51,$21022.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18280.53,NA,NA,NA,NA,NA,NA,NA,$18280.53,NA,NA,NA,NA,NA,NA,NA,$18280.53,NA,NA,$21022.61,$18280.53,NA,$18280.53,$18280.53,NA,$17366.51,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-B,NA,NA,$24585.21,$29761.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25879.17,NA,NA,NA,NA,NA,NA,NA,$25879.17,NA,NA,NA,NA,NA,NA,NA,$25879.17,NA,NA,$29761.04,$25879.17,NA,$25879.17,$25879.17,NA,$24585.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-C,NA,NA,$19937.75,$24135.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$20987.10,NA,NA,NA,NA,NA,NA,NA,$20987.10,NA,NA,NA,NA,NA,NA,NA,$20987.10,NA,NA,$24135.17,$20987.10,NA,$20987.10,$20987.10,NA,$19937.75,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0702-D,NA,NA,$18894.12,$22871.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$19888.54,NA,NA,NA,NA,NA,NA,NA,$19888.54,NA,NA,NA,NA,NA,NA,NA,$19888.54,NA,NA,$22871.83,$19888.54,NA,$19888.54,$19888.54,NA,$18894.12,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-A,NA,NA,$21109.07,$25553.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$22220.08,NA,NA,NA,NA,NA,NA,NA,$22220.08,NA,NA,NA,NA,NA,NA,NA,$22220.08,NA,NA,$25553.09,$22220.08,NA,$22220.08,$22220.08,NA,$21109.07,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-B,NA,NA,$29883.76,$36175.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$31456.59,NA,NA,NA,NA,NA,NA,NA,$31456.59,NA,NA,NA,NA,NA,NA,NA,$31456.59,NA,NA,$36175.08,$31456.59,NA,$31456.59,$31456.59,NA,$29883.76,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-C,NA,NA,$24235.23,$29337.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25510.77,NA,NA,NA,NA,NA,NA,NA,$25510.77,NA,NA,NA,NA,NA,NA,NA,$25510.77,NA,NA,$29337.39,$25510.77,NA,$25510.77,$25510.77,NA,$24235.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0703-D,NA,NA,$22966.17,$27801.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$24174.91,NA,NA,NA,NA,NA,NA,NA,$24174.91,NA,NA,NA,NA,NA,NA,NA,$24174.91,NA,NA,$27801.15,$24174.91,NA,$24174.91,$24174.91,NA,$22966.17,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-A,NA,NA,$24120.15,$29198.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$25389.63,NA,NA,NA,NA,NA,NA,NA,$25389.63,NA,NA,NA,NA,NA,NA,NA,$25389.63,NA,NA,$29198.08,$25389.63,NA,$25389.63,$25389.63,NA,$24120.15,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-B,NA,NA,$34146.56,$41335.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$35943.75,NA,NA,NA,NA,NA,NA,NA,$35943.75,NA,NA,NA,NA,NA,NA,NA,$35943.75,NA,NA,$41335.31,$35943.75,NA,$35943.75,$35943.75,NA,$34146.56,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-C,NA,NA,$27692.45,$33522.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$29149.95,NA,NA,NA,NA,NA,NA,NA,$29149.95,NA,NA,NA,NA,NA,NA,NA,$29149.95,NA,NA,$33522.44,$29149.95,NA,$29149.95,$29149.95,NA,$27692.45,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Hip fracture,CMG 0704-D,NA,NA,$26242.09,$31766.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$27623.25,NA,NA,NA,NA,NA,NA,NA,$27623.25,NA,NA,NA,NA,NA,NA,NA,$27623.25,NA,NA,$31766.74,$27623.25,NA,$27623.25,$27623.25,NA,$26242.09,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-A,NA,NA,$11924.50,$14434.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$12552.10,NA,NA,NA,NA,NA,NA,NA,$12552.10,NA,NA,NA,NA,NA,NA,NA,$12552.10,NA,NA,$14434.92,$12552.10,NA,$12552.10,$12552.10,NA,$11924.50,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-B,NA,NA,$17763.78,$21503.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$18698.72,NA,NA,NA,NA,NA,NA,NA,$18698.72,NA,NA,NA,NA,NA,NA,NA,$18698.72,NA,NA,$21503.52,$18698.72,NA,$18698.72,$18698.72,NA,$17763.78,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-C,NA,NA,$14295.52,$17305.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15047.92,NA,NA,NA,NA,NA,NA,NA,$15047.92,NA,NA,NA,NA,NA,NA,NA,$15047.92,NA,NA,$17305.11,$15047.92,NA,$15047.92,$15047.92,NA,$14295.52,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0801-D,NA,NA,$12802.60,$15497.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$13476.42,NA,NA,NA,NA,NA,NA,NA,$13476.42,NA,NA,NA,NA,NA,NA,NA,$13476.42,NA,NA,$15497.88,$13476.42,NA,$13476.42,$13476.42,NA,$12802.60,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-A,NA,NA,$14019.64,$16971.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$14757.52,NA,NA,NA,NA,NA,NA,NA,$14757.52,NA,NA,NA,NA,NA,NA,NA,$14757.52,NA,NA,$16971.14,$14757.52,NA,$14757.52,$14757.52,NA,$14019.64,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-B,NA,NA,$20885.21,$25282.10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$21984.43,NA,NA,NA,NA,NA,NA,NA,$21984.43,NA,NA,NA,NA,NA,NA,NA,$21984.43,NA,NA,$25282.10,$21984.43,NA,$21984.43,$21984.43,NA,$20885.21,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-C,NA,NA,$16806.86,$20345.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$17691.43,NA,NA,NA,NA,NA,NA,NA,$17691.43,NA,NA,NA,NA,NA,NA,NA,$17691.43,NA,NA,$20345.14,$17691.43,NA,$17691.43,$17691.43,NA,$16806.86,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0802-D,NA,NA,$15052.23,$18221.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$15844.46,NA,NA,NA,NA,NA,NA,NA,$15844.46,NA,NA,NA,NA,NA,NA,NA,$15844.46,NA,NA,$18221.13,$15844.46,NA,$15844.46,$15844.46,NA,$15052.23,NA,NA,NA,NA
Inpatient Rehabilitation Services,Inpatient Rehab Per Discharge: Replacement of lower extremity joint,CMG 0803-A,NA,NA,$15660.76,$18957.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,$16485.01,NA,NA,NA,NA,NA,NA,NA,$16485.01,NA,NA,NA,NA,NA,NA,NA,$16485.01,NA,NA,$18957.76,$16485.01,NA,$16485.01,$16485.01,NA,$15660.76,NA,NA,NA,NA
